Dices,Word,Transliteration,Abbreviation,Numeric code
1444,весло,veslo,vsl,094
1445,весна,vesna,vsn,095
1446,весы,vesy,vsy,
1451,ветер,veter,vtr,096
1452,ветка,vetka,vtk,
1453,вечер,vecher,vch,
1454,вешалка,veshalka,vsh,097
1455,видеть,videt,vdt,098
1456,вилка,vilka,vla,099
1461,виноград,vinograd,vng,100
1462,висок,visok,vso,101
1463,витамин,vitamin,vtm,
1464,витрина,vitrina,vtn,102
1465,вихрь,vihr,vhr,103
1466,вишня,vishnya,vsa,104
1511,власть,vlast,vlt,
1512,внук,vnuk,vnk,105
1513,вода,voda,vda,106
1514,водолаз,vodolaz,vdl,107
1515,водопад,vodopad,vdp,108
1516,водоросль,vodorosl,vds,109
1521,воздух,vozduh,vzd,110
1522,вокзал,vokzal,vkz,
1523,волейбол,voleybol,vly,111
1524,волк,volk,vlk,112
1525,волна,volna,vln,113
1526,волос,volos,vls,114
1531,вопрос,vopros,vpr,115
1532,воробей,vorobey,vrb,116
1533,ворона,vorona,vrn,
1534,воронка,voronka,vrk,117
1535,ворота,vorota,vrt,118
1536,воск,vosk,vsk,
1541,воскресенье,voskresenye,vsr,
1542,восток,vostok,vst,119
1543,врач,vrach,vrc,120
1544,вспышка,vspyshka,vsp,121
1545,вторник,vtornik,vto,
1546,вулкан,vulkan,vul,122
1551,вывеска,vyveska,vvs,123
1552,высокий,vysokiy,vsi,124
1553,газ,gaz,gaz,125
1554,газета,gazeta,gzt,126
1555,газон,gazon,gzn,127
1556,гайка,gayka,gyk,128
1561,галактика,galaktika,glk,
1562,галоша,galosha,glh,129
1563,галстук,galstuk,gtk,
1564,гамак,gamak,gmk,130
1565,гантель,gantel,gnt,131
1566,гараж,garazh,gzh,
1611,гвоздь,gvozd,gvz,132
1612,гель,gel,gel,
1613,ген,gen,gen,
1614,генерал,general,gnr,133
1615,гений,geniy,gny,
1616,гепард,gepard,gpr,134
1621,герб,gerb,grb,
1622,гигант,gigant,ggn,
1623,гимн,gimn,gmn,
1624,гипс,gips,gps,
1625,гирлянда,girlyanda,gnd,135
1626,гиря,girya,gry,136
1631,гитара,gitara,gtr,137
1632,гладкий,gladkiy,gld,138
1633,глаз,glaz,glz,139
1634,глина,glina,gln,140
1635,глобус,globus,glo,141
1636,глоток,glotok,glt,142
1641,глубокий,glubokiy,glu,143
1642,глыба,glyba,gly,144
1643,гнездо,gnezdo,gnz,
1644,гном,gnom,gnm,145
1645,говорить,govorit,gvr,146
1646,год,god,god,147
1651,голень,golen,gle,148
1652,голова,golova,glv,149
1653,голос,golos,gls,150
1654,голубь,golub,glb,151
1655,гольф,golf,glf,
1656,гонг,gong,gng,152
1661,гончар,gonchar,gnc,
1662,гора,gora,gra,153
1663,горизонт,gorizont,giz,154
1664,горло,gorlo,grl,155
1665,город,gorod,gro,156
1666,горох,goroh,grh,157
2111,горсть,gorst,grt,158
2112,горшок,gorshok,gsk,159
2113,горький,gorkiy,grk,
2114,горячий,goryachiy,gcy,160
2115,гость,gost,gst,161
2116,грабли,grabli,gbl,162
2121,гранат,granat,grn,163
2122,гранит,granit,gni,
2123,грести,gresti,gre,164
2124,гречка,grechka,grc,165
2125,гриб,grib,gri,166
2126,грива,griva,grv,167
2131,гроздь,grozd,gzd,168
2132,громкий,gromkiy,grm,169
2133,грудь,grud,grd,170
2134,груз,gruz,grz,171
2135,грусть,grust,grs,
2136,груша,grusha,gsa,172
2141,грядка,gryadka,gdk,173
2142,губа,guba,gba,174
2143,гусеница,gusenitsa,gsn,175
2144,густой,gustoy,gsy,176
2145,гусь,gus,gus,177
2146,далёкий,dalyokiy,dlk,178
2151,дамба,damba,dmb,179
2152,дверь,dver,dve,180
2153,двигать,dvigat,dvg,181
2154,двор,dvor,dvr,182
2155,девочка,devochka,dvc,183
2156,дед,ded,ded,
2161,декабрь,dekabr,dkb,
2162,дельфин,delfin,dlf,184
2163,день,den,den,185
2164,деревня,derevnya,drn,186
2165,десна,desna,dsn,
2166,джунгли,dzhungli,dzn,187
2211,диван,divan,dvn,188
2212,динозавр,dinozavr,dnz,189
2213,дирижёр,dirizhyor,drr,190
2214,диск,disk,dsk,191
2215,длинный,dlinnyy,dli,192
2216,дно,dno,dno,193
2221,добро,dobro,dbr,
2222,дождь,dozhd,dzh,194
2223,долгий,dolgiy,dlg,
2224,долина,dolina,dln,195
2225,доля,dolya,dla,
2226,дом,dom,dom,196
2231,домино,domino,dmn,197
2232,донор,donor,dnr,
2233,дорога,doroga,dro,198
2234,доска,doska,dsa,
2235,дочь,doch,dch,
2236,дракон,drakon,drk,
2241,дрель,drel,drl,199
2242,дрова,drova,drv,200
2243,дрожать,drozhat,drz,
2244,друг,drug,drg,201
2245,дуб,dub,dub,202
2246,дуга,duga,dga,203
2251,дупло,duplo,dpl,204
2252,духи,duhi,dhi,205
2253,душ,dush,dsh,206
2254,дым,dym,dym,207
2255,дыня,dynya,dny,208
2256,дыра,dyra,dra,209
2261,дышать,dyshat,dst,210
2262,дюна,dyuna,dna,211
2263,дядя,dyadya,ddy,212
2264,дятел,dyatel,dtl,213
2265,ёж,yozh,yzh,214
2266,ёлка,yolka,ylk,215
2311,енот,enot,ent,216
2312,ехать,ehat,eht,217
2313,жабра,zhabra,zhb,218
2314,железо,zhelezo,zhe,219
2315,жёлтый,zhyoltyy,zhy,220
2316,жемчуг,zhemchug,zhm,221
2321,жена,zhena,zhn,222
2322,жест,zhest,zhs,
2323,жетон,zheton,zht,223
2324,жечь,zhech,zhc,
2325,живот,zhivot,zhv,224
2326,жидкий,zhidkiy,zhd,225
2331,жизнь,zhizn,zhz,226
2332,жилет,zhilet,zhl,227
2333,жираф,zhiraf,zhr,228
2334,жонглёр,zhonglyor,zng,
2335,жук,zhuk,zhk,229
2336,журнал,zhurnal,zhu,230
2341,забор,zabor,zbr,231
2342,забота,zabota,zbt,232
2343,завод,zavod,zvd,233
2344,завтрак,zavtrak,zvt,234
2345,закат,zakat,zkt,
2346,закон,zakon,zkn,235
2351,зал,zal,zal,236
2352,замок,zamok,zmk,237
2353,запад,zapad,zpd,238
2354,запах,zapah,zph,
2355,затылок,zatylok,ztl,239
2356,заяц,zayats,zts,240
2361,звезда,zvezda,zvz,241
2362,звено,zveno,zve,
2363,звон,zvon,zvn,242
2364,здоровье,zdorovye,zdr,
2365,зебра,zebra,zba,243
2366,зелёный,zelyonyy,zln,244
2411,земля,zemlya,zml,245
2412,зеркало,zerkalo,zrk,246
2413,зерно,zerno,zrn,247
2414,зефир,zefir,zfr,248
2415,зима,zima,zma,249
2416,змея,zmeya,zme,
2421,знак,znak,znk,250
2422,золото,zoloto,zlt,251
2423,зонт,zont,znt,252
2424,зоопарк,zoopark,zpr,253
2425,зуб,zub,zub,254
2426,ива,iva,iva,255
2431,игла,igla,igl,
2432,идти,idti,idt,256
2433,иероглиф,ieroglif,irg,
2434,изумруд,izumrud,izr,
2435,изюм,izyum,izm,257
2436,икра,ikra,ikr,258
2441,имя,imya,imy,259
2442,индейка,indeyka,ind,260
2443,иней,iney,iny,261
2444,инженер,inzhener,inz,
2445,институт,institut,ins,262
2446,искра,iskra,isk,263
2451,июль,iyul,iyl,
2452,июнь,iyun,iyn,
2453,йога,yoga,yga,
2454,йогурт,yogurt,ygr,264
2455,кабан,kaban,kbn,265
2456,кабачок,kabachok,kbc,266
2461,кабинет,kabinet,kbt,267
2462,каблук,kabluk,kbl,268
2463,кадр,kadr,kdr,269
2464,кактус,kaktus,kkt,270
2465,календарь,kalendar,knd,271
2466,камень,kamen,kmn,272
2511,камин,kamin,kmi,273
2512,камыш,kamysh,kms,274
2513,канал,kanal,knl,275
2514,канарейка,kanareyka,knr,276
2515,канат,kanat,knt,277
2516,канистра,kanistra,kni,278
2521,капля,kaplya,kap,279
2522,капот,kapot,kpt,280
2523,капуста,kapusta,kps,
2524,капюшон,kapyushon,kpn,281
2525,караван,karavan,kvn,282
2526,карандаш,karandash,kds,283
2531,карман,karman,kar,284
2532,карнавал,karnaval,kvl,285
2533,карта,karta,kta,286
2534,картофель,kartofel,krf,287
2535,карусель,karusel,kse,288
2536,карьер,karyer,krr,289
2541,каска,kaska,ksk,290
2542,касса,kassa,kss,291
2543,кастрюля,kastryulya,ksy,292
2544,катер,kater,ktr,293
2545,катить,katit,ktt,294
2546,катушка,katushka,kts,295
2551,качели,kacheli,kch,296
2552,каша,kasha,ksh,297
2553,каштан,kashtan,ktn,298
2554,квадрат,kvadrat,kvd,
2555,квартира,kvartira,kva,299
2556,квас,kvas,kvs,
2561,кекс,keks,kks,300
2562,кенгуру,kenguru,kgr,301
2563,кепка,kepka,kpk,302
2564,керамика,keramika,kmk,
2565,кефир,kefir,kfr,303
2566,кипеть,kipet,kpe,304
2611,кирпич,kirpich,krp,305
2612,кислый,kislyy,ksl,306
2613,кисть,kist,kis,307
2614,кит,kit,kit,308
2615,клавиша,klavisha,kli,309
2616,клевер,klever,klr,310
2621,клей,kley,kly,311
2622,клён,klyon,klo,312
2623,клетка,kletka,klt,313
2624,клин,klin,kln,314
2625,клоун,kloun,klu,
2626,клубника,klubnika,knk,315
2631,клумба,klumba,klm,316
2632,клюв,klyuv,klv,
2633,клюква,klyukva,kkv,317
2634,ключ,klyuch,klc,318
2635,клюшка,klyushka,kyu,319
2636,книга,kniga,kng,320
2641,кнопка,knopka,knp,321
2642,князь,knyaz,knz,322
2643,коала,koala,kla,323
2644,ковёр,kovyor,kvr,324
2645,ковш,kovsh,kov,325
2646,кожа,kozha,kzh,326
2651,коза,koza,kza,
2652,кокон,kokon,kkn,327
2653,кокос,kokos,kko,328
2654,колбаса,kolbasa,klb,329
2655,колено,koleno,kle,330
2656,колесо,koleso,kso,331
2661,колодец,kolodets,kld,332
2662,колокол,kolokol,kol,333
2663,колос,kolos,kls,334
2664,колпак,kolpak,klp,335
2665,колыбель,kolybel,kbe,336
2666,кольцо,koltso,kto,337
3111,коляска,kolyaska,kya,338
3112,ком,kom,kom,339
3113,комар,komar,kmr,
3114,комета,kometa,kmt,340
3115,комната,komnata,kma,
3116,компас,kompas,kmp,
3121,компот,kompot,kmo,
3122,компьютер,kompyuter,kmu,341
3123,конверт,konvert,knv,342
3124,конец,konets,kne,343
3125,конструктор,konstruktor,kon,344
3126,контур,kontur,knu,
3131,конус,konus,kns,
3132,конфета,konfeta,knf,345
3133,концерт,kontsert,kte,346
3134,копать,kopat,kpa,347
3135,копилка,kopilka,kpi,348
3136,копыто,kopyto,kyt,349
3141,копьё,kopyo,kpy,350
3142,кора,kora,kra,351
3143,корабль,korabl,kob,352
3144,коралл,korall,kll,353
3145,корень,koren,kor,354
3146,корзина,korzina,krz,
3151,коридор,koridor,krd,355
3152,корица,koritsa,koi,356
3153,коричневый,korichnevyy,krc,357
3154,коробка,korobka,kbk,358
3155,корова,korova,krv,359
3156,корона,korona,kna,360
3161,короткий,korotkiy,kky,361
3162,коса,kosa,ksa,362
3163,косметика,kosmetika,kme,363
3164,космос,kosmos,ksm,
3165,костёр,kostyor,ksr,364
3166,кость,kost,kst,365
3211,костюм,kostyum,ktm,366
3212,котёл,kotyol,ktl,367
3213,котлета,kotleta,kot,368
3214,кофе,kofe,kfe,369
3215,кошелёк,koshelyok,kok,370
3216,кошка,koshka,kos,371
3221,краб,krab,krb,372
3222,кран,kran,krn,373
3223,краска,kraska,kka,374
3224,красный,krasnyy,ksn,375
3225,кратер,krater,kat,376
3226,креветка,krevetka,kvk,377
3231,крем,krem,krm,378
3232,кресло,kreslo,kre,
3233,крест,krest,krs,379
3234,кривой,krivoy,kvy,
3235,крик,krik,krk,
3236,кристалл,kristall,kri,380
3241,кровать,krovat,kvt,
3242,крокодил,krokodil,kkd,
3243,кроссовок,krossovok,ksv,381
3244,крот,krot,krt,382
3245,крошка,kroshka,kro,383
3246,круг,krug,krg,384
3251,крутить,krutit,kut,385
3252,крыло,krylo,krl,386
3253,крыша,krysha,kry,387
3254,крюк,kryuk,kru,388
3255,куб,kub,kub,389
3256,кувшин,kuvshin,kuv,390
3261,кудри,kudri,kdi,391
3262,кузнец,kuznets,kzn,392
3263,кукла,kukla,kkl,393
3264,кукуруза,kukuruza,kkr,394
3265,кукушка,kukushka,kkk,395
3266,кулак,kulak,klk,396
3311,купить,kupit,kup,397
3312,купол,kupol,kpl,398
3313,купюра,kupyura,kpr,399
3314,курица,kuritsa,kur,400
3315,куртка,kurtka,ktk,401
3316,курьер,kuryer,ker,
3321,кусок,kusok,kuk,402
3322,куст,kust,kus,403
3323,кухня,kuhnya,khn,404
3324,лабиринт,labirint,lbr,
3325,лава,lava,lva,
3326,лавина,lavina,lvn,
3331,лавка,lavka,lvk,405
3332,лагерь,lager,lgr,406
3333,ладонь,ladon,ldn,407
3334,лазер,lazer,lzr,
3335,лампа,lampa,lmp,408
3336,ландыш,landysh,lnd,409
3341,лапша,lapsha,lps,410
3342,ласт,last,lst,
3343,ласточка,lastochka,lsc,411
3344,лебедь,lebed,lbd,412
3345,лев,lev,lev,413
3346,левый,levyy,lvy,
3351,лёгкий,lyogkiy,lgk,414
3352,лёд,lyod,lyd,415
3353,лежать,lezhat,lzt,416
3354,лезвие,lezvie,lzv,
3355,лён,lyon,lyn,
3356,ленивец,lenivets,lnv,417
3361,лента,lenta,lnt,418
3362,лепесток,lepestok,lpe,419
3363,лепёшка,lepyoshka,lpy,420
3364,леска,leska,lsk,
3365,лестница,lestnitsa,lsn,421
3366,лететь,letet,ltt,422
3411,лето,leto,lto,423
3412,лиана,liana,lia,424
3413,лилия,liliya,lli,425
3414,лимон,limon,lmn,426
3415,линейка,lineyka,lny,427
3416,линза,linza,lnz,428
3421,липкий,lipkiy,lpk,
3422,лиса,lisa,lsa,429
3423,лист,list,lis,430
3424,лить,lit,lit,431
3425,лифт,lift,lft,432
3426,лицо,litso,lts,433
3431,лоб,lob,lob,434
3432,ловкость,lovkost,lvs,
3433,лодка,lodka,ldk,435
3434,ложка,lozhka,lzk,436
3435,локоть,lokot,lkt,437
3436,лом,lom,lom,438
3441,лопасть,lopast,lop,439
3442,лопата,lopata,lpt,440
3443,лопух,lopuh,lph,
3444,лоскут,loskut,lsu,441
3445,лосось,losos,lss,442
3446,лось,los,los,443
3451,лотос,lotos,lot,444
3452,лошадь,loshad,lsh,445
3453,лужа,luzha,lzh,
3454,луна,luna,lna,446
3455,лупа,lupa,lpa,447
3456,луч,luch,lch,448
3461,лыжа,lyzha,lyz,449
3462,любовь,lyubov,lbv,450
3463,люк,lyuk,lyk,451
3464,люстра,lyustra,lsr,452
3465,лягушка,lyagushka,lgs,453
3466,лямка,lyamka,lmk,454
3511,магазин,magazin,mgz,455
3512,магнит,magnit,mgn,456
3513,мазь,maz,maz,457
3514,май,may,may,
3515,мак,mak,mak,458
3516,малина,malina,mln,459
3521,мальчик,malchik,mlc,460
3522,мама,mama,mma,
3523,мамонт,mamont,mmn,461
3524,манго,mango,mng,462
3525,мандарин,mandarin,mnr,463
3526,манекен,maneken,mnk,
3531,маникюр,manikyur,mnu,
3532,марафон,marafon,mrf,
3533,мармелад,marmelad,mrl,464
3534,март,mart,mrt,
3535,маршрут,marshrut,mrs,
3536,маска,maska,msk,465
3541,масло,maslo,mas,466
3542,массаж,massazh,mss,467
3543,материк,materik,mtk,
3544,матрас,matras,mts,468
3545,мачта,machta,mct,469
3546,маяк,mayak,myk,
3551,маятник,mayatnik,mtn,
3552,мёд,myod,myd,470
3553,медаль,medal,mdl,471
3554,медведь,medved,mdv,472
3555,медуза,meduza,mdz,
3556,мел,mel,mel,473
3561,мельница,melnitsa,mli,474
3562,меню,menyu,mny,
3563,метать,metat,mtt,
3564,метеорит,meteorit,mte,475
3565,метла,metla,mtl,476
3566,метро,metro,mtr,477
3611,мех,meh,meh,478
3612,меч,mech,mch,479
3613,мечта,mechta,mec,480
3614,мешок,meshok,mes,481
3615,мигать,migat,mgt,482
3616,микроскоп,mikroskop,mks,483
3621,микрофон,mikrofon,mkf,484
3622,миндаль,mindal,mnd,485
3623,минута,minuta,mnt,
3624,мир,mir,mir,486
3625,мираж,mirazh,mra,
3626,миска,miska,mis,487
3631,миф,mif,mif,
3632,мозаика,mozaika,mzi,
3633,мозг,mozg,mzg,488
3634,мокрый,mokryy,mkr,489
3635,молния,molniya,mly,490
3636,молоко,moloko,mlk,491
3641,молоток,molotok,mlt,
3642,монета,moneta,mne,
3643,море,more,mre,492
3644,морж,morzh,mrz,493
3645,морковь,morkov,mrk,494
3646,мороженое,morozhenoe,mro,495
3651,морщина,morshchina,mrn,
3652,мост,most,mst,496
3653,мотор,motor,mot,
3654,мотоцикл,mototsikl,mkl,497
3655,мох,moh,moh,498
3656,мочалка,mochalka,mcl,499
3661,мрамор,mramor,mrm,
3662,муж,muzh,mzh,500
3663,музей,muzey,mzy,501
3664,музыка,muzyka,mzk,502
3665,мука,muka,mka,503
3666,муравей,muravey,mrv,504
4111,мускул,muskul,mus,505
4112,муха,muha,mha,
4113,мыло,mylo,mlo,506
4114,мысль,mysl,msl,
4115,мышь,mysh,msh,507
4116,мягкий,myagkiy,mgk,508
4121,мясо,myaso,mso,509
4122,мята,myata,mta,510
4123,мять,myat,myt,
4124,мяч,myach,myc,511
4125,надежда,nadezhda,ndz,512
4126,народ,narod,nrd,513
4131,насос,nasos,nss,
4132,начало,nachalo,ncl,514
4133,небо,nebo,nbo,515
4134,невеста,nevesta,nvs,516
4135,неделя,nedelya,ndl,517
4136,нерв,nerv,nrv,
4141,нефть,neft,nft,518
4142,низкий,nizkiy,nzk,519
4143,нить,nit,nit,520
4144,новый,novyy,nvy,521
4145,нога,noga,nga,522
4146,ноготь,nogot,ngt,523
4151,нож,nozh,nzh,524
4152,нора,nora,nra,525
4153,нос,nos,nos,526
4154,носок,nosok,nsk,527
4155,носорог,nosorog,nsr,528
4156,нота,nota,nta,
4161,ночь,noch,nch,529
4162,ноябрь,noyabr,nbr,
4163,нырять,nyryat,nrt,530
4164,няня,nyanya,nny,
4165,оазис,oazis,ozs,531
4166,обед,obed,obd,532
4211,обезьяна,obezyana,obz,533
4212,облако,oblako,obl,534
4213,обнимать,obnimat,obn,535
4214,обочина,obochina,obc,536
4215,овал,oval,ovl,
4216,овёс,ovyos,ovs,
4221,овраг,ovrag,ovr,537
4222,овца,ovtsa,ovt,538
4223,огонь,ogon,ogn,539
4224,огурец,ogurets,ogr,540
4225,одеяло,odeyalo,odl,541
4226,одуванчик,oduvanchik,odv,542
4231,озеро,ozero,ozr,543
4232,океан,okean,oke,544
4233,окно,okno,okn,545
4234,октябрь,oktyabr,okt,
4235,окунь,okun,oku,546
4236,олень,olen,oln,
4241,олива,oliva,olv,547
4242,оранжевый,oranzhevyy,orn,
4243,орёл,oryol,orl,548
4244,орхидея,orhideya,orh,549
4245,осёл,osyol,osl,550
4246,осень,osen,osn,551
4251,осколок,oskolok,osk,552
4252,остров,ostrov,ost,553
4253,острый,ostryy,osy,554
4254,осьминог,osminog,osm,555
4255,отвёртка,otvyortka,otv,556
4256,отель,otel,otl,557
4261,офис,ofis,ofs,558
4262,офицер,ofitser,oft,559
4263,официант,ofitsiant,ofn,560
4264,охота,ohota,oht,561
4265,очки,ochki,och,562
4266,павлин,pavlin,pvl,563
4311,пакет,paket,pkt,564
4312,палатка,palatka,pat,565
4313,палец,palets,pal,566
4314,палитра,palitra,pra,567
4315,пальма,palma,plm,568
4316,пальто,palto,pao,569
4321,пантера,pantera,pnt,570
4322,панцирь,pantsir,pnr,571
4323,папа,papa,ppa,
4324,папоротник,paporotnik,ppr,572
4325,пар,par,par,573
4326,парашют,parashyut,psu,574
4331,парик,parik,pik,575
4332,парк,park,prk,
4333,парковка,parkovka,pkv,
4334,пароль,parol,prl,
4335,паром,parom,prm,576
4336,парус,parus,pru,577
4341,пасмурный,pasmurnyy,psm,
4342,паспорт,pasport,psp,578
4343,пассажир,passazhir,pss,
4344,пастух,pastuh,pth,579
4345,паук,pauk,pak,
4346,паяльник,payalnik,pay,580
4351,педаль,pedal,pdl,
4352,пеликан,pelikan,pel,581
4353,пельмень,pelmen,pmn,582
4354,пена,pena,pna,583
4355,пень,pen,pen,
4356,пепел,pepel,ppl,
4361,переулок,pereulok,peu,584
4362,перец,perets,per,585
4363,перламутр,perlamutr,pmr,
4364,перо,pero,pro,586
4365,персик,persik,psi,587
4366,перчатка,perchatka,pec,588
4411,песок,pesok,pes,589
4412,петля,petlya,ptl,
4413,петрушка,petrushka,ptr,
4414,петь,pet,pet,590
4415,печать,pechat,pca,
4416,печень,pechen,pcn,591
4421,печь,pech,pch,592
4422,пещера,peshchera,psr,593
4423,пиджак,pidzhak,pdz,594
4424,пижама,pizhama,pzh,595
4425,пикник,piknik,pkn,
4426,пила,pila,pla,596
4431,пилот,pilot,pil,597
4432,пингвин,pingvin,png,598
4433,пипетка,pipetka,ppt,599
4434,пирамида,piramida,pir,600
4435,пирог,pirog,prg,601
4436,писать,pisat,pst,602
4441,писк,pisk,psk,
4442,пить,pit,pit,603
4443,пицца,pitstsa,pts,604
4444,плакат,plakat,pka,605
4445,планета,planeta,pne,
4446,пластик,plastik,pti,606
4451,платина,platina,pin,
4452,платье,platye,pty,607
4453,плащ,plashch,psc,608
4454,племя,plemya,pma,609
4455,плёнка,plyonka,plo,610
4456,плечо,plecho,plc,611
4461,плита,plita,pta,612
4462,плот,plot,plt,613
4463,плотник,plotnik,pni,614
4464,площадь,ploshchad,psd,615
4465,плыть,plyt,ply,616
4466,пляж,plyazh,plz,617
4511,победа,pobeda,pbd,618
4512,повар,povar,pvr,619
4513,поворот,povorot,pvt,620
4514,погода,pogoda,pgd,621
4515,подарок,podarok,pdr,622
4516,подвал,podval,pdv,623
4521,подкова,podkova,pdk,624
4522,поднос,podnos,pdn,625
4523,подсолнух,podsolnuh,pdh,626
4524,подушка,podushka,pds,627
4525,поезд,poezd,pzd,628
4526,поза,poza,pza,629
4531,поздний,pozdniy,pzn,
4532,покой,pokoy,pky,
4533,пол,pol,pol,630
4534,поле,pole,ple,631
4535,ползти,polzti,pzt,632
4536,полиция,politsiya,pli,633
4541,полка,polka,plk,634
4542,полный,polnyy,pln,635
4543,половина,polovina,plv,
4544,полоса,polosa,psa,
4545,полотенце,polotentse,pte,636
4546,помада,pomada,pmd,637
4551,понедельник,ponedelnik,pnd,
4552,пончик,ponchik,pnc,638
4553,попугай,popugay,ppg,639
4554,порог,porog,por,
4555,порошок,poroshok,pso,640
4556,порт,port,prt,641
4561,портной,portnoy,pny,
4562,порядок,poryadok,pdo,642
4563,посёлок,posyolok,psl,643
4564,потолок,potolok,pto,644
4565,почерк,pocherk,pcr,
4566,почка,pochka,pck,645
4611,почта,pochta,pct,646
4612,поэт,poet,pot,
4613,правый,pravyy,prv,647
4614,праздник,prazdnik,pzk,648
4615,пресс,press,prs,649
4616,принтер,printer,pri,650
4621,принц,prints,prn,651
4622,природа,priroda,prr,652
4623,прицеп,pritsep,ptp,653
4624,причал,prichal,prc,
4625,причёска,prichyoska,pcs,
4626,прищепка,prishchepka,pse,654
4631,пробирка,probirka,pbr,655
4632,пробка,probka,prb,656
4633,прозрачный,prozrachnyy,pzc,657
4634,простыня,prostynya,pyn,658
4635,пружина,pruzhina,prz,659
4636,прыгать,prygat,pgt,660
4641,прядь,pryad,prd,661
4642,прямой,pryamoy,pmy,662
4643,пряник,pryanik,pry,663
4644,прятать,pryatat,ptt,664
4645,пуговица,pugovitsa,pgv,665
4646,пузырь,puzyr,pzr,666
4651,пульс,puls,pls,
4652,пульт,pult,pul,667
