Number,word,transliteration,abbreviation
8086,гусеница,gusenitsa,gsn
8094,густой,gustoy,gsy
8098,гусь,gus,gus
8138,далёкий,dalyokiy,dlk
8162,дамба,damba,dmb
8223,дверь,dver,dve
8228,двигать,dvigat,dvg
8250,двор,dvor,dvr
8364,девочка,devochka,dvc
8394,дед,ded,ded
8445,декабрь,dekabr,dkb
8511,дельфин,delfin,dlf
8578,день,den,den
8619,деревня,derevnya,drn
8665,десна,desna,dsn
8804,джунгли,dzhungli,dzn
8847,диван,divan,dvn
8939,динозавр,dinozavr,dnz
8970,дирижёр,dirizhyor,drr
8977,диск,disk,dsk
9096,длинный,dlinnyy,dli
9114,дно,dno,dno
9145,добро,dobro,dbr
9270,дождь,dozhd,dzh
9365,долгий,dolgiy,dlg
9401,долина,dolina,dln
9413,доля,dolya,dla
9414,дом,dom,dom
9429,домино,domino,dmn
9482,донор,donor,dnr
9553,дорога,doroga,dro
9580,доска,doska,dsa
9693,дочь,doch,dch
9715,дракон,drakon,drk
9776,дрель,drel,drl
9802,дрова,drova,drv
9810,дрожать,drozhat,drz
9823,друг,drug,drg
9859,дуб,dub,dub
9881,дуга,duga,dga
9905,дупло,duplo,dpl
9941,духи,duhi,dhi
9953,душ,dush,dsh
9991,дым,dym,dym
10002,дыня,dynya,dny
10003,дыра,dyra,dra
10016,дышать,dyshat,dst
10034,дюна,dyuna,dna
10044,дядя,dyadya,ddy
10045,дятел,dyatel,dtl
10122,ёж,yozh,yzh
10172,ёлка,yolka,ylk
10185,енот,enot,ent
10227,ехать,ehat,eht
10235,жабра,zhabra,zhb
10325,железо,zhelezo,zhe
10345,жёлтый,zhyoltyy,zhy
10357,жемчуг,zhemchug,zhm
10360,жена,zhena,zhn
10397,жест,zhest,zhs
10411,жетон,zheton,zht
10413,жечь,zhech,zhc
10435,живот,zhivot,zhv
10456,жидкий,zhidkiy,zhd
10482,жизнь,zhizn,zhz
10485,жилет,zhilet,zhl
10504,жираф,zhiraf,zhr
10538,жонглёр,zhonglyor,zng
10549,жук,zhuk,zhk
10560,журнал,zhurnal,zhu
10643,забор,zabor,zbr
10649,забота,zabota,zbt
10782,завод,zavod,zvd
10822,завтрак,zavtrak,zvt
11184,закат,zakat,zkt
11252,закон,zakon,zkn
11343,зал,zal,zal
11500,замок,zamok,zmk
11615,запад,zapad,zpd
11653,запах,zapah,zph
12196,затылок,zatylok,ztl
12384,заяц,zayats,zts
12390,звезда,zvezda,zvz
12403,звено,zveno,zve
12423,звон,zvon,zvn
12455,здоровье,zdorovye,zdr
12467,зебра,zebra,zba
12482,зелёный,zelyonyy,zln
12506,земля,zemlya,zml
12527,зеркало,zerkalo,zrk
12532,зерно,zerno,zrn
12539,зефир,zefir,zfr
12544,зима,zima,zma
12616,змея,zmeya,zme
12619,знак,znak,znk
12682,золото,zoloto,zlt
12708,зонт,zont,znt
12714,зоопарк,zoopark,zpr
12739,зуб,zub,zub
12785,ива,iva,iva
12795,игла,igla,igl
12872,идти,idti,idt
12882,иероглиф,ieroglif,irg
13229,изумруд,izumrud,izr
13258,изюм,izyum,izm
13278,икра,ikra,ikr
13396,имя,imya,imy
13433,индейка,indeyka,ind
13482,иней,iney,iny
13491,инженер,inzhener,inz
13569,институт,institut,ins
13825,искра,iskra,isk
14122,июль,iyul,iyl
14124,июнь,iyun,iyn
14129,йога,yoga,yga
14130,йогурт,yogurt,ygr
14137,кабан,kaban,kbn
14144,кабачок,kabachok,kbc
14151,кабинет,kabinet,kbt
14155,каблук,kabluk,kbl
14192,кадр,kadr,kdr
14248,кактус,kaktus,kkt
14260,календарь,kalendar,knd
14315,камень,kamen,kmn
14329,камин,kamin,kmi
14343,камыш,kamysh,kms
14349,канал,kanal,knl
14355,канарейка,kanareyka,knr
14357,канат,kanat,knt
14371,канистра,kanistra,kni
14438,капля,kaplya,kap
14442,капот,kapot,kpt
14456,капуста,kapusta,kps
14463,капюшон,kapyushon,kpn
14471,караван,karavan,kvn
14484,карандаш,karandash,kds
14552,карман,karman,kar
14558,карнавал,karnaval,kvl
14568,карта,karta,kta
14593,картофель,kartofel,krf
14602,карусель,karusel,kse
14604,карьер,karyer,krr
14615,каска,kaska,ksk
14620,касса,kassa,kss
14641,кастрюля,kastryulya,ksy
14685,катер,kater,ktr
14693,катить,katit,ktt
14707,катушка,katushka,kts
14728,качели,kacheli,kch
14737,каша,kasha,ksh
14749,каштан,kashtan,ktn
14758,квадрат,kvadrat,kvd
14780,квартира,kvartira,kva
14790,квас,kvas,kvs
14814,кекс,keks,kks
14827,кенгуру,kenguru,kgr
14831,кепка,kepka,kpk
14833,керамика,keramika,kmk
14847,кефир,kefir,kfr
14957,кипеть,kipet,kpe
14975,кирпич,kirpich,krp
14998,кислый,kislyy,ksl
15004,кисть,kist,kis
15005,кит,kit,kit
15027,клавиша,klavisha,kli
15071,клевер,klever,klr
15085,клей,kley,kly
15093,клён,klyon,klo
15099,клетка,kletka,klt
15129,клин,klin,kln
15166,клоун,kloun,klu
15175,клубника,klubnika,knk
15181,клумба,klumba,klm
15186,клюв,klyuv,klv
15190,клюква,klyukva,kkv
15193,ключ,klyuch,klc
15199,клюшка,klyushka,kyu
15214,книга,kniga,kng
15230,кнопка,knopka,knp
15243,князь,knyaz,knz
15244,коала,koala,kla
15265,ковёр,kovyor,kvr
15278,ковш,kovsh,kov
15305,кожа,kozha,kzh
15316,коза,koza,kza
15350,кокон,kokon,kkn
15351,кокос,kokos,kko
15364,колбаса,kolbasa,klb
15386,колено,koleno,kle
15395,колесо,koleso,kso
15438,колодец,kolodets,kld
15441,колокол,kolokol,kol
15462,колос,kolos,kls
15476,колпак,kolpak,klp
15489,колыбель,kolybel,kbe
15505,кольцо,koltso,kto
15511,коляска,kolyaska,kya
15513,ком,kom,kom
15532,комар,komar,kmr
15559,комета,kometa,kmt
15616,комната,komnata,kma
15635,компас,kompas,kmp
15681,компот,kompot,kmo
15691,компьютер,kompyuter,kmu
15720,конверт,konvert,knv
15761,конец,konets,kne
15854,конструктор,konstruktor,kon
15944,контур,kontur,knu
15948,конус,konus,kns
15959,конфета,konfeta,knf
16005,концерт,kontsert,kte
16048,копать,kopat,kpa
16055,копилка,kopilka,kpi
16077,копыто,kopyto,kyt
16079,копьё,kopyo,kpy
16080,кора,kora,kra
16086,корабль,korabl,kob
16087,коралл,korall,kll
16104,корень,koren,kor
16111,корзина,korzina,krz
16115,коридор,koridor,krd
16122,корица,koritsa,koi
16124,коричневый,korichnevyy,krc
16148,коробка,korobka,kbk
16152,корова,korova,krv
16165,корона,korona,kna
16174,короткий,korotkiy,kky
16248,коса,kosa,ksa
16261,косметика,kosmetika,kme
16280,космос,kosmos,ksm
16299,костёр,kostyor,ksr
16311,кость,kost,kst
16312,костюм,kostyum,ktm
16329,котёл,kotyol,ktl
16338,котлета,kotleta,kot
16348,кофе,kofe,kfe
16378,кошелёк,koshelyok,kok
16383,кошка,koshka,kos
16396,краб,krab,krb
16421,кран,kran,krn
16448,краска,kraska,kka
16485,красный,krasnyy,ksn
16497,кратер,krater,kat
16518,креветка,krevetka,kvk
16532,крем,krem,krm
16573,кресло,kreslo,kre
16575,крест,krest,krs
16616,кривой,krivoy,kvy
16624,крик,krik,krk
16642,кристалл,kristall,kri
16670,кровать,krovat,kvt
16702,крокодил,krokodil,kkd
16726,кроссовок,krossovok,ksv
16727,крот,krot,krt
16739,крошка,kroshka,kro
16741,круг,krug,krg
16795,крутить,krutit,kut
16812,крыло,krylo,krl
16824,крыша,krysha,kry
16829,крюк,kryuk,kru
16851,куб,kub,kub
16873,кувшин,kuvshin,kuv
16884,кудри,kudri,kdi
16891,кузнец,kuznets,kzn
16904,кукла,kukla,kkl
16911,кукуруза,kukuruza,kkr
16914,кукушка,kukushka,kkk
16915,кулак,kulak,klk
17000,купить,kupit,kup
17006,купол,kupol,kpl
17012,купюра,kupyura,kpr
17037,курица,kuritsa,kur
17060,куртка,kurtka,ktk
17070,курьер,kuryer,ker
17082,кусок,kusok,kuk
17084,куст,kust,kus
17107,кухня,kuhnya,khn
17134,лабиринт,labirint,lbr
17142,лава,lava,lva
17145,лавина,lavina,lvn
17148,лавка,lavka,lvk
17161,лагерь,lager,lgr
17175,ладонь,ladon,ldn
17188,лазер,lazer,lzr
17223,лампа,lampa,lmp
17235,ландыш,landysh,lnd
17251,лапша,lapsha,lps
17264,ласт,last,lst
17267,ласточка,lastochka,lsc
17305,лебедь,lebed,lbd
17308,лев,lev,lev
17324,левый,levyy,lvy
17345,лёгкий,lyogkiy,lgk
17367,лёд,lyod,lyd
17390,лежать,lezhat,lzt
17394,лезвие,lezvie,lzv
17427,лён,lyon,lyn
17430,ленивец,lenivets,lnv
17446,лента,lenta,lnt
17457,лепесток,lepestok,lpe
17461,лепёшка,lepyoshka,lpy
17477,леска,leska,lsk
17529,лестница,lestnitsa,lsn
17542,лететь,letet,ltt
17547,лето,leto,lto
17579,лиана,liana,lia
17631,лилия,liliya,lli
17639,лимон,limon,lmn
17653,линейка,lineyka,lny
17657,линза,linza,lnz
17671,липкий,lipkiy,lpk
17686,лиса,lisa,lsa
17691,лист,list,lis
17740,лить,lit,lit
17744,лифт,lift,lft
17781,лицо,litso,lts
17803,лоб,lob,lob
17828,ловкость,lovkost,lvs
17851,лодка,lodka,ldk
17866,ложка,lozhka,lzk
17885,локоть,lokot,lkt
17888,лом,lom,lom
17910,лопасть,lopast,lop
17911,лопата,lopata,lpt
17920,лопух,lopuh,lph
17929,лоскут,loskut,lsu
17935,лосось,losos,lss
17936,лось,los,los
17943,лотос,lotos,lot
17957,лошадь,loshad,lsh
17973,лужа,luzha,lzh
17995,луна,luna,lna
18003,лупа,lupa,lpa
18006,луч,luch,lch
18021,лыжа,lyzha,lyz
18082,любовь,lyubov,lbv
18105,люк,lyuk,lyk
18117,люстра,lyustra,lsr
18135,лягушка,lyagushka,lgs
18144,лямка,lyamka,lmk
18156,магазин,magazin,mgz
18179,магнит,magnit,mgn
18215,мазь,maz,maz
18216,май,may,may
18225,мак,mak,mak
18274,малина,malina,mln
18346,мальчик,malchik,mlc
18362,мама,mama,mma
18374,мамонт,mamont,mmn
18383,манго,mango,mng
18384,мандарин,mandarin,mnr
18400,манекен,maneken,mnk
18410,маникюр,manikyur,mnu
18450,марафон,marafon,mrf
18496,мармелад,marmelad,mrl
18507,март,mart,mrt
18521,маршрут,marshrut,mrs
18527,маска,maska,msk
18546,масло,maslo,mas
18554,массаж,massazh,mss
18619,материк,materik,mtk
18640,матрас,matras,mts
18684,мачта,machta,mct
18702,маяк,mayak,myk
18704,маятник,mayatnik,mtn
18727,мёд,myod,myd
18729,медаль,medal,mdl
18734,медведь,medved,mdv
18776,медуза,meduza,mdz
18834,мел,mel,mel
18884,мельница,melnitsa,mli
18932,меню,menyu,mny
19041,метать,metat,mtt
19056,метеорит,meteorit,mte
19072,метла,metla,mtl
19094,метро,metro,mtr
19104,мех,meh,meh
19121,меч,mech,mch
19125,мечта,mechta,mec
19140,мешок,meshok,mes
19156,мигать,migat,mgt
19191,микроскоп,mikroskop,mks
19199,микрофон,mikrofon,mkf
19268,миндаль,mindal,mnd
19324,минута,minuta,mnt
19330,мир,mir,mir
19331,мираж,mirazh,mra
19362,миска,miska,mis
19393,миф,mif,mif
19591,мозаика,mozaika,mzi
19593,мозг,mozg,mzg
19607,мокрый,mokryy,mkr
19636,молния,molniya,mly
19663,молоко,moloko,mlk
19670,молоток,molotok,mlt
19718,монета,moneta,mne
19797,море,more,mre
19805,морж,morzh,mrz
19812,морковь,morkov,mrk
19814,мороженое,morozhenoe,mro
19846,морщина,morshchina,mrn
19862,мост,most,mst
19887,мотор,motor,mot
19898,мотоцикл,mototsikl,mkl
19905,мох,moh,moh
19914,мочалка,mochalka,mcl
19949,мрамор,mramor,mrm
19975,муж,muzh,mzh
19996,музей,muzey,mzy
20001,музыка,muzyka,mzk
20010,мука,muka,mka
20040,муравей,muravey,mrv
20058,мускул,muskul,mus
20096,муха,muha,mha
20129,мыло,mylo,mlo
20143,мысль,mysl,msl
20164,мышь,mysh,msh
20174,мягкий,myagkiy,mgk
20189,мясо,myaso,mso
20195,мята,myata,mta
20202,мять,myat,myt
20207,мяч,myach,myc
20444,надежда,nadezhda,ndz
21041,народ,narod,nrd
21174,насос,nasos,nss
21419,начало,nachalo,ncl
21512,небо,nebo,nbo
21565,невеста,nevesta,nvs
21727,неделя,nedelya,ndl
22696,нерв,nerv,nrv
23092,нефть,neft,nft
23186,низкий,nizkiy,nzk
23244,нить,nit,nit
23322,новый,novyy,nvy
23324,нога,noga,nga
23326,ноготь,nogot,ngt
23329,нож,nozh,nzh
23362,нора,nora,nra
23391,нос,nos,nos
23404,носок,nosok,nsk
23405,носорог,nosorog,nsr
23411,нота,nota,nta
23429,ночь,noch,nch
23435,ноябрь,noyabr,nbr
23477,нырять,nyryat,nrt
23498,няня,nyanya,nny
23499,оазис,oazis,ozs
23580,обед,obed,obd
23611,обезьяна,obezyana,obz
23754,облако,oblako,obl
23910,обнимать,obnimat,obn
24058,обочина,obochina,obc
24415,овал,oval,ovl
24422,овёс,ovyos,ovs
24436,овраг,ovrag,ovr
24441,овца,ovtsa,ovt
24501,огонь,ogon,ogn
24550,огурец,ogurets,ogr
24584,одеяло,odeyalo,odl
24682,одуванчик,oduvanchik,odv
24758,озеро,ozero,ozr
24817,океан,okean,oke
24845,окно,okno,okn
24939,октябрь,oktyabr,okt
24949,окунь,okun,oku
24971,олень,olen,oln
24973,олива,oliva,olv
25336,оранжевый,oranzhevyy,orn
25397,орёл,oryol,orl
25454,орхидея,orhideya,orh
25516,осёл,osyol,osl
25521,осень,osen,osn
25554,осколок,oskolok,osk
25721,остров,ostrov,ost
25740,острый,ostryy,osy
25776,осьминог,osminog,osm
25849,отвёртка,otvyortka,otv
25979,отель,otel,otl
26659,офис,ofis,ofs
26661,офицер,ofitser,oft
26668,официант,ofitsiant,ofn
26708,охота,ohota,oht
26791,очки,ochki,och
26849,павлин,pavlin,pvl
26883,пакет,paket,pkt
26898,палатка,palatka,pat
26914,палец,palets,pal
26917,палитра,palitra,pra
26931,пальма,palma,plm
26936,пальто,palto,pao
26987,пантера,pantera,pnt
26991,панцирь,pantsir,pnr
26992,папа,papa,ppa
27008,папоротник,paporotnik,ppr
27014,пар,par,par
27057,парашют,parashyut,psu
27074,парик,parik,pik
27086,парк,park,prk
27092,парковка,parkovka,pkv
27120,пароль,parol,prl
27121,паром,parom,prm
27165,парус,parus,pru
27191,пасмурный,pasmurnyy,psm
27193,паспорт,pasport,psp
27200,пассажир,passazhir,pss
27228,пастух,pastuh,pth
27298,паук,pauk,pak
27331,паяльник,payalnik,pay
27350,педаль,pedal,pdl
27383,пеликан,pelikan,pel
27386,пельмень,pelmen,pmn
27388,пена,pena,pna
27418,пень,pen,pen
27425,пепел,pepel,ppl
28079,переулок,pereulok,peu
28102,перец,perets,per
28147,перламутр,perlamutr,pmr
28159,перо,pero,pro
28175,персик,persik,psi
28204,перчатка,perchatka,pec
28223,песок,pesok,pes
28254,петля,petlya,ptl
28262,петрушка,petrushka,ptr
28268,петь,pet,pet
28288,печать,pechat,pca
28293,печень,pechen,pcn
28301,печь,pech,pch
28312,пещера,peshchera,psr
28342,пиджак,pidzhak,pdz
28347,пижама,pizhama,pzh
28371,пикник,piknik,pkn
28377,пила,pila,pla
28386,пилот,pilot,pil
28399,пингвин,pingvin,png
28413,пипетка,pipetka,ppt
28416,пирамида,piramida,pir
28428,пирог,pirog,prg
28451,писать,pisat,pst
28454,писк,pisk,psk
28487,пить,pit,pit
28497,пицца,pitstsa,pts
28538,плакат,plakat,pka
28556,планета,planeta,pne
28580,пластик,plastik,pti
28608,платина,platina,pin
28624,платье,platye,pty
28642,плащ,plashch,psc
28666,племя,plemya,pma
28676,плёнка,plyonka,plo
28706,плечо,plecho,plc
28711,плита,plita,pta
28744,плот,plot,plt
28749,плотник,plotnik,pni
28767,площадь,ploshchad,psd
28775,плыть,plyt,ply
28791,пляж,plyazh,plz
28816,победа,pobeda,pbd
28892,повар,povar,pvr
28988,поворот,povorot,pvt
29072,погода,pogoda,pgd
29157,подарок,podarok,pdr
29186,подвал,podval,pdv
29390,подкова,podkova,pdk
29521,поднос,podnos,pdn
29744,подсолнух,podsolnuh,pdh
29844,подушка,podushka,pds
29918,поезд,poezd,pzd
29967,поза,poza,pza
30002,поздний,pozdniy,pzn
30141,покой,pokoy,pky
30232,пол,pol,pol
30256,поле,pole,ple
30286,ползти,polzti,pzt
30374,полиция,politsiya,pli
30383,полка,polka,plk
30433,полный,polnyy,pln
30439,половина,polovina,plv
30471,полоса,polosa,psa
30482,полотенце,polotentse,pte
30668,помада,pomada,pmd
30812,понедельник,ponedelnik,pnd
30856,пончик,ponchik,pnc
30996,попугай,popugay,ppg
31082,порог,porog,por
31114,порошок,poroshok,pso
31116,порт,port,prt
31129,портной,portnoy,pny
31185,порядок,poryadok,pdo
31222,посёлок,posyolok,psl
31551,потолок,potolok,pto
31730,почерк,pocherk,pcr
31762,почка,pochka,pck
31764,почта,pochta,pct
31831,поэт,poet,pot
31926,правый,pravyy,prv
31939,праздник,prazdnik,pzk
32397,пресс,press,prs
32986,принтер,printer,pri
32994,принц,prints,prn
33122,природа,priroda,prr
33365,прицеп,pritsep,ptp
33369,причал,prichal,prc
33385,причёска,prichyoska,pcs
33422,прищепка,prishchepka,pse
33459,пробирка,probirka,pbr
33462,пробка,probka,prb
33802,прозрачный,prozrachnyy,pzc
34318,простыня,prostynya,pyn
34622,пружина,pruzhina,prz
34635,прыгать,prygat,pgt
34648,прядь,pryad,prd
34658,прямой,pryamoy,pmy
34666,пряник,pryanik,pry
34673,прятать,pryatat,ptt
34774,пуговица,pugovitsa,pgv
34790,пузырь,puzyr,pzr
34806,пульс,puls,pls
34811,пульт,pult,pul
34817,пунктир,punktir,pnk
34826,пупок,pupok,ppk
34851,пустой,pustoy,psy
34898,пух,puh,puh
34912,пушка,pushka,psh
34924,пчела,pchela,pcl
34929,пшеница,pshenitsa,psn
34941,пылесос,pylesos,pys
34949,пыль,pyl,pyl
34994,пюре,pyure,pre
35031,пятка,pyatka,ptk
35035,пятница,pyatnitsa,pya
35038,пятно,pyatno,ptn
35048,работа,rabota,rba
35121,радио,radio,rdi
35177,радость,radost,rdt
35178,радуга,raduga,rdg
35863,район,rayon,ryn
35872,рак,rak,rak
35874,ракета,raketa,rkt
35886,раковина,rakovina,rkv
35894,рамка,ramka,rmk
35916,ранний,ranniy,rnn
36229,рассказ,rasskaz,rss
36461,расчёска,raschyoska,rsc
36547,рвать,rvat,rvt
36568,реактор,reaktor,rea
36602,ребро,rebro,rbr
36703,редис,redis,rds
36705,редкий,redkiy,rdk
36724,режиссёр,rezhissyor,rzs
36753,резина,rezina,rzn
36808,река,reka,rka
36834,рекорд,rekord,rkr
36868,рельс,rels,rls
36878,ремень,remen,rmn
36899,рентген,rentgen,rnt
36909,репа,repa,rpa
36945,ресница,resnitsa,res
36965,ресторан,restoran,rst
37018,рецепт,retsept,rtp
37042,решётка,reshyotka,rsh
37078,рис,ris,ris
37095,рисунок,risunok,rsn
37097,ритм,ritm,rtm
37112,рифма,rifma,rfm
37126,робот,robot,rbt
37136,ровный,rovnyy,rvn
37139,рог,rog,rog
37198,рожь,rozh,rzh
37199,роза,roza,rza
37221,рой,roy,roy
37249,роман,roman,rma
37264,ромашка,romashka,rms
37265,ромб,romb,rmb
37310,рот,rot,rot
37331,рояль,royal,rol
37333,ртуть,rtut,rtt
37340,рубашка,rubashka,rbs
37346,рубин,rubin,rbn
37369,руда,ruda,rda
37375,ружьё,ruzhyo,rzy
37378,рука,ruka,ruk
37414,рулон,rulon,rln
37417,руль,rul,rul
37434,русалка,rusalka,rsl
37464,ручей,ruchey,rch
37514,рынок,rynok,rnk
37522,рысь,rys,rys
37532,рыцарь,rytsar,rts
37533,рычаг,rychag,rcg
37543,рюкзак,ryukzak,rkz
37558,рябь,ryab,ryb
37591,сад,sad,sad
37627,саксофон,saksofon,sks
37634,салат,salat,slt
37644,салфетка,salfetka,slf
37652,салют,salyut,slu
37724,самокат,samokat,sat
37731,самолёт,samolyot,sam
37847,сандалия,sandaliya,snl
37850,сани,sani,sni
37883,сапог,sapog,spg
37890,сарай,saray,sry
37930,сахар,sahar,sah
38042,свёкла,svyokla,svk
38118,свет,svet,svt
38156,светофор,svetofor,svf
38163,свеча,svecha,svc
38205,свист,svist,svs
38214,свитер,sviter,svi
38216,свиток,svitok,svo
38220,свобода,svoboda,svb
38281,связь,svyaz,svz
38410,север,sever,svr
38441,седло,sedlo,sdl
38459,сейф,seyf,syf
38498,секунда,sekunda,skn
38532,сельдь,seld,sel
38568,семечко,semechko,smc
38585,семья,semya,smy
38597,сено,seno,sno
38613,сентябрь,sentyabr,snt
38627,сера,sera,sra
38656,сердце,serdtse,sds
38665,серебро,serebro,srb
38717,серый,seryy,ser
38718,серьга,serga,srg
38725,сестра,sestra,sst
