tikhonov_root,lemmas,decision,root
авиа,авиакомпания; авиабаза; авиалиния; авиабилет; авиалайнер; авиатехник; авиастроительный; авиаконструктор; авиабомба; авиадвигатель; авиадиспетчер; авианосный; авиазавод; авиапромышленность; авиаотряд; авиабензин; авиагоризонт; авиадвигателестроительный; авиадесант; авиалесоохрана; авиаметеослужба; авиамоделизм; авиамоделист; авиамодель; авиамотор; авиамоторостроение; авианавигационный; авиаопрыскивание; авиапарк; авиаподкормка; авиапочта; авиаприбор; авиаразведка; авиаракетный; авиаракетостроительный; авиасвязь; авиасекстант; авиаспорт; авиастроительство; авиатика; авиатранспорт; авиатрасса; авиахимический; авиационнокосмический; авиационноракетный; авиационноспортивный; авиачасть; авиашкола,new_root,авиа
авиз,авизировать; авизный,new_root,авиз
авл,окровавленный; искровавленный; окровавливать; перержавленный; проржавленный; ржавление,lemma_level_conflict,
аврал,аврал,new_root,аврал
авраль,авральный,new_root,авраль
аврор,аврора,new_root,аврор
австр,австро-германский; австро-итало-французский; австро-советский; австроазиатский,new_root,австр
австрал,австралоидный; австралопитек,new_root,австрал
австрали,австралиец,new_root,австрали
австралий,австралийский; австралийка; восточноавстралийский; западноавстралийский; южноавстралийский,new_root,австралий
австри,австриец; австрияк; австриячка,new_root,австри
австрий,австрийский; австрийка; итало-австрийский,new_root,австрий
авт,автол,new_root,авт
автарк,автаркический,new_root,автарк
автарки,автаркия,new_root,автарки
авто,автомобиль; автомобильный; автограф; автопилот; автобусный; автотранспорт; автосалон; автомобилист; авторучка; автостоянка; автодорога; микроавтобус; автосервис; автокатастрофа; автосамосвал; автобаза; автомагистраль; автопарк; автовокзал; автопоезд; автозаводец; автостоп; автозаправочный; автотрасса; автодорожный; автоинспекция; автослесарь; автокомбинат; автомобилизация; автостанция; автоцистерна; автоаннотирование; автобиографичный; автоблокировочный; автовесы; автоводитель; автогамия; автогенез; автогенератор; автогенно-сварочный; автогенный; автогидроподъемник; автогравюра; автогрейдер; автогрузовой; автогужевой; автодиспетчер; автодоение; автодрезина; автозаводской; автозаправщик; автокатализ; автокинопередвижка; автоклуб; автоколебательный; автокомментарий; автокормушка; автокоррекция; автокосметика; автократический; автократия; автокружок; автолесовоз; автолиз; автолитография; автомассажер; автомашинист; автометаморфизм; автомеханический; автомобилеопрокидыватель; автомобилеразгрузчик; автомобилестроительный; автомобилетракторостроение; автомобилизм; автомобиль-вышка; автомобильно-дорожный; автомобильно-железнодорожный; автомобильно-тракторный; автомодельный; автоморфизм; автомотоклуб; автомотолотерея; автомотолюбитель; автомоторный; автомотоспортивный; автомототранспорт; автомототуризм; автомотриса; автооператор; автопансионат; автопассажир; автопассажирский; автопатруль; автоперевозка; автопередвижка; автопередвижной; автоплуг; автоподзавод; автопоилка; автопокрышка; автопреобразователь; автопрокат; авторадиограмма; авторазливочный; авторегулятор; авторезина; авторессора; авторефрижератор; авторотация; авторулевой; автостарт; автостартер; автосцеп; автосцепка; автотермоцистерна; автотехобслуживание; автотипия; автотипный; автотомия; автотормоз; автотормозной; автотракторный; автотракторостроение; автотренажер; автотропизм; автотуризм; автотурист; автотягач; автофазировка; автофилия; автохарактеристика; автохромный; автохронометраж; авточасть; автоштурман; автощеповоз; автощетка; автоэлектронный,new_root,авто
автобус,автобус; автобусно-таксомоторный,new_root,автобус
автомат,автоматический; автоматизированный; автоматизация; автоматика; автоматный; автоматизировать; автоматизм; полуавтоматический; полуавтомат; автоматизирование; автоматизироваться; автоматичный; автоматно-пулеметный; автоматчица; высокоавтоматизированный; деавтоматизация; касса-автомат; пневмоавтоматика; поточно-автоматизированный; сборочно-автоматический; станок-автомат; телеавтоматика; телеавтоматический,new_root,автомат
автомат-,автомат-упаковщик,new_root,автомат-
автоном,автономический,new_root,автоном
автономи,автономия,new_root,автономи
автор,автор; авторский; соавтор; соавторство; авторизованный; авторизировать; авторизовать; авторско-правовой; соавторский,new_root,автор
авторитарн,авторитарный,new_root,авторитарн
авторитет,авторитетный; высокоавторитетный,new_root,авторитет
автохтон,автохтон; автохтонный,new_root,автохтон
авь,ржавь,mapped,рж-1
аг,агглютинабельный; агглютинативный; агглютинация; агглютинин; агглютинирование; агглютинировать; агглютинироваться; агглютинирующий; аггравация,lemma_level_conflict,
ага,ага-хан,mapped,ага
агам,агама,new_root,агам
агар,агар-агар; агарный; агаровый,new_root,агар
агглютин,гемагглютинация,new_root,агглютин
агент,агентство; агентура; агентурный; агентский; агентирование; трансагентство; хладагент,new_root,агент
агио,агиографический; агиография; агиология,new_root,агио
агит,агитатор; агитировать; агитационный; агитпункт; сагитировать; агитаторский; агитбригада; агитвагон; агиткампания; агитколлектив; агитмассовый; агитплакат; агитпоезд; агитпропотдел; агитфильм; разагитировать; сагитированный,new_root,агит
агло,аглопорит,new_root,агло
агломер,агломерация; агломератчик; агломерационный; агломерировать; агломерироваться,new_root,агломер
агнец,агнец,new_root,агнец
агнози,агнозия,new_root,агнози
агностик,агностик,new_root,агностик
агностиц,агностицизм,new_root,агностиц
агностич,агностический,new_root,агностич
агон,агонизировать; агонический,new_root,агон
аграмант,аграмант,new_root,аграмант
аграр,аграрный; аграрник; аграрно-промышленный,new_root,аграр
агрегат,агрегат; агрегатный; агрегатирование; агрегатированный; агрегатировать; агрегатно-сборочный; ветроагрегат,new_root,агрегат
агреман,агреман,new_root,агреман
агресс,агрессивный; агрессивность; агрессор; агрессивно-коррозионный,new_root,агресс
агресси,агрессия,new_root,агресси
агро,агроном; агропромышленный; агротехнический; агрономический; агротехника; агрономия; агропром; агробаза; агробиолог; агробиологический; агробиология; агробиоценоз; агроботаника; агроботанический; агрогородок; агрозоотехника; агроклиматология; агрокружок; агрокультура; агролесомелиоратор; агролесомелиорация; агромелиоратор; агромелиорация; агрометеорологический; агрометр; агроминимум; агропропаганда; агрорайон; агросеть; агротехник; агроучасток; агрофизика; агрофизический; агрофитоценоз; агрохимический; агроцех; агроэкологический; агроэкономический; агроэкосистема,new_root,агро
агул,агул; агулец; агулка,new_root,агул
агуль,агульский,new_root,агуль
адалин,адалин,new_root,адалин
адамит,адамит,new_root,адамит
адамси,адамсия,new_root,адамси
адапт,адаптация; адаптироваться; адаптировать; адаптированный; адаптант; адаптометр; идиоадаптация; преадаптация,new_root,адапт
адат,адат,new_root,адат
адвокат,адвокат; адвокатский; адвокатура; адвокатство; адвокатствовать,new_root,адвокат
адденд,адденда,new_root,адденд
адекватн,адекватный; неадекватный,new_root,адекватн
аден,аденовирус; аденоид; аденовирусный; аденокарцинома; бронхоаденит; дакриоаденит; лимфаденит; периаденит; фиброаденома,new_root,аден
аджик,аджика,new_root,аджик
адиабат,адиабата; адиабатический; адиабатный,new_root,адиабат
адидас,адидасовский,new_root,адидас
адм,адмотдел; адмтехперсонал; адмчасть,new_root,адм
администр,административный; администратор; администрирование; административно-территориальный; административно-хозяйственный; административно-волевой; административно-дисциплинарный; административно-приказной; административно-управленческий; администраторство; администрировать; военно-административный; партийно-административный; переадминистрировать; политико-административный,new_root,администр
адмирал,адмирал; контр-адмирал; адмирал-инженер; генерал-адмирал; инженер-вице-адмирал; контр-адмирал-инженер,new_root,адмирал
адмиралтей,адмиралтейский; адмиралтейство; адмиралтейств-коллегия; адмиралтейств-совет,new_root,адмиралтей
адмираль,адмиральский; адмиральство; контр-адмиральский,new_root,адмираль
адопт,адоптация; адоптированный,new_root,адопт
адор,адорация,new_root,адор
адренал,адреналин,new_root,адренал
адуляр,адуляр,new_root,адуляр
адъектив,адъективация; адъективирование; адъективированный; адъективироваться,new_root,адъектив
адъюнкт,адъюнкт; адъюнкта; адъюнктство; адъюнктура,new_root,адъюнкт
адъютант,адъютант; генерал-адъютант; адъютантский; адъютантство; плац-адъютант; флигель-адъютантский,new_root,адъютант
адыг,адыгский,new_root,адыг
адыгей,адыгейка,new_root,адыгей
аеч,лужаечка,mapped,луж-1
ажгон,ажгон,new_root,ажгон
ажиот,ажиотаж; ажиотировать,new_root,ажиот
ажур,ажурный,new_root,ажур
азали,азалия,new_root,азали
азарин,азарин,new_root,азарин
азарт,азарт; азартный; азартничать,new_root,азарт
азбук,азбука; азбуковник,new_root,азбук
азербайджан,азербайджанский; азербайджанец; азербайджанка,new_root,азербайджан
ази,азиатский; азиат; азиатско-тихоокеанский; центральноазиатский; австроазиатский; азиатка; малоазиатский; палеоазиатский; палеоазиаты; переднеазиатский,new_root,ази
азий,евразийский; малоазийский,new_root,азий
азимут,азимутальный; азимутный; альтазимут,new_root,азимут
азм,плеоназм,new_root,азм
азо,азогруппа; азокраситель; азосоединение; азосочетание,new_root,азо
азов,азовский; приазовский,new_root,азов
азот,азот; азотный; азотдобывающий; азотирование; азотироваться; азотисто-водородный; азотно-калийный; азотно-фосфорный; азотноватистый; азотноватый; азотобактерин; азотобактерия; азотометр; азотсодержащий; азотусваивающий; азотфиксатор; азотфиксация; азотфиксирующий,new_root,азот
аил,аил,new_root,аил
аир,аир,new_root,аир
айв,айва; айвовый,new_root,айв
айлант,айлант,new_root,айлант
аймак,аймаковый,new_root,аймак
аймач,аймачный,new_root,аймач
айран,айран,new_root,айран
айрол,айрол,new_root,айрол
айсберг,айсберг,new_root,айсберг
айсинг,айсинг,new_root,айсинг
айсор,айсор; айсорка; айсорский,new_root,айсор
ак,акклиматизация; акклиматизироваться; акклиматизирование; акклиматизировать; маниакально-депрессивный; чудак-человек,lemma_level_conflict,
академ,академик; академический; академизм; академичный,new_root,академ
академи,академия,new_root,академи
акант,акант; акантовый,new_root,акант
акар,акарология,new_root,акар
акафист,акафист; акафистный,new_root,акафист
акаци,лжеакация,new_root,акаци
аква,акванавт; акваплан; акваполисоединение; аквасоединение; аквафортист,new_root,аква
акваланг,акваланг,new_root,акваланг
аквамарин,аквамарин; аквамариновый,new_root,аквамарин
акварел,акварелист; акварелистка,new_root,акварел
акварель,акварель; акварельный,new_root,акварель
аквариум,аквариум; аквариумный,new_root,аквариум
акватори,акватория,new_root,акватори
акведук,акведук,new_root,акведук
аккомод,аккомодация; аккомодировать,new_root,аккомод
аккомпан,аккомпанемент; аккомпанировать; аккомпанирование; аккомпанировка,new_root,аккомпан
аккорд,аккорд; квинтсекстаккорд; нонаккорд; секстаккорд; септаккорд; терцквартаккорд; ундецимаккорд,new_root,аккорд
аккордеон,аккордеон; аккордеонист; аккордеонистка,new_root,аккордеон
аккредит,аккредитация; аккредитовать; аккредитованный; аккредитоваться,new_root,аккредит
аккредитив,аккредитив,new_root,аккредитив
аккузатив,аккузатив,new_root,аккузатив
аккумул,аккумулятор; аккумулировать; аккумуляция; аккумулироваться; аккумулирование; аккумулятивный; аккумуляторно-зарядный; аккумуляционный; гидроаккумулирующий,new_root,аккумул
аккурат,неаккуратный; аккуратист,new_root,аккурат
аккуратн,аккуратный; аккуратность; аккуратненький,new_root,аккуратн
акме,акмеист; акмеистический; акмеистка; акмеистский,new_root,акме
акр,акр,new_root,акр
акридин,акридин; акридиновый,new_root,акридин
акрил,полиакриловый,new_root,акрил
акробат,акробат; акробатический; акробатика; акробатичный; акробатничание; акробатничать; акробатствовать,new_root,акробат
акрополь,акрополь,new_root,акрополь
аксакал,аксакал,new_root,аксакал
акселер,акселерация; акселерат; акселерограф; акселерометр,new_root,акселер
аксессуар,аксессуар,new_root,аксессуар
аксио,аксиометр,new_root,аксио
аксиом,аксиоматика,new_root,аксиом
аксон,аксон; аксонометрический; аксонометрия,new_root,аксон
акт,акт; актовый; одноактный; актированный; актироваться; двухактный; заактировать; многоактный; пятиактный; сактировать; четырехактный,new_root,акт
актер,актерский; киноактер; актерка; актерство; актеришка; актерствовать; по-актерски,new_root,актер
актив,активный; активность; актив; радиоактивный; активизация; активист; активизировать; активация; интерактивный; активированный; активировать; активистка; активатор; партактив; поверхностно-активный; активационный; активизирование; активизированный; активирование; активироваться; активистский; активно-индуктивный; альфа-радиоактивный; дезактивированный; дезактивировать; дезактивироваться; естественно-радиоактивный; катионоактивный; квазиактивный; малоактивный; радиоактивационный; ретроактивность; сейсмоактивный; слабоактивный; слаборадиоактивный; ядерно-активный,new_root,актив
актин,актин; актиний; актинобациллез; актинограф; актиноид; актинометр; актинометрический; актинометрия; актиномикоз; актиномицин,new_root,актин
актини,актиния,new_root,актини
актиниди,актинидия,new_root,актиниди
актр,актриса; киноактриса,new_root,актр
актуал,актуализация; актуализироваться; актуализирование; актуализованный; актуализовать; актуализоваться,new_root,актуал
актуаль,неактуальный,new_root,актуаль
актуальн,актуальность,new_root,актуальн
акул,акула; акулий; акуловые,new_root,акул
акупунктур,акупунктура,new_root,акупунктур
акуст,акустический; акустико-пневматический; биогидроакустика; геоакустика; гидроакустика; гидроакустический; радиогидроакустический; сейсмоакустический; электроакустика; электроакустический; электронно-акустический,new_root,акуст
акут,акут,new_root,акут
акуш,акушерка; акушер; акушерский,new_root,акуш
акушер,фельдшерско-акушерский,new_root,акушер
акцент,акцент; акцентировать; акцентирование; акцентуация; акцентатор; акцентировка; акцентовать; акцентоваться; акцентолог; акцентологический; акцентология; акцентуационный,new_root,акцент
акцепт,акцепт; акцептор; акцептант; акцептация; акцептный; акцептование; акцептованный; акцептоваться,new_root,акцепт
акцепц,акцепция,new_root,акцепц
акцесс,акцессорный,new_root,акцесс
акцесси,акцессионный; акцессия,new_root,акцесси
акци,акционер; акционный,new_root,акци
акцидент,акцидентный,new_root,акцидент
акциденц,акциденция,new_root,акциденц
акциз,акциз; акцизный,new_root,акциз
акын,акын,new_root,акын
ала,алатауский,new_root,ала
алатырь,алатырь,new_root,алатырь
албан,албанец; албанский; албанка,new_root,албан
алг,невралгический,new_root,алг
алгебр,алгебра; алгебраический,new_root,алгебр
алгоритм,алгоритм; алгоритмический; алгоритмизация; алгоритмизировать,new_root,алгоритм
алебард,алебарда; алебардный,new_root,алебард
алебастр,алебастровый; алебастр,new_root,алебастр
алевр,алеврит; алевритовый; алевролит,new_root,алевр
алейрон,алейрон; алейроновый,new_root,алейрон
александр,александрит,new_root,александр
алексин,алексин,new_root,алексин
алеут,алеут; алеутский,new_root,алеут
алжир,алжирский; алжирец; алжирка,new_root,алжир
али,химикалии,new_root,али
алидад,алидада,new_root,алидад
ализарин,ализариновый,new_root,ализарин
алимент,алименты; алиментарный; алиментный; алиментщик; алиментщица,new_root,алимент
алин,сихотэ-алинский,new_root,алин
алит,алитирование; алитировать; алитироваться,new_root,алит
алкал,алкалоид; безалкалоидный,new_root,алкал
алкил,алкил; алкилирование,new_root,алкил
алкогол,алкоголик; алкоголизм; алкоголичка; алкоголизировать; алкоголизироваться; алкоголизовать; алкоголизоваться,new_root,алкогол
алкоголь,алкоголь; алкогольный; безалкогольный; антиалкогольный; малоалкогольный; противоалкогольный,new_root,алкоголь
алкоран,алкоран,new_root,алкоран
аллах,аллах,new_root,аллах
аллегор,аллегорический; аллегоризм,new_root,аллегор
аллегори,аллегория,new_root,аллегори
аллел,аллелизм; аллеломорф; аллеломорфизм; гетероаллелизм; гомоаллелизм,new_root,аллел
аллель,аллель,new_root,аллель
аллерг,аллергологический; аллергология,new_root,аллерг
аллерги,аллергия,new_root,аллерги
аллигатор,аллигатор,new_root,аллигатор
аллилуй,аллилуйщик; аллилуйщина,new_root,аллилуй
аллитер,аллитерационный; аллитерирование,new_root,аллитер
алло,алломорф; аллопластика,new_root,алло
аллонж,аллонж,new_root,аллонж
аллопат,аллопатия,new_root,аллопат
аллюви,аллювиальный,new_root,аллюви
алоэ,алоэвидный,new_root,алоэ
алтай,алтайский; алтайка; урало-алтайский,new_root,алтай
алтей,алтей; алтейный,new_root,алтей
алунит,алунит,new_root,алунит
алфавит,алфавит; алфавитный; алфавитно-цифровой,new_root,алфавит
алыч,алыча; алычовый,new_root,алыч
аль,аль; горизонтально-вертикальный; горизонтально-ковочный; горизонтально-продольный; горизонтально-расточный; горизонтально-фрезерный; индивидуально-бригадный; индивидуально-психологический; индивидуально-трудовой; стригальщица,new_root,аль
альбед,альбедометр,new_root,альбед
альбин,альбинизм,new_root,альбин
альбинос,альбинос; альбиноска,new_root,альбинос
альбит,альбит,new_root,альбит
альбом,альбом; фотоальбом; альбом-буклет,new_root,альбом
альбумин,альбуминный; альбуминовый; альбуминоид; альбуминурия; хромоальбумин,new_root,альбумин
альвеол,альвеолярный,new_root,альвеол
альманах,альманах; киноальманах,new_root,альманах
альон,почтальон; почтальонский,mapped,почт
альп,альпинист; альпийский; альпинизм; альпинистский; альпинарий; альпеншток; альпиниада; альпинистка; субальпийский; трансальпийский,new_root,альп
альт,альтист; альтовый; альтазимут; альтиметр; альтистка,new_root,альт
альтерн,альтернат; альтернатор; альтернация; альтернирующий,new_root,альтерн
альтру,альтруизм; альтруист; альтруистичный,new_root,альтру
альфа,альфа-радиоактивный; альфа-радиометр; альфа-спектр; альфа-спектрометр; альфа-спектроскопия; альфа-терапия; альфаметр; альфатрон,new_root,альфа
альянс,альянс,new_root,альянс
алюм,алюмосиликат; алюмоаммонийный; алюмокалиевый; алюмомедь; алюмосиликатный,new_root,алюм
алюмин,алюминиевый; алюминат; алюминиево-калиевый; алюминиево-магниевый; алюминийорганический; алюминотермия; дюралюминий; кольчугалюминиевый; кольчугалюминий; сталеалюминиевый,new_root,алюмин
аляск,аляскит,new_root,аляск
амазон,амазонский; амазонит,new_root,амазон
амальгам,амальгама; амальгаматор; амальгамационный; амальгамация; амальгамировальный; амальгамирование; амальгамированный; амальгамировать; амальгамический; амальгамный,new_root,амальгам
аманат,аманат; аманатский,new_root,аманат
амарант,амарант,new_root,амарант
амариллис,амариллис,new_root,амариллис
аматер,аматер; аматерка,new_root,аматер
амбици,амбициозный; амбиционный,new_root,амбици
амбр,амбра; амбровый,new_root,амбр
амбразур,амбразура,new_root,амбразур
амбулатор,амбулаторный; амбулаторно-поликлинический,new_root,амбулатор
амбулатори,амбулатория,new_root,амбулатори
амбушюр,амбушюр,new_root,амбушюр
амвон,амвон,new_root,амвон
амеб,амеба; амебиаз; амебный; амебовидный; амебоноситель; амебообразный; амебоцит,new_root,амеб
америк,американка; латиноамериканский; англо-американский; по-американски; советско-американский; антиамериканский; американизм; проамериканский; американизация; американизированный; американизироваться; американо-английский; американо-советский; американоидный; европейско-американский; испано-американский; северноамериканский; североамериканец; центральноамериканский; южноамериканец,new_root,америк
америц,америций,new_root,америц
амиант,амиантовый,new_root,амиант
амид,полиамидный; амид; амидирование; амидол; амидопирин; карбамид; карбамидный,new_root,амид
амикошон,амикошонский; амикошонство; амикошонствовать,new_root,амикошон
амил,амилоза; амилоид; амилопектин,new_root,амил
амин,аминокислота; аминокислотный; амин; аминогруппа; аминопласт; аминосоединение; аминоспирт; дезаминирование; дезаминированный; дезаминироваться; метиламин; хлорамин,new_root,амин
амистад,амистад,new_root,амистад
амм,аммотол; аммофила; аммофос; диаммофос,new_root,амм
аммиак,аммиакат,new_root,аммиак
аммиач,гербицидно-аммиачный; медно-аммиачный,new_root,аммиач
аммо,аммонит,new_root,аммо
аммон,аммоний; алюмоаммонийный; аммонал; аммониевый; аммонизированный; аммонизировать; аммонийный; аммонификация; аммонолиз,new_root,аммон
амнист,амнистирование; амнистированный; амнистироваться,new_root,амнист
амнисти,амнистия,new_root,амнисти
аморт,амортизация; амортизатор; амортизировать; амортизированный; амортизироваться,new_root,аморт
ампел,ампелография; ампелотерапия,new_root,ампел
ампер,ампер; амперметр; ампер-весы; ампер-виток; ампер-секунда; ампер-час; ампервольтваттметр; ампервольтметр; ампервольтомметр; амперный; амперометрический; амперометрия; вольт-ампер; вольт-амперный; вольтамперметр; вольтамперомметр; высокоамперный; киловольт-ампер; микроампер; микроамперметр; миллиампер; миллиамперметр,new_root,ампер
ампир,ампир; ампирный,new_root,ампир
ампл,амплификация,new_root,ампл
амплитуд,амплитуда; амплитудный; амплитудно-импульсный; амплитудно-частотный; фазоамплитудный; частотно-амплитудный,new_root,амплитуд
ампул,ампула,new_root,ампул
ампут,ампутировать; ампутация; ампутационный; ампутированный,new_root,ампут
амт,почтамт; почтамтский,mapped,почт
аму,заамударьинский; приамударьинский,new_root,аму
амулет,амулет,new_root,амулет
амуници,амуниционный,new_root,амуници
амур,амур; амурный; амурничать; приамурский,new_root,амур
амфи,амфитеатр; амфибия; амфибийный; амфибол; амфиболия; амфибрахий; амфибрахический; амфипод,new_root,амфи
амфиби,танк-амфибия,new_root,амфиби
амфор,амфора,new_root,амфор
амхар,амхарский,new_root,амхар
ан,ан,new_root,ан
ана,анахронизм; анабиоз; анаграмма; анагалактический; анаграмматический; анаграммный; анаморфирование; анаморфический; анаморфотный; анахронический; анахроничный,new_root,ана
анабол,анаболизм; анаболия,new_root,анабол
анаконд,анаконда,new_root,анаконд
анакреонт,анакреонтический,new_root,анакреонт
анализ,анализ; анализировать; проанализировать; анализатор; самоанализ; анализаторский; анализированный; газоанализ; матанализ; микроанализ; проанализированный; экспресс-анализ; электроанализ,new_root,анализ
аналит,аналитик; аналитический; психоаналитический; аналитико-синтетический; микроаналитический; спектрально-аналитический,new_root,аналит
аналог,аналоговый; аналогизировать,new_root,аналог
аналоги,аналогия,new_root,аналоги
анальг,анальгин; анальгетик,new_root,анальг
анальги,анальгия,new_root,анальги
ананас,ананас; ананасный,new_root,ананас
анапест,анапест; анапестический,new_root,анапест
анарх,анархизм; анархический; анархиствующий; анархистка; анархистский; анархо-синдикалист; анархо-терроризм,new_root,анарх
анархи,анархия,new_root,анархи
анатом,анатомический; патологоанатом; анатомировать; анатомироваться; анатомо-физиологический; патолого-анатомический,new_root,анатом
анатоми,анатомия,new_root,анатоми
анафем,анафема; анафематствовать,new_root,анафем
анафилакси,анафилаксия,new_root,анафилакси
анафилакт,анафилактический,new_root,анафилакт
анафор,анафора; анафорический,new_root,анафор
анахорет,анахорет; анахоретский,new_root,анахорет
анаш,анаша; анашист,new_root,анаш
ангаж,ангажированный; ангажировать; ангажирование; ангажироваться; ангажировка,new_root,ангаж
