Number,Lemma,PoS,tikhonov_roots_raw,deterministic_roots,kuznetsova_homonym_candidates,roots
2974,бритоголовый,a,"бр,голов",голов,бр => бр-1|бр-2,
2975,бритоголовый,s,"бр,голов",голов,бр => бр-1|бр-2,
3187,бундесвер,s,"бунд,ес,вер","бунд,ес-2",вер => вер-1|вер-2|вер-3,
3198,бура,s,бур,,бур => бур-1|бур-2|бур-3,
3209,бурелом,s,"бур,лом",лом,бур => бур-1|бур-2|бур-3,
3211,буренка,s,бур,,бур => бур-1|бур-2|бур-3,
3653,вековечный,a,"век,веч",век-1,веч => веч-1|веч-2,
3671,великодушие,s,"велик,душ",вел-1,душ => душ-1|душ-2,
3673,великодушный,a,"велик,душ",вел-1,душ => душ-1|душ-2,
3680,великопостный,a,"велик,пост",вел-1,пост => пост-1|пост-2,
3682,великорусский,a,"велик,рус",вел-1,рус => рус-1|рус-2,
3777,вероисповедание,s,"вер,исповед",вед-1,вер => вер-1|вер-2|вер-3,
3781,веротерпимость,s,"вер,терп",терп,вер => вер-1|вер-2|вер-3,
3782,вероучение,s,"вер,уч",уч,вер => вер-1|вер-2|вер-3,
3792,верстка,s,верст,,верст => верст-1|верст-2,
3805,вертолет,s,"верт,лет",верт,лет => лет-1|лет-2,
3807,вертолетчик,s,"верт,лет",верт,лет => лет-1|лет-2,
3818,верховодить,v,"верх,вод",верх,вод => вод-1|вод-2,
3920,вечнозеленый,a,"веч,зелен",зел,веч => веч-1|веч-2,
3938,вещмешок,s,"вещ,мешок",меш-2,вещ => вещ-1|вещ-2|вещ-3,
3967,взаимозаменяемость,s,"взаим,мен",им-1,мен => мен-1|мен-2,
3968,взаимозаменяемый,a,"взаим,мен,ем","им-1,ем",мен => мен-1|мен-2,
3978,взаимосвязанный,a,"взаим,вяз",им-1,вяз => вяз-1|вяз-2,
4078,взлет,s,лет,,лет => лет-1|лет-2,
4081,взлетно-посадочный,a,"лет,сад",сад,лет => лет-1|лет-2,
4082,взлетный,a,лет,,лет => лет-1|лет-2,
4453,вложенный,a,лож,,лож => лож-1|лож-2,
4517,внесудебный,a,суд,,суд => суд-1|суд-2,
4620,воднолыжный,a,"вод,лыж",,вод => вод-1|вод-2; лыж => лыж-1|лыж-2,
4622,водовод,s,"вод,вод",,вод => вод-1|вод-2; вод => вод-1|вод-2,
4624,водоем,s,вод,,вод => вод-1|вод-2,
4625,водозабор,s,"вод,бор",,вод => вод-1|вод-2; бор => бор-1|бор-2|бор-3,
4626,водоизмещение,s,"вод,мещ",,вод => вод-1|вод-2; мещ => мещ-1|мещ-2,
4629,водолаз,s,"вод,лаз",лаз,вод => вод-1|вод-2,
4630,водолазка,s,"вод,лаз",лаз,вод => вод-1|вод-2,
4631,водолазный,a,"вод,лаз",лаз,вод => вод-1|вод-2,
4632,водомерка,s,"вод,мер",,вод => вод-1|вод-2; мер => мер-1|мер-2|мер-3,
4633,водонапорный,a,"вод,пор",,вод => вод-1|вод-2; пор => пор-1|пор-2|пор-3|пор-4,
4634,водонепроницаемый,a,"вод,ниц",ниц,вод => вод-1|вод-2,
4635,водоносный,a,"вод,нос",,вод => вод-1|вод-2; нос => нос-1|нос-2,
4637,водоохранный,a,"вод,хран",хран,вод => вод-1|вод-2,
4638,водопад,s,"вод,пад",пад,вод => вод-1|вод-2,
4639,водоплавающий,a,"вод,пла",плав,вод => вод-1|вод-2,
4642,водопользователь,s,"вод,польз",льз,вод => вод-1|вод-2,
4644,водопровод,s,"вод,вод",,вод => вод-1|вод-2; вод => вод-1|вод-2,
4648,водорастворимый,a,"вод,твор",,вод => вод-1|вод-2; твор => твор-1|твор-2,
4651,водоросль,s,"вод,рос",,вод => вод-1|вод-2; рос => рос-1|рос-2,
4652,водосбор,s,"вод,бор",,вод => вод-1|вод-2; бор => бор-1|бор-2|бор-3,
4653,водосборный,a,"вод,бор",,вод => вод-1|вод-2; бор => бор-1|бор-2|бор-3,
4654,водоснабжение,s,"вод,снабж",бж,вод => вод-1|вод-2,
4656,водосточный,a,"вод,точ",,вод => вод-1|вод-2; точ => точ-1|точ-2|точ-3,
4659,водохранилище,s,"вод,хран",хран,вод => вод-1|вод-2,
4701,военторг,s,"воен,торг",во(j)-2,торг => торг-1|торг-2,
4716,возбудимый,a,буд,,буд => буд-1|буд-2,
4779,воздуховод,s,"воздух,вод",дух,вод => вод-1|вод-2,
4903,волейбол,s,"волей,бол",волейбол,бол => бол-1|бол-2,
4905,волейбольный,a,"волей,боль",волейбол,боль => бол-1|бол-2,
4906,волей-неволей,adv,"вол,вол",,вол => вол-1|вол-2; вол => вол-1|вол-2,
4918,волновод,s,"волн,вод",,волн => волн-1|волн-2; вод => вод-1|вод-2,
4920,волнообразный,a,"волн,образ",раз-1,волн => волн-1|волн-2,
5095,восемнадцатилетний,a,"восем,дцат,лет","восем,дцат",лет => лет-1|лет-2,
5191,востоковедение,s,"восток,вед",ток-1,вед => вед-1|вед-2,
5229,восьмидесятилетний,a,"восьм,десят,лет","восьм,десят",лет => лет-1|лет-2,
5231,восьмилетний,a,"восьм,лет",восьм,лет => лет-1|лет-2,
5393,вредоносный,a,"вред,нос",вред,нос => нос-1|нос-2,
5494,всецело,adv,цел,,цел => цел-1|цел-2,
5624,всухомятку,adv,"сух,мят",сух,мят => мят-1|мят-2,
5645,втемную,adv,тем,,тем => тем-1|тем-2,
5654,втихомолку,adv,"тих,мол",тих,мол => мол-1|мол-2|мол-3,
5805,выводной,a,вод,,вод => вод-1|вод-2,
6006,выкорчевывать,v,корч,,корч => корч-1|корч-2,
6343,высокогорный,a,"высок,гор",выс,гор => гор-1|гор-2,
6351,высокомерие,s,"высок,мер",выс,мер => мер-1|мер-2|мер-3,
6353,высокомерный,a,"высок,мер",выс,мер => мер-1|мер-2|мер-3,
6372,высокорослый,a,"высок,рос",выс,рос => рос-1|рос-2,
6380,высокочастотный,a,"высок,част",выс,част => част-1|част-2,
6546,вышеизложенный,a,"выш,лож",выш,лож => лож-1|лож-2,
6551,вышеприведенный,a,"выш,вед",выш,вед => вед-1|вед-2,
6639,гаденыш,s,гад,,гад => гад-1|гад-2,
6676,газонокосилка,s,"газон,кос",газон,кос => кос-1|кос-2|кос-3|кос-4,
6746,гамма-излучение,s,"гамм,луч",гамм,луч => луч-1|луч-2|луч-3|луч-4|луч-5,
6925,геологоразведка,s,"гео,лог,вед","гео,лог",вед => вед-1|вед-2,
6927,геолого-разведочный,a,"гео,лог,вед","гео,лог",вед => вед-1|вед-2,
7026,гигантомания,s,"гигант,ман",гигант,ман => ман-1|ман-2,
7055,гидросамолет,s,"гидр,сам,лет","гидр,сам",лет => лет-1|лет-2,
7098,гипертоник,s,тон,,тон => тон-1|тон-2,
7099,гипертонический,a,тон,,тон => тон-1|тон-2,
7113,гипотония,s,"гипо,тон",гипо,тон => тон-1|тон-2,
7177,глазомер,s,"глаз,мер",глаз,мер => мер-1|мер-2|мер-3,
7500,горбоносый,a,"горб,нос",горб,нос => нос-1|нос-2,
7520,горемыка,s,"гор,мык",мык,гор => гор-1|гор-2,
7521,горемычный,a,"гор,мыч",,гор => гор-1|гор-2; мыч => мыч-1|мыч-2,
7539,горком,s,"гор,ком",ком,гор => гор-1|гор-2,
7558,горнодобывающий,a,"гор,добы",бы,гор => гор-1|гор-2,
7559,горнозаводский,a,"гор,завод",вод-1,гор => гор-1|гор-2,
7560,горно-лесистый,a,"гор,лес",,гор => гор-1|гор-2; лес => лес-1|лес-2|лес-3,
7561,горнолыжник,s,"гор,лыж",,гор => гор-1|гор-2; лыж => лыж-1|лыж-2,
7566,горнорудный,a,"гор,руд",руд,гор => гор-1|гор-2,
7613,горюче-смазочный,a,"гор,маз",маз,гор => гор-1|гор-2,
7628,горящий,a,гор,,гор => гор-1|гор-2,
7712,грабеж,s,"граб,еж",еж,граб => граб-1|граб-2,
7730,градоначальник,s,"град,началь",ч-1,град => град-1|град-2,
7731,градообразующий,a,"град,образу",образу,град => град-1|град-2,
7732,градостроитель,s,"град,стро",стро(j),град => град-1|град-2,
7733,градостроительный,a,"град,стро",стро(j),град => град-1|град-2,
7734,градостроительство,s,"град,стро",стро(j),град => град-1|град-2,
7767,гранатомет,s,"гранат,мет",гранат,мет => мет-1|мет-2,
7768,гранатометчик,s,"гранат,мет",гранат,мет => мет-1|мет-2,
7800,графоман,s,"граф,ман",граф,ман => ман-1|ман-2,
7801,графомания,s,"граф,ман",граф,ман => ман-1|ман-2,
8035,губошлеп,s,"губ,шлеп",шлеп,губ => губ-1|губ-2|губ-3,
8209,двадцатилетие,s,"дв,дцат,лет","дв,дцат",лет => лет-1|лет-2,
8210,двадцатилетний,a,"дв,дцат,лет","дв,дцат",лет => лет-1|лет-2,
8212,двадцатипятилетний,a,"дв,дцат,пят,лет","дв,дцат",пят => пят-1|пят-2; лет => лет-1|лет-2,
8270,двубортный,a,"дв,борт",дв,борт => борт-1|борт-2,
8279,двуколка,s,"дв,кол",дв,кол => кол-1|кол-2|кол-3,
8298,двухголовый,a,"дв,ух,голов","дв,голов",ух => ух-1|ух-2|ух-3|ух-4,
8299,двухдневный,a,"дв,ух,дн",дв,ух => ух-1|ух-2|ух-3|ух-4; дн => дн-1|дн-2,
8300,двухколесный,a,"дв,ух,колес","дв,кол-2",ух => ух-1|ух-2|ух-3|ух-4,
8301,двухкомнатный,a,"дв,ух,комнат","дв,комнат",ух => ух-1|ух-2|ух-3|ух-4,
8302,двухконтурный,a,"дв,ух,контур","дв,контур",ух => ух-1|ух-2|ух-3|ух-4,
8303,двухлетний,a,"дв,ух,лет",дв,ух => ух-1|ух-2|ух-3|ух-4; лет => лет-1|лет-2,
8305,двухмерный,a,"дв,ух,мер",дв,ух => ух-1|ух-2|ух-3|ух-4; мер => мер-1|мер-2|мер-3,
8307,двухмесячный,a,"дв,ух,месяч","дв,месяч",ух => ух-1|ух-2|ух-3|ух-4,
8308,двухметровый,a,"дв,ух,метр","дв,метр",ух => ух-1|ух-2|ух-3|ух-4,
8309,двухнедельный,a,"дв,ух,недель","дв,де(j)",ух => ух-1|ух-2|ух-3|ух-4,
8311,двухслойный,a,"дв,ух,слой","дв,сло(j)",ух => ух-1|ух-2|ух-3|ух-4,
8313,двухсторонний,a,"дв,ух,сторон","дв,сторон",ух => ух-1|ух-2|ух-3|ух-4,
8314,двухступенчатый,a,"дв,ух,ступен","дв,ступ-1",ух => ух-1|ух-2|ух-3|ух-4,
8317,двухтомный,a,"дв,ух,том",дв,ух => ух-1|ух-2|ух-3|ух-4; том => том-1|том-2,
8319,двухуровневый,a,"дв,ух,уровн","дв,уровн",ух => ух-1|ух-2|ух-3|ух-4,
8320,двухфазный,a,"дв,ух,фаз","дв,фаз",ух => ух-1|ух-2|ух-3|ух-4,
8321,двухцветный,a,"дв,ух,цвет","дв,цвет",ух => ух-1|ух-2|ух-3|ух-4,
8322,двухчасовой,a,"дв,ух,час","дв,час",ух => ух-1|ух-2|ух-3|ух-4,
8324,двухэтажный,a,"дв,ух,этаж","дв,этаж",ух => ух-1|ух-2|ух-3|ух-4,
8376,девяностолетний,a,"девяност,лет",девяност,лет => лет-1|лет-2,
8379,девятилетний,a,"девят,лет",девят,лет => лет-1|лет-2,
8621,деревообрабатывающий,a,"дерев,рабат",раб,дерев => дерев-1|дерев-2,
8622,деревообработка,s,"дерев,работ",раб,дерев => дерев-1|дерев-2,
8680,десятидневный,a,"десят,дн",десят,дн => дн-1|дн-2,
8684,десятилетие,s,"десят,лет",десят,лет => лет-1|лет-2,
8685,десятилетка,s,"десят,лет",десят,лет => лет-1|лет-2,
8686,десятилетний,a,"десят,лет",десят,лет => лет-1|лет-2,
8983,дисковод,s,"диск,вод",диск,вод => вод-1|вод-2,
9090,длинноносый,a,"длин,нос",дл,нос => нос-1|нос-2,
9146,доброволец,s,"добр,вол",добр,вол => вол-1|вол-2,
9153,добродушие,s,"добр,душ",добр,душ => душ-1|душ-2,
9155,добродушный,a,"добр,душ",добр,душ => душ-1|душ-2,
9214,доводить,v,вод,,вод => вод-1|вод-2,
9368,долговечный,a,"долг,веч",,долг => долг-1|долг-2; веч => веч-1|веч-2,
9373,долгожданный,a,"долг,жд",жд,долг => долг-1|долг-2,
9377,долгоиграющий,a,"долг,игр",игр,долг => долг-1|долг-2,
9378,долголетие,s,"долг,лет",,долг => долг-1|долг-2; лет => лет-1|лет-2,
9379,долголетний,a,"долг,лет",,долг => долг-1|долг-2; лет => лет-1|лет-2,
9381,долгосрочный,a,"долг,сроч",роч,долг => долг-1|долг-2,
9382,долгострой,s,"долг,строй",стро(j),долг => долг-1|долг-2,
9384,долготерпение,s,"долг,терп",терп,долг => долг-1|долг-2,
9447,домосед,s,"дом,сед",дом,сед => сед-1|сед-2,
9457,домочадец,s,"дом,чад",дом,чад => чад-1|чад-2,
9538,допустимый,a,пуст,,пуст => пуст-1|пуст-2,
9559,дорогостоящий,a,"дорог,сто",сто(j),дорог => дорог-1|дорог-2|дорог-3,
9567,дорожно-строительный,a,"дорож,стро",стро(j),дорож => дорож-1|дорож-2,
9568,дорожно-транспортный,a,"дорож,транспорт",транспорт,дорож => дорож-1|дорож-2,
9763,древнерусский,a,"древн,рус",древ-2,рус => рус-1|рус-2,
9955,душевая,s,душ,,душ => душ-1|душ-2,
9957,душевнобольной,a,"душ,больн",бол-1,душ => душ-1|душ-2,
9958,душевнобольной,s,"душ,больн",бол-1,душ => душ-1|душ-2,
9963,душегубка,s,"душ,губ",,душ => душ-1|душ-2; губ => губ-1|губ-2|губ-3,
9965,душераздирающий,a,"душ,дир",дир,душ => душ-1|душ-2,
9968,душещипательный,a,"душ,щип",щип,душ => душ-1|душ-2,
10088,единоборство,s,"един,бор",един,бор => бор-1|бор-2|бор-3,
10095,единодушие,s,"един,душ",един,душ => душ-1|душ-2,
10097,единодушный,a,"един,душ",един,душ => душ-1|душ-2,
10099,единокровный,a,"един,кров",един,кров => кров-1|кров-2,
10249,жалко,adv,жал,,жал => жал-1|жал-2,
10322,железнодорожный,a,"желез,дорож",желез-1,дорож => дорож-1|дорож-2,
10440,животновод,s,"живот,вод",жи,вод => вод-1|вод-2,
10441,животноводство,s,"живот,вод",жи,вод => вод-1|вод-2,
10442,животноводческий,a,"живот,вод",жи,вод => вод-1|вод-2,
10454,жид,s,жид,,жид => жид-1|жид-2,
10462,жидовка,s,жид,,жид => жид-1|жид-2,
10463,жидовский,a,жид,,жид => жид-1|жид-2,
10972,заданность,s,да,,да => да-1|да-2|да-3,
11170,закаленный,a,кал,,кал => кал-1|кал-2|кал-3,
11257,законодатель,s,"закон,да",кон-1,да => да-1|да-2|да-3,
11259,законодательный,a,"закон,да",кон-1,да => да-1|да-2|да-3,
11366,залетный,a,лет,,лет => лет-1|лет-2,
11386,залогодатель,s,"лог,да",лог,да => да-1|да-2|да-3,
12006,застегивать,v,стег,,стег => стег-1|стег-2,
12200,затюкать,v,тюк,,тюк => тюк-1|тюк-2,
12247,захлебываться,v,хлеб,,хлеб => хлеб-1|хлеб-2,
12395,звездолетчик,s,"звезд,лет",звезд,лет => лет-1|лет-2,
12494,землекоп,s,"земл,коп",зем,коп => коп-1|коп-2|коп-3,
12495,землемер,s,"земл,мер",зем,мер => мер-1|мер-2|мер-3,
12497,землепашец,s,"земл,паш",зем,паш => паш-1|паш-2|паш-3,
12571,злободневный,a,"зл,дн",зл,дн => дн-1|дн-2,
12574,зловещий,a,"зл,вещ",зл,вещ => вещ-1|вещ-2|вещ-3,
12638,знаменосец,s,"знам,нос",зна(j),нос => нос-1|нос-2,
12690,золотоносный,a,"золот,нос",золот,нос => нос-1|нос-2,
13050,излет,s,лет,,лет => лет-1|лет-2,
13136,износостойкость,s,"нос,стой",сто(j),нос => нос-1|нос-2,
13187,изотоп,s,топ,,топ => топ-1|топ-2|топ-3,
13188,изотопный,a,топ,,топ => топ-1|топ-2|топ-3,
13280,икроножный,a,"икр,нож",,икр => икр-1|икр-2; нож => нож-1|нож-2,
13333,иммобилизация,s,"им,мобил",мобил,им => им-1|им-2,
13334,иммобилизовать,v,"им,мобил",мобил,им => им-1|им-2,
13368,имплантация,s,"им,плант",плант,им => им-1|им-2,
13374,импорт,s,"им,порт",,им => им-1|им-2; порт => порт-1|порт-2|порт-3,
13375,импортер,s,"им,порт",,им => им-1|им-2; порт => порт-1|порт-2|порт-3,
13376,импортировать,v,"им,порт",,им => им-1|им-2; порт => порт-1|порт-2|порт-3,
13377,импортный,a,"им,порт",,им => им-1|им-2; порт => порт-1|порт-2|порт-3,
13752,ионообменный,a,"ион,мен",ион,мен => мен-1|мен-2,
13837,искрометный,a,"искр,мет",искр,мет => мет-1|мет-2,
13855,искусствовед,s,"искусств,вед",кус-2,вед => вед-1|вед-2,
13856,искусствоведение,s,"искусств,вед",кус-2,вед => вед-1|вед-2,
13857,искусствоведческий,a,"искусств,вед",кус-2,вед => вед-1|вед-2,
13995,истертый,a,тер,,тер => тер-1|тер-2,
14051,истощенный,a,тощ,,тощ => тощ-1|тощ-2,
14201,каждодневный,a,"кажд,дн",кажд-2,дн => дн-1|дн-2,
14233,казнокрадство,s,"казн,крад",крад,казн => казн-1|казн-2,
14263,каленый,a,кал,,кал => кал-1|кал-2|кал-3,
14269,калий,s,кал,,кал => кал-1|кал-2|кал-3,
14270,калийный,a,кал,,кал => кал-1|кал-2|кал-3,
14423,капиталовложение,s,"капитал,лож",капитал,лож => лож-1|лож-2,
14445,капремонт,s,"кап,ремонт",ремонт,кап => кап-1|кап-2|кап-3,
14452,капстрана,s,"кап,стран",стран,кап => кап-1|кап-2|кап-3,
14527,кареглазый,a,"кар,глаз",глаз,кар => кар-1|кар-2|кар-3,
14786,квартплата,s,"кварт,плат",кварт,плат => плат-1|плат-2,
14901,киновед,s,"кино,вед",кино,вед => вед-1|вед-2,
14930,кинопутешествие,s,"кино,пут",кино,пут => пут-1|пут-2,
14991,кисломолочный,a,"кис,молоч",,кис => кис-1|кис-2|кис-3; молоч => молоч-1|молоч-2,
14994,кисло-сладкий,a,"кис,сладк",слад,кис => кис-1|кис-2|кис-3,
15133,клиновидный,a,"клин,вид",вид,клин => клин-1|клин-2,
15135,клинописный,a,"клин,пис",пис,клин => клин-1|клин-2,
15136,клинопись,s,"клин,пись",пис,клин => клин-1|клин-2,
15309,кожзаменитель,s,"кож,мен",кож,мен => мен-1|мен-2,
15341,кока-кола,s,"кок,кол",кок,кол => кол-1|кол-2|кол-3,
15374,колдоговор,s,"кол,говор",говор,кол => кол-1|кол-2|кол-3,
15483,колхоз,s,"кол,хоз",хоз,кол => кол-1|кол-2|кол-3,
15485,колхозница,s,"кол,хоз",хоз,кол => кол-1|кол-2|кол-3,
15486,колхозный,a,"кол,хоз",хоз,кол => кол-1|кол-2|кол-3,
15695,комроты,s,"ком,рот",ком,рот => рот-1|рот-2,
15696,комсомол,s,"ком,мол",ком,мол => мол-1|мол-2|мол-3,
15709,конармеец,s,"кон,арме",арм,кон => кон-1|кон-2,
15710,конармия,s,"кон,арми",арм,кон => кон-1|кон-2,
15735,конгениальный,a,"кон,гени",гени,кон => кон-1|кон-2,
15739,конгрессмен,s,"конгресс,мен",конгресс,мен => мен-1|мен-2,
15759,коневодство,s,"кон,вод",,кон => кон-1|кон-2; вод => вод-1|вод-2,
15760,конек,s,кон,,кон => кон-1|кон-2,
15767,конический,a,кон,,кон => кон-1|кон-2,
15792,коновал,s,"кон,вал",вал,кон => кон-1|кон-2,
15793,коновязь,s,"кон,вязь",вяз-2,кон => кон-1|кон-2,
15794,конокрад,s,"кон,крад",крад,кон => кон-1|кон-2,
15917,контрмера,s,мер,,мер => мер-1|мер-2|мер-3,
15927,контрольно-измерительный,a,"контроль,мер",контроль,мер => мер-1|мер-2|мер-3,
15933,контрразведка,s,вед,,вед => вед-1|вед-2,
15995,концентрический,a,"кон,центр",центр,кон => кон-1|кон-2,
16046,копа,s,коп,,коп => коп-1|коп-2|коп-3,
16060,копировать,v,коп,,коп => коп-1|коп-2|коп-3,
16141,корнеплод,s,"корн,плод",плод,корн => корн-1|корн-2,
16177,коротковолновый,a,"коротк,волн",корот,волн => волн-1|волн-2,
16288,кособокий,a,"кос,бок",бок,кос => кос-1|кос-2|кос-3|кос-4,
16289,косоворотка,s,"кос,ворот",,кос => кос-1|кос-2|кос-3|кос-4; ворот => ворот-1|ворот-2,
16292,косоглазый,a,"кос,глаз",глаз,кос => кос-1|кос-2|кос-3|кос-4,
16293,косогор,s,"кос,гор",,кос => кос-1|кос-2|кос-3|кос-4; гор => гор-1|гор-2,
16334,котенок,s,кот,,кот => кот-1|кот-2,
16336,котироваться,v,кот,,кот => кот-1|кот-2,
16337,котировка,s,кот,,кот => кот-1|кот-2,
16356,кофемолка,s,"кофе,мол",кофе(j),мол => мол-1|мол-2|мол-3,
16422,кранец,s,кран,,кран => кран-1|кран-2,
16424,крановщик,s,кран,,кран => кран-1|кран-2,
16462,краснодеревщик,s,"красн,дерев",крас-1,дерев => дерев-1|дерев-2,
16590,крестоносец,s,"крест,нос",крест,нос => нос-1|нос-2,
16620,кривотолки,s,"крив,толк",крив,толк => толк-1|толк-2,
16667,кроваво-красный,a,"кров,красн",крас-1,кров => кров-1|кров-2,
16673,кровеносный,a,"кров,нос",,кров => кров-1|кров-2; нос => нос-1|нос-2,
16679,кровожадность,s,"кров,жадн",жад,кров => кров-1|кров-2,
16680,кровожадный,a,"кров,жадн",жад,кров => кров-1|кров-2,
16682,кровообращение,s,"кров,обращ",обращ,кров => кров-1|кров-2,
16683,кровопийца,s,"кров,пий",пий,кров => кров-1|кров-2,
16685,кровопотеря,s,"кров,тер",,кров => кров-1|кров-2; тер => тер-1|тер-2,
16686,кровопролитие,s,"кров,ли",ли,кров => кров-1|кров-2,
16688,кровопускание,s,"кров,пуск",пуск,кров => кров-1|кров-2,
16689,кровосмешение,s,"кров,меш",меш-1,кров => кров-1|кров-2,
16690,кровоснабжение,s,"кров,снабж",бж,кров => кров-1|кров-2,
16695,кровоточить,v,"кров,точ",,кров => кров-1|кров-2; точ => точ-1|точ-2|точ-3,
16757,круговорот,s,"круг,ворот",круг,ворот => ворот-1|ворот-2,
16905,кукловод,s,"кукл,вод",кукл,вод => вод-1|вод-2,
16999,купировать,v,куп,,куп => куп-1|куп-2|куп-3,
17018,куратор,s,кур,,кур => кур-1|кур-2,
17033,курировать,v,кур,,кур => кур-1|кур-2,
17040,курносый,a,"кур,нос",,кур => кур-1|кур-2; нос => нос-1|нос-2,
17095,кутеж,s,"кут,еж",еж,кут => кут-1|кут-2|кут-3|кут-4|кут-5,
17096,кутенок,s,кут,,кут => кут-1|кут-2|кут-3|кут-4|кут-5,
17208,лаковый,a,лак,,лак => лак-1|лак-2,
17209,лакокрасочный,a,"лак,крас",,лак => лак-1|лак-2; крас => крас-1|крас-2,
17338,легирование,s,лег,,лег => лег-1|лег-2,
17340,легировать,v,лег,,лег => лег-1|лег-2,
17349,легковерный,a,"легк,вер",лег-1,вер => вер-1|вер-2|вер-3,
17350,легковесный,a,"легк,вес",лег-1,вес => вес-1|вес-2|вес-3|вес-4,
17362,легонький,a,лег,,лег => лег-1|лег-2,
17378,ледокол,s,"лед,кол",лед-2,кол => кол-1|кол-2|кол-3,
17434,ленинградец,s,"ленин,град",ленин,град => град-1|град-2,
17436,ленинградский,a,"ленин,град",ленин,град => град-1|град-2,
17482,лесовод,s,"лес,вод",,лес => лес-1|лес-2|лес-3; вод => вод-1|вод-2,
17483,лесоводственный,a,"лес,вод",,лес => лес-1|лес-2|лес-3; вод => вод-1|вод-2,
17485,лесовоз,s,"лес,воз",воз,лес => лес-1|лес-2|лес-3,
17490,лесозаготовительный,a,"лес,готов",готов,лес => лес-1|лес-2|лес-3,
17496,лесонасаждение,s,"лес,сажд",сажд,лес => лес-1|лес-2|лес-3,
17498,лесопарк,s,"лес,парк",парк,лес => лес-1|лес-2|лес-3,
17499,лесопарковый,a,"лес,парк",парк,лес => лес-1|лес-2|лес-3,
17501,лесопильный,a,"лес,пиль",пил,лес => лес-1|лес-2|лес-3,
17502,лесоповал,s,"лес,вал",вал,лес => лес-1|лес-2|лес-3,
17504,лесополоса,s,"лес,полос",,лес => лес-1|лес-2|лес-3; полос => полос-1|полос-2,
17507,лесопосадка,s,"лес,сад",сад,лес => лес-1|лес-2|лес-3,
17509,лесопромышленный,a,"лес,промышл",мышл,лес => лес-1|лес-2|лес-3,
17511,лесоразведение,s,"лес,вед",,лес => лес-1|лес-2|лес-3; вед => вед-1|вед-2,
17515,лесосека,s,"лес,сек",сек,лес => лес-1|лес-2|лес-3,
17516,лесосеменной,a,"лес,сем",,лес => лес-1|лес-2|лес-3; сем => сем-1|сем-2|сем-3,
17517,лесосечный,a,"лес,сеч",сеч,лес => лес-1|лес-2|лес-3,
17519,лесостепь,s,"лес,степь",степ,лес => лес-1|лес-2|лес-3,
17520,лесотехнический,a,"лес,техн",техн,лес => лес-1|лес-2|лес-3,
17522,лесоустроительный,a,"лес,стро",стро(j),лес => лес-1|лес-2|лес-3,
17523,лесоустройство,s,"лес,строй",стро(j),лес => лес-1|лес-2|лес-3,
17526,леспромхоз,s,"лес,пром,хоз","пром,хоз",лес => лес-1|лес-2|лес-3,
17527,леспромхозовский,a,"лес,пром,хоз","пром,хоз",лес => лес-1|лес-2|лес-3,
17534,лесхоз,s,"лес,хоз",хоз,лес => лес-1|лес-2|лес-3,
17535,лет,s,лет,,лет => лет-1|лет-2,
17545,летно-технический,a,"лет,техн",техн,лет => лет-1|лет-2,
17546,летный,a,лет,,лет => лет-1|лет-2,
