tikhonov_root,lemmas,decision,root
азербайджан,азербайджанский; азербайджанец; азербайджанка,,
ази,азиатский; азиат; азиатско-тихоокеанский; центральноазиатский; австроазиатский; азиатка; малоазиатский; палеоазиатский; палеоазиаты; переднеазиатский,,
азий,евразийский; малоазийский,,
азимут,азимутальный; азимутный; альтазимут,,
азм,плеоназм,,
азо,азогруппа; азокраситель; азосоединение; азосочетание,,
азов,азовский; приазовский,,
азот,азот; азотный; азотдобывающий; азотирование; азотироваться; азотисто-водородный; азотно-калийный; азотно-фосфорный; азотноватистый; азотноватый; азотобактерин; азотобактерия; азотометр; азотсодержащий; азотусваивающий; азотфиксатор; азотфиксация; азотфиксирующий,,
аил,аил,,
аир,аир,,
айв,айва; айвовый,,
айлант,айлант,,
аймак,аймаковый,,
аймач,аймачный,,
айран,айран,,
айрол,айрол,,
айсберг,айсберг,,
айсинг,айсинг,,
айсор,айсор; айсорка; айсорский,,
ак,акклиматизация; акклиматизироваться; акклиматизирование; акклиматизировать; маниакально-депрессивный; чудак-человек,,
академ,академик; академический; академизм; академичный,,
академи,академия,,
акант,акант; акантовый,,
акар,акарология,,
акафист,акафист; акафистный,,
акаци,лжеакация,,
аква,акванавт; акваплан; акваполисоединение; аквасоединение; аквафортист,,
акваланг,акваланг,,
аквамарин,аквамарин; аквамариновый,,
акварел,акварелист; акварелистка,,
акварель,акварель; акварельный,,
аквариум,аквариум; аквариумный,,
акватори,акватория,,
акведук,акведук,,
аккомод,аккомодация; аккомодировать,,
аккомпан,аккомпанемент; аккомпанировать; аккомпанирование; аккомпанировка,,
аккорд,аккорд; квинтсекстаккорд; нонаккорд; секстаккорд; септаккорд; терцквартаккорд; ундецимаккорд,,
аккордеон,аккордеон; аккордеонист; аккордеонистка,,
аккредит,аккредитация; аккредитовать; аккредитованный; аккредитоваться,,
аккредитив,аккредитив,,
аккузатив,аккузатив,,
аккумул,аккумулятор; аккумулировать; аккумуляция; аккумулироваться; аккумулирование; аккумулятивный; аккумуляторно-зарядный; аккумуляционный; гидроаккумулирующий,,
аккурат,неаккуратный; аккуратист,,
аккуратн,аккуратный; аккуратность; аккуратненький,,
акме,акмеист; акмеистический; акмеистка; акмеистский,,
акр,акр,,
акридин,акридин; акридиновый,,
акрил,полиакриловый,,
акробат,акробат; акробатический; акробатика; акробатичный; акробатничание; акробатничать; акробатствовать,,
акрополь,акрополь,,
аксакал,аксакал,,
акселер,акселерация; акселерат; акселерограф; акселерометр,,
аксессуар,аксессуар,,
аксио,аксиометр,,
аксиом,аксиоматика,,
аксон,аксон; аксонометрический; аксонометрия,,
акт,акт; актовый; одноактный; актированный; актироваться; двухактный; заактировать; многоактный; пятиактный; сактировать; четырехактный,,
актер,актерский; киноактер; актерка; актерство; актеришка; актерствовать; по-актерски,,
актив,активный; активность; актив; радиоактивный; активизация; активист; активизировать; активация; интерактивный; активированный; активировать; активистка; активатор; партактив; поверхностно-активный; активационный; активизирование; активизированный; активирование; активироваться; активистский; активно-индуктивный; альфа-радиоактивный; дезактивированный; дезактивировать; дезактивироваться; естественно-радиоактивный; катионоактивный; квазиактивный; малоактивный; радиоактивационный; ретроактивность; сейсмоактивный; слабоактивный; слаборадиоактивный; ядерно-активный,,
актин,актин; актиний; актинобациллез; актинограф; актиноид; актинометр; актинометрический; актинометрия; актиномикоз; актиномицин,,
актини,актиния,,
актиниди,актинидия,,
актр,актриса; киноактриса,,
актуал,актуализация; актуализироваться; актуализирование; актуализованный; актуализовать; актуализоваться,,
актуаль,неактуальный,,
актуальн,актуальность,,
акул,акула; акулий; акуловые,,
акупунктур,акупунктура,,
акуст,акустический; акустико-пневматический; биогидроакустика; геоакустика; гидроакустика; гидроакустический; радиогидроакустический; сейсмоакустический; электроакустика; электроакустический; электронно-акустический,,
акут,акут,,
акуш,акушерка; акушер; акушерский,,
акушер,фельдшерско-акушерский,,
акцент,акцент; акцентировать; акцентирование; акцентуация; акцентатор; акцентировка; акцентовать; акцентоваться; акцентолог; акцентологический; акцентология; акцентуационный,,
акцепт,акцепт; акцептор; акцептант; акцептация; акцептный; акцептование; акцептованный; акцептоваться,,
акцепц,акцепция,,
акцесс,акцессорный,,
акцесси,акцессионный; акцессия,,
акци,акционер; акционный,,
акцидент,акцидентный,,
акциденц,акциденция,,
акциз,акциз; акцизный,,
акын,акын,,
ала,алатауский,,
алатырь,алатырь,,
албан,албанец; албанский; албанка,,
алг,невралгический,,
алгебр,алгебра; алгебраический,,
алгоритм,алгоритм; алгоритмический; алгоритмизация; алгоритмизировать,,
алебард,алебарда; алебардный,,
алебастр,алебастровый; алебастр,,
алевр,алеврит; алевритовый; алевролит,,
алейрон,алейрон; алейроновый,,
александр,александрит,,
алексин,алексин,,
алеут,алеут; алеутский,,
алжир,алжирский; алжирец; алжирка,,
али,химикалии,,
алидад,алидада,,
ализарин,ализариновый,,
алимент,алименты; алиментарный; алиментный; алиментщик; алиментщица,,
алин,сихотэ-алинский,,
алит,алитирование; алитировать; алитироваться,,
алкал,алкалоид; безалкалоидный,,
алкил,алкил; алкилирование,,
алкогол,алкоголик; алкоголизм; алкоголичка; алкоголизировать; алкоголизироваться; алкоголизовать; алкоголизоваться,,
алкоголь,алкоголь; алкогольный; безалкогольный; антиалкогольный; малоалкогольный; противоалкогольный,,
алкоран,алкоран,,
аллах,аллах,,
аллегор,аллегорический; аллегоризм,,
аллегори,аллегория,,
аллел,аллелизм; аллеломорф; аллеломорфизм; гетероаллелизм; гомоаллелизм,,
аллель,аллель,,
аллерг,аллергологический; аллергология,,
аллерги,аллергия,,
аллигатор,аллигатор,,
аллилуй,аллилуйщик; аллилуйщина,,
аллитер,аллитерационный; аллитерирование,,
алло,алломорф; аллопластика,,
аллонж,аллонж,,
аллопат,аллопатия,,
аллюви,аллювиальный,,
алоэ,алоэвидный,,
алтай,алтайский; алтайка; урало-алтайский,,
алтей,алтей; алтейный,,
алунит,алунит,,
алфавит,алфавит; алфавитный; алфавитно-цифровой,,
алыч,алыча; алычовый,,
аль,аль; горизонтально-вертикальный; горизонтально-ковочный; горизонтально-продольный; горизонтально-расточный; горизонтально-фрезерный; индивидуально-бригадный; индивидуально-психологический; индивидуально-трудовой; стригальщица,,
альбед,альбедометр,,
альбин,альбинизм,,
альбинос,альбинос; альбиноска,,
альбит,альбит,,
альбом,альбом; фотоальбом; альбом-буклет,,
альбумин,альбуминный; альбуминовый; альбуминоид; альбуминурия; хромоальбумин,,
альвеол,альвеолярный,,
альманах,альманах; киноальманах,,
альон,почтальон; почтальонский,,
альп,альпинист; альпийский; альпинизм; альпинистский; альпинарий; альпеншток; альпиниада; альпинистка; субальпийский; трансальпийский,,
альт,альтист; альтовый; альтазимут; альтиметр; альтистка,,
альтерн,альтернат; альтернатор; альтернация; альтернирующий,,
альтру,альтруизм; альтруист; альтруистичный,,
альфа,альфа-радиоактивный; альфа-радиометр; альфа-спектр; альфа-спектрометр; альфа-спектроскопия; альфа-терапия; альфаметр; альфатрон,,
альянс,альянс,,
алюм,алюмосиликат; алюмоаммонийный; алюмокалиевый; алюмомедь; алюмосиликатный,,
алюмин,алюминиевый; алюминат; алюминиево-калиевый; алюминиево-магниевый; алюминийорганический; алюминотермия; дюралюминий; кольчугалюминиевый; кольчугалюминий; сталеалюминиевый,,
аляск,аляскит,,
амазон,амазонский; амазонит,,
амальгам,амальгама; амальгаматор; амальгамационный; амальгамация; амальгамировальный; амальгамирование; амальгамированный; амальгамировать; амальгамический; амальгамный,,
аманат,аманат; аманатский,,
амарант,амарант,,
амариллис,амариллис,,
аматер,аматер; аматерка,,
амбици,амбициозный; амбиционный,,
амбр,амбра; амбровый,,
амбразур,амбразура,,
амбулатор,амбулаторный; амбулаторно-поликлинический,,
амбулатори,амбулатория,,
амбушюр,амбушюр,,
амвон,амвон,,
амеб,амеба; амебиаз; амебный; амебовидный; амебоноситель; амебообразный; амебоцит,,
америк,американка; латиноамериканский; англо-американский; по-американски; советско-американский; антиамериканский; американизм; проамериканский; американизация; американизированный; американизироваться; американо-английский; американо-советский; американоидный; европейско-американский; испано-американский; северноамериканский; североамериканец; центральноамериканский; южноамериканец,,
америц,америций,,
амиант,амиантовый,,
амид,полиамидный; амид; амидирование; амидол; амидопирин; карбамид; карбамидный,,
амикошон,амикошонский; амикошонство; амикошонствовать,,
амил,амилоза; амилоид; амилопектин,,
амин,аминокислота; аминокислотный; амин; аминогруппа; аминопласт; аминосоединение; аминоспирт; дезаминирование; дезаминированный; дезаминироваться; метиламин; хлорамин,,
амистад,амистад,,
амм,аммотол; аммофила; аммофос; диаммофос,,
аммиак,аммиакат,,
аммиач,гербицидно-аммиачный; медно-аммиачный,,
аммо,аммонит,,
аммон,аммоний; алюмоаммонийный; аммонал; аммониевый; аммонизированный; аммонизировать; аммонийный; аммонификация; аммонолиз,,
амнист,амнистирование; амнистированный; амнистироваться,,
амнисти,амнистия,,
аморт,амортизация; амортизатор; амортизировать; амортизированный; амортизироваться,,
ампел,ампелография; ампелотерапия,,
ампер,ампер; амперметр; ампер-весы; ампер-виток; ампер-секунда; ампер-час; ампервольтваттметр; ампервольтметр; ампервольтомметр; амперный; амперометрический; амперометрия; вольт-ампер; вольт-амперный; вольтамперметр; вольтамперомметр; высокоамперный; киловольт-ампер; микроампер; микроамперметр; миллиампер; миллиамперметр,,
ампир,ампир; ампирный,,
ампл,амплификация,,
амплитуд,амплитуда; амплитудный; амплитудно-импульсный; амплитудно-частотный; фазоамплитудный; частотно-амплитудный,,
ампул,ампула,,
ампут,ампутировать; ампутация; ампутационный; ампутированный,,
амт,почтамт; почтамтский,,
аму,заамударьинский; приамударьинский,,
амулет,амулет,,
амуници,амуниционный,,
амур,амур; амурный; амурничать; приамурский,,
амфи,амфитеатр; амфибия; амфибийный; амфибол; амфиболия; амфибрахий; амфибрахический; амфипод,,
амфиби,танк-амфибия,,
амфор,амфора,,
амхар,амхарский,,
ан,ан,,
ана,анахронизм; анабиоз; анаграмма; анагалактический; анаграмматический; анаграммный; анаморфирование; анаморфический; анаморфотный; анахронический; анахроничный,,
анабол,анаболизм; анаболия,,
анаконд,анаконда,,
анакреонт,анакреонтический,,
анализ,анализ; анализировать; проанализировать; анализатор; самоанализ; анализаторский; анализированный; газоанализ; матанализ; микроанализ; проанализированный; экспресс-анализ; электроанализ,,
аналит,аналитик; аналитический; психоаналитический; аналитико-синтетический; микроаналитический; спектрально-аналитический,,
аналог,аналоговый; аналогизировать,,
аналоги,аналогия,,
анальг,анальгин; анальгетик,,
анальги,анальгия,,
ананас,ананас; ананасный,,
анапест,анапест; анапестический,,
анарх,анархизм; анархический; анархиствующий; анархистка; анархистский; анархо-синдикалист; анархо-терроризм,,
анархи,анархия,,
анатом,анатомический; патологоанатом; анатомировать; анатомироваться; анатомо-физиологический; патолого-анатомический,,
анатоми,анатомия,,
анафем,анафема; анафематствовать,,
анафилакси,анафилаксия,,
анафилакт,анафилактический,,
анафор,анафора; анафорический,,
анахорет,анахорет; анахоретский,,
анаш,анаша; анашист,,
ангаж,ангажированный; ангажировать; ангажирование; ангажироваться; ангажировка,,
анги,ангиограмма; ангиология; ангиома; ангионевроз; ангиоспазм; лимфангиит; лимфангиома,,
ангий,макроспорангий; микроспорангий,,
ангин,ангина; ангинный,,
англ,англо-американский; англосаксонский; англизированный; англизировать; англизироваться; англо-египетский; англо-советско-иранский; англоман; англомания; англоманка; англоманский; англосаксонцы; англосаксы; англофил; англофоб,,
англи,англичанин,,
англий,английский; американо-английский; русско-английский,,
англик,англиканец,,
англиц,англицизм,,
ангор,ангорский,,
ангстрем,ангстрем,,
анд,андо-дидойский; дуранда,,
андалуз,андалузит,,
андант,анданте,,
андез,андезин; андезит,,
анди,андиец,,
андий,андийский,,
андр,андроген; андрогенез; андрогиния; андрофобия; биандрия; полиандрия,,
анекдот,анекдот; анекдотический; анекдотец,,
анем,анемичный; анемический; анемометр; анемон; анемофилия; анемохория; термоанемометр,,
анеми,анемия,,
анестез,анестезия; анестезин; анестезировать; анестезироваться; анестезирующий,,
анестези,анестезиолог; анестезиологический; анестезиология,,
анестет,анестетик; анестетический,,
анил,анилокраситель,,
анилин,анилин; анилиновый; анилинокрасочный,,
аним,анимизм; анимист; анимистический,,
анимал,анимализация; анимализм; анималист; анималистический,,
анимальн,анимальный,,
анис,анисовка; анисовый; нашатырно-анисовый,,
анкер,анкер; анкерит; анкерок,,
анкет,анкета; анкетный; анкетировать,,
анклав,анклав,,
аннал,анналы; анналист,,
аннекс,аннексирование; аннексированный; аннексировать; аннексироваться,,
аннекси,аннексионизм; аннексионист; аннексионистский,,
аннон,анноновые,,
аннот,автоаннотирование; аннотирование; аннотированный; аннотировать; аннотироваться,,
аннул,аннулировать; аннулированный; аннулироваться; аннуляция,,
анод,анод; анодный; анодно-импульсный; анодно-механический; анодно-химический,,
аномали,аномалия,,
аномаль,аномальный,,
анонс,анонсировать; анонс; анонсированный; анонсироваться,,
ансамбль,бит-ансамбль; поп-ансамбль; рок-ансамбль,,
ант,анты,,
антагон,антагонист; антагонистичный; антагонистка,,
антен,антенный,,
антенн,антенна; антеннщик; радиоантенна,,
анти,геоантиклиналь,,
антикв,антиква,,
антиквар,антикварный; антиквариат; антиквар,,
антилоп,антилопа,,
антимон,антимоний; антимонит,,
антицип,антиципация; антиципировать,,
антич,античный; античность; позднеантичный,,
антолог,антологичный,,
антон,антоновка,,
антракт,антрактный; антрактовый,,
антрац,антрацитный; антрацитовый,,
антрекот,антрекот,,
антрепренер,антрепренер; антрепренерство,,
антреприз,антреприза,,
антроп,антропогенный; антропология; антропологический; антрополог; мизантроп; антропогенез; антропогенетика; антропоид; антропологизм; антропометр; антропометрический; антропометрия; антропоморфизм; антропоморфический; антропонимика; антропос; антропософ; антропософический; антропософия; антропософский; антропосфера; антропофаг; антропофагия; антропоцентризм; мизантропический; мизантропия; мизантропка; палеоантрополог; палеоантропологический; палеоантропология; плезиантроп; синантроп; синантропный; филантропизм; филантропический; филантропка,,
антураж,антураж,,
анчоус,анчоусный,,
аншеф,аншеф,,
аншлаг,аншлаг; аншлаговый,,
аншлюс,аншлюс,,
ань,аханье,,
аорист,аорист; аористический,,
аорт,аорта; аортит; аортовый,,
апартамент,апартаменты,,
апартеид,апартеид,,
апат,апатит; апатитовый; апатитоносный,,
апач,апачи,,
апелл,апелляция; апелла; апеллирование; апеллянт,,
апельсин,апельсиновый; апельсинный; апельсинчик,,
аплод,аплодисменты; аплодировать; зааплодировать; поаплодировать; аплодирование,,
апломб,апломб,,
апо,апогей; апоневроз,,
апокалипс,апокалипсический,,
апокалипсис,апокалипсис,,
апокалипт,апокалиптический,,
апокрин,апокринный; апокриновый,,
апокриф,апокриф; апокрифический; апокрифичный,,
аполог,апологетика; аполог; апологист,,
апологи,апология,,
апоплекс,апоплексический,,
апоплекси,апоплексия,,
апоплект,апоплектик,,
