Number,Lemma,PoS,reason,tikhonov_roots_raw,deterministic_roots,kuznetsova_homonym_candidates,notes,roots
93,авиапром,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
95,авиарейс,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
96,авиасалон,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
97,авиастроение,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
98,авиастроитель,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
101,авиатор,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
102,авиационно-космический,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
103,авиационный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
105,авиетка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
106,авионика,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
108,авокадо,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
116,австро-венгерский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
117,авто,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
119,автобан,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
120,автобиографический,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
121,автобиография,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
124,автовладелец,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
126,автоген,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
127,автогигант,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
128,автогонки,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
129,автогонщик,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
130,автогражданский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
134,автодром,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
135,автозавод,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
137,автозаводский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
138,автозаправка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
140,автозапчасти,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
141,автоинспектор,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
144,автоклав,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
145,автоколонна,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
147,автокран,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
148,автолавка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
149,автолюбитель,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
151,автомастерская,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
152,автомат,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
158,автоматически,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
161,автоматчик,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
162,автомашина,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
163,автомеханик,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
164,автомобилестроение,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
165,автомобилестроитель,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
170,автомобильчик,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
172,автономно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
173,автономность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
174,автономный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
175,автоответчик,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
179,автопортрет,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
180,автопредприятие,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
181,автопроизводитель,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
182,автопром,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
184,авторадио,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
185,авторемонтный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
186,автореферат,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
187,авторизация,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
189,авторитаризм,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
190,авторитарность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
192,авторитет,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
193,авторитетнейший,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
194,авторитетно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
195,авторитетность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
198,авторство,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
200,авторынок,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
205,автоспорт,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
206,автоспортивный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
210,автострада,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
211,автострахование,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
213,автотранспортный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
215,автофургон,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
216,автохозяйство,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
217,автоцентр,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
219,автошкола,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
221,агар,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
222,агарозный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
223,агат,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
224,агенс,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
225,агент,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
230,агинский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
233,агитация,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
235,агитка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
236,агитпроп,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
238,агломерат,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
243,агония,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
244,аграрий,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
248,агрегирование,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
249,агрегированный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
250,агрессивно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
255,агролесомелиоративный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
260,агропромбанк,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
264,агрофирма,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
265,агрохолдинг,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
266,агуша,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
268,адажио,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
269,адамантан,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
270,адамов,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
271,адаптационный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
273,адаптер,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
274,адаптивность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
275,адаптивный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
279,адвентист,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
283,адгезия,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
284,аддитивный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
285,адекватно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
286,адекватность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
290,аденома,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
291,адепт,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
292,административно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
293,административно-командный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
294,административно-правовой,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
295,административно-процессуальный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
300,администраторша,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
301,администрация,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
315,адриатический,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
317,адсорбат,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
321,адъювант,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
323,адюльтер,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
325,ажиотажный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
326,ажур,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
331,азартно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
334,азбучный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
335,азер,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
341,азимут,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
343,азорский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
346,аи,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
350,айкидо,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
352,академгородок,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
359,акация,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
361,аквалангист,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
362,аквапарк,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
369,акклиматизация,s,lemma_level_conflict,"ак,климат",климат,,Root-level mapping escalated ак to lemma-level conflict,
370,акклиматизироваться,v,lemma_level_conflict,"ак,климат",климат,,Root-level mapping escalated ак to lemma-level conflict,
372,аккомпаниатор,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
379,аккредитивный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
385,аккумуляторный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
387,аккурат,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
388,аккурат,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
390,аккуратненько,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
391,аккуратно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
394,акмеизм,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
396,аконит,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
398,акрил,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
399,акриловый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
404,акростих,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
406,акселератор,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
408,аксель,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
409,аксельбант,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
411,аксиологический,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
412,аксиома,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
413,аксиоматический,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
416,актант,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
417,актантный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
418,актер,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
427,активизироваться,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
432,активнейший,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
433,активно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
438,актор,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
441,актуализировать,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
443,актуально,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
445,актуальный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
448,акустика,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
453,акушерство,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
457,акцентироваться,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
464,акционерный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
465,акционирование,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
466,акционировать,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
467,акция,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
469,алайский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
470,алан,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
479,александрийский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
480,александринский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
482,александровский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
483,александро-невский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
484,алексеевский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
490,алиби,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
492,алия,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
501,аллантоисный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
505,аллейка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
506,аллерген,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
507,аллергик,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
508,аллергический,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
510,аллея,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
512,аллилуйя,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
513,аллитерация,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
514,аллюзия,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
515,аллюр,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
516,алма-атинский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
519,алмазоносный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
521,алоэ,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
531,алчно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
536,альбатрос,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
539,альбомный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
540,альбомчик,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
541,альбумин,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
542,альвеола,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
544,альдегид,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
545,альков,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
546,альма-матер,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
553,альт,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
554,альтернатива,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
555,альтернативный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
556,альтернативщик,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
561,альтруистический,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
562,альфа,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
563,альфа,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
564,альцгеймер,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
567,алюминий,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
572,амба,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
573,амбал,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
576,амбивалентность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
577,амбивалентный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
578,амбициозность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
580,амбиция,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
582,амброзия,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
584,амбулаторно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
588,американец,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
591,американский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
592,аметист,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
593,амиксин,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
597,аминь,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
598,аммиак,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
599,аммиачный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
601,амнезия,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
602,амнистировать,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
604,амок,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
605,аморализм,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
606,аморалка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
607,аморальность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
608,аморальный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
610,амортизационный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
621,амплифицировать,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
622,амплуа,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
626,амрита,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
627,амстердамский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
629,амуниция,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
632,амурский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
637,анаболический,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
638,анаграмма,s,lemma_level_conflict,"ана,грамм",ана,,Root-level mapping escalated грамм to lemma-level conflict,
639,анадырский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
644,анализироваться,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
646,аналитика,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
647,аналитически,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
649,аналог,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
650,аналогично,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
651,аналогичный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
654,аналой,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
656,анальный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
657,анамнез,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
660,анархист,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
663,анатом,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
665,анатомичка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
670,анаэробный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
671,ангажемент,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
672,ангажированность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
675,ангар,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
676,ангарский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
679,ангел-хранитель,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
684,англиканский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
686,англичанка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
688,англо-русский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
689,англосакс,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
691,англоязычный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
692,ангольский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
693,андеграунд,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
694,андерграунд,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
695,андерсеновский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
696,андреевский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
699,анекдотичный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
704,анизотропия,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
705,анизотропный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
706,аниматор,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
707,анимационный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
708,анимация,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
709,анин,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
710,анион,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
711,анис,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
712,аничков,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
714,анкетирование,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
718,аннексия,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
719,аннигиляция,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
720,аннотация,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
721,аннулирование,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
726,аномально,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
728,аномия,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
731,анонимно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
732,анонимность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
736,ансамблевый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
737,ансамбль,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
738,антагонизм,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
740,антагонистический,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
741,антарктический,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
745,антиамериканизм,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
748,антибиотик,s,lemma_level_conflict,био,,,Root-level mapping escalated био to lemma-level conflict,
750,антивирусный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
751,антивоенный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
753,антигенность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
756,антигитлеровский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
757,антиглобалист,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
759,антидемпинговый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,
