tikhonov_root,auto_candidates,resolution_kind,resolved_root,resolved_canonical_root,kuznetsova_homonym_candidates,notes
абразив,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абракадабр,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абрек,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абрикос,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абрикот,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абрис,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абруцц,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абсент,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абсолют,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абстраг,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абстрак,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абстракт,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абсурд,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абсцисс,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абхаз,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абцуг,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абшид,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
абштрих,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аваль,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аван,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
авангард,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аванс,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
авантаж,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
авантюр,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
авар,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
авари,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аварий,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
авгур,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
август,август,deterministic,август,август,,
авест,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ави,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
авиа,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
авиз,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
авл,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
авось,авось,deterministic,авось,авось,,
аврал,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
авраль,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аврор,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
австр,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
австрал,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
австрали,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
австралий,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
австри,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
австрий,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
авт,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
автарк,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
автарки,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
авто,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
автобус,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
автомат,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
автомат-,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
автоном,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
автономи,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
автор,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
авторитарн,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
авторитет,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
автохтон,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
авь,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аг,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ага,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
агам,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
агар,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
агглютин,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
агент,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
агио,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
агит,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
агло,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
агломер,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
агнец,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
агнози,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
агностик,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
агностиц,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
агностич,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
агон,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аграмант,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аграр,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
агрегат,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
агреман,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
агресс,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
агресси,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
агро,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
агул,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
агуль,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ад,ад,deterministic,ад,ад,,
адалин,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
адамит,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
адамси,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
адапт,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
адат,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
адвокат,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
адденд,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
адекватн,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аден,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аджик,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
адиабат,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
адидас,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
адм,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
администр,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
адмирал,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
адмиралтей,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
адмираль,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
адопт,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
адор,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
адренал,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
адрес,адрес,deterministic,адрес,адрес,,
адуляр,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
адъектив,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
адъюнкт,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
адъютант,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
адыг,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
адыгей,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аеч,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ажгон,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ажиот,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ажур,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
азали,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
азарин,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
азарт,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
азбук,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
азербайджан,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ази,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
азий,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
азимут,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
азм,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
азо,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
азов,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
азот,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аил,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аир,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аист,аист,deterministic,аист,аист,,
ай,ай,deterministic,ай,ай,,
айв,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
айлант,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аймак,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аймач,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
айран,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
айрол,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
айсберг,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
айсинг,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
айсор,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ак,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
академ,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
академи,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акант,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акар,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акафист,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акаци,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аква,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акваланг,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аквамарин,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акварел,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акварель,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аквариум,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акватори,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акведук,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аккомод,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аккомпан,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аккорд,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аккордеон,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аккредит,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аккредитив,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аккузатив,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аккумул,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аккурат,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аккуратн,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акме,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акр,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акридин,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акрил,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акробат,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акрополь,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аксакал,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акселер,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аксессуар,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аксио,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аксиом,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аксон,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акт,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
актер,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
актив,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
актин,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
актини,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
актиниди,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
актр,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
актуал,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
актуаль,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
актуальн,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акул,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акупунктур,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акуст,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акут,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акуш,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акушер,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акцент,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акцепт,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акцепц,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акцесс,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акцесси,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акци,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акцидент,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акциденц,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акциз,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
акын,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ал,ал,deterministic,ал,ал,,
ала,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
алатырь,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
албан,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
алг,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
алгебр,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
алгоритм,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
алебард,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
алебастр,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
алевр,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
алейрон,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
александр,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
алексин,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
алеут,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
алжир,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
али,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
алидад,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ализарин,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
алимент,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
алин,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
алит,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
алк,алк,deterministic,алк,алк,,
алкал,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
алкил,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
алкогол,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
алкоголь,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
алкоран,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аллах,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аллегор,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аллегори,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аллел,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аллель,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аллерг,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аллерги,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аллигатор,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аллилуй,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аллитер,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
алло,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аллонж,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аллопат,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аллюви,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
алмаз,алмаз,deterministic,алмаз,алмаз,,
алоэ,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
алтай,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
алтар,алтар,deterministic,алтар,алтар,,
алтарь,алтар,deterministic,алтар,алтар,,
алтей,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
алтын,алтын,deterministic,алтын,алтын,,
алунит,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
алфавит,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
алч,алч,deterministic,алч,алк,,
алыч,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аль,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
альбед,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
альбин,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
альбинос,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
альбит,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
альбом,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
альбумин,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
альвеол,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
альманах,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
альон,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
альп,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
альт,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
альтерн,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
альтру,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
альфа,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
альянс,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
алюм,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
алюмин,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аляповат,аляп,deterministic,аляп,аляп,,
аляск,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
амазон,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
амальгам,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аманат,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
амарант,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
амариллис,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аматер,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
амбар,амбар,deterministic,амбар,амбар,,
амбици,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
амбр,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
амбразур,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
амбулатор,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
амбулатори,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
амбушюр,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
амвон,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
амеб,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
америк,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
америц,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
амиант,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
амид,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
амикошон,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
амил,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
амин,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
амистад,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
амм,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аммиак,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аммиач,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аммо,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аммон,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
амнист,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
амнисти,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аморт,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ампел,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ампер,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ампир,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ампл,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
амплитуд,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ампул,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ампут,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
амт,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аму,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
амулет,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
амуници,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
амур,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
амфи,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
амфиби,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
амфор,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
амхар,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ан,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ана,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
анабол,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
анаконд,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
анакреонт,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
анализ,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аналит,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аналог,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
аналоги,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
анальг,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
анальги,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
ананас,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
анапест,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
анарх,,needs_root_mapping,,,,No confirmed automatic mapping to a Kuznetsova root
