Number,Lemma,PoS,IPM,R,D,Doc,root,root_IPM,imageability,emotional_valence,is_profane
23405,носорог,s,2.1,70,89,116,"нос-1,рог",253.8,5,3,0
14827,кенгуру,s,2.1,62,85,98,кенгуру,2.1,5,3,0
15244,коала,s,0.4,15,63,16,коал,0.4,5,4,0
348,аист,s,3.1,70,86,120,аист,3.1,5,3,0
10045,дятел,s,3.1,74,79,128,дятел,3.1,5,3,0
1505,барсук,s,1.4,35,74,55,барсук,1.9,5,3,0
10185,енот,s,0.9,38,76,52,енот,0.9,5,3,0
46013,хамелеон,s,1.5,54,80,81,хамелеон,1.5,5,3,0
25776,осьминог,s,1.7,54,81,79,"восем,ног",575.1,5,3,0
15071,клевер,s,1.8,63,86,107,клевер,1.8,5,4,0
17579,лиана,s,3.5,75,85,152,лиан,3.5,5,3,0
16497,кратер,s,2.1,66,87,97,кратер,2.1,5,3,0
23499,оазис,s,3.3,85,89,206,оазис,3.3,5,4,0
14130,йогурт,s,3.2,68,86,160,йогурт,3.2,5,3,0
12539,зефир,s,0.5,37,84,40,зефир,0.5,5,4,0
9429,домино,s,3.4,77,89,184,домино,3.4,5,3,0
3185,бумеранг,s,1.5,52,83,92,бумеранг,1.5,5,3,0
14371,канистра,s,3.4,75,87,154,канистр,3.4,5,3,0
46338,хомяк,s,1.1,45,82,56,хомяк,2.5,5,4,0
33422,прищепка,s,0.5,35,85,38,щеп,21.1,5,3,0
27228,пастух,s,9.6,94,90,363,пас-2,812.0,4,3,0
27383,пеликан,s,1.0,36,73,46,пеликан,1.0,5,3,0
521,алоэ,s,1.0,35,69,44,алоэ,1.0,5,3,0
33365,прицеп,s,4.2,81,88,182,цеп,204.9,5,3,0
9776,дрель,s,1.4,45,79,63,дрель,1.4,5,3,0
37265,ромб,s,1.8,62,88,110,ромб,3.1,5,3,0
14728,качели,s,5.1,91,90,257,кат-1,419.2,5,4,0
48594,юла,s,0.5,29,79,36,юл,1.6,5,3,0
26917,палитра,s,3.5,81,91,265,палитр,3.5,5,3,0
14707,катушка,s,8.4,98,88,397,кат-1,419.2,5,3,0
37724,самокат,s,1.0,32,76,47,"сам,кат-1",965.6,5,3,0
38216,свиток,s,2.6,71,83,123,ви,629.5,5,3,0
40448,сота,s,1.2,55,86,80,сот,3.5,5,3,0
44408,улей,s,2.7,82,88,165,ул-2,2.7,5,3,0
1568,батут,s,0.5,30,75,37,батут,0.5,5,4,0
10235,жабра,s,2.9,53,58,103,жабер,2.9,5,3,0
28413,пипетка,s,0.5,33,84,39,пипетк,0.5,5,3,0
16055,копилка,s,2.2,74,87,151,кап-3,118.8,5,4,0
18496,мармелад,s,1.3,47,78,66,мармелад,1.7,5,4,0
15199,клюшка,s,1.9,48,77,74,клюк-1,888.7,5,3,0
360,акваланг,s,1.9,54,77,71,акваланг,2.8,5,3,0
17264,ласт,s,1.7,55,84,79,ласк,78.8,5,3,0
