Number,Lemma,PoS,IPM,R,D,Doc,root,root_IPM,imageability,emotional_valence,is_profane
24187,обстоятельство,s,124.2,100,93,4125,ста(j),12093.6,1,3,0
40413,составить,v,121.6,100,92,5585,ста(j),12093.6,2,3,0
31420,постоянный,a,108.4,100,94,4823,ста(j),12093.6,1,3,0
28027,перестать,v,105.8,100,95,3236,ста(j),12093.6,2,3,0
40426,состояться,v,103.1,100,91,4930,ста(j),12093.6,2,3,0
41329,стоимость,s,98.1,100,90,3897,ста(j),12093.6,1,3,0
9607,достать,v,94.4,100,92,2127,ста(j),12093.6,3,3,0
12000,заставить,v,92.1,100,96,3282,ста(j),12093.6,2,2,0
6400,выставка,s,89.9,100,90,2353,ста(j),12093.6,4,4,0
44965,установка,s,82.6,100,82,2745,ста(j),12093.6,3,3,0
25678,оставлять,v,81.4,100,97,3352,ста(j),12093.6,2,3,0
31374,постановление,s,78.0,98,80,2233,ста(j),12093.6,1,3,0
24181,обстановка,s,76.2,100,95,2871,ста(j),12093.6,3,3,0
25685,остановить,v,70.2,100,95,2466,ста(j),12093.6,3,3,0
5581,вставать,v,69.1,100,95,2253,ста(j),12093.6,4,3,0
32188,представляться,v,67.8,100,92,2978,ста(j),12093.6,2,3,0
9620,достоинство,s,66.8,100,97,2840,ста(j),12093.6,2,4,0
32195,предстоять,v,66.8,100,96,3000,ста(j),12093.6,1,3,0
21818,недостаток,s,62.1,100,93,2977,ста(j),12093.6,2,2,0
12002,заставлять,v,61.0,100,97,2614,ста(j),12093.6,2,2,0
44973,устать,v,58.6,100,94,1925,ста(j),12093.6,3,2,0
36288,расстояние,s,57.1,100,93,2195,ста(j),12093.6,2,3,0
9623,достойный,a,56.6,100,95,2823,ста(j),12093.6,2,4,0
41002,ставка,s,55.7,100,92,2106,ста(j),12093.6,3,3,0
32093,предоставить,v,54.7,100,92,3010,ста(j),12093.6,2,3,0
25688,остаток,s,52.8,100,96,2037,ста(j),12093.6,3,3,0
31373,постановка,s,49.5,100,89,1747,ста(j),12093.6,3,3,0
25681,останавливаться,v,44.4,100,95,1766,ста(j),12093.6,3,3,0
31367,поставка,s,44.3,95,90,1805,ста(j),12093.6,3,3,0
5187,восстановление,s,42.6,98,90,2102,ста(j),12093.6,2,4,0
9608,достаться,v,40.5,100,96,1950,ста(j),12093.6,2,3,0
25687,остановка,s,40.3,100,95,1610,ста(j),12093.6,4,3,0
5185,восстановить,v,37.8,100,95,1972,ста(j),12093.6,3,4,0
21190,настаивать,v,37.2,100,96,1832,ста(j),12093.6,2,3,0
9599,доставить,v,37.0,100,96,1624,ста(j),12093.6,3,3,0
44966,установление,s,36.5,95,83,1578,ста(j),12093.6,1,3,0
44981,устойчивый,a,35.7,100,89,1953,ста(j),12093.6,2,4,0
6398,выставить,v,35.5,100,96,1731,ста(j),12093.6,3,3,0
44961,устанавливать,v,34.8,100,89,2024,ста(j),12093.6,3,3,0
31422,постоять,v,34.4,97,91,1178,ста(j),12093.6,4,3,0
44951,устав,s,33.5,96,80,1157,ста(j),12093.6,2,3,0
26450,отставка,s,32.5,98,91,1343,ста(j),12093.6,2,2,0
32096,предоставлять,v,32.5,98,90,1974,ста(j),12093.6,2,3,0
9606,достаточный,a,32.2,100,93,2048,ста(j),12093.6,1,3,0
9597,доставать,v,31.2,97,93,1317,ста(j),12093.6,3,3,0
32095,предоставление,s,31.0,86,81,1425,ста(j),12093.6,1,3,0
41335,стойка,s,29.1,99,89,929,ста(j),12093.6,4,3,0
28022,переставать,v,29.0,100,97,1502,ста(j),12093.6,2,3,0
32196,предстоящий,a,28.1,99,94,1646,ста(j),12093.6,1,3,0
44958,усталость,s,27.6,100,94,1148,ста(j),12093.6,4,2,0
36280,расстаться,v,26.7,97,95,1153,ста(j),12093.6,3,2,0
44954,уставиться,v,26.7,91,89,740,ста(j),12093.6,4,2,0
12005,застать,v,25.4,98,95,1066,ста(j),12093.6,3,3,0
44962,устанавливаться,v,25.3,90,77,1213,ста(j),12093.6,2,3,0
31370,поставщик,s,24.0,94,90,1155,ста(j),12093.6,2,3,0
5582,вставить,v,23.5,100,94,984,ста(j),12093.6,4,3,0
44959,усталый,a,23.0,96,93,915,ста(j),12093.6,4,2,0
21191,настать,v,22.4,100,95,1199,ста(j),12093.6,2,3,0
32182,представительство,s,21.9,89,87,1079,ста(j),12093.6,2,3,0
44980,устойчивость,s,21.9,96,85,1078,ста(j),12093.6,1,4,0
44967,установленный,a,21.6,95,71,1019,ста(j),12093.6,2,3,0
32184,представиться,v,20.7,100,94,953,ста(j),12093.6,2,3,0
9601,доставлять,v,20.4,100,95,1097,ста(j),12093.6,3,3,0
36276,расставить,v,19.9,99,95,1052,ста(j),12093.6,4,3,0
26459,отстать,v,19.8,100,94,968,ста(j),12093.6,3,2,0
21821,недостаточный,a,19.5,99,91,1340,ста(j),12093.6,1,2,0
26448,отставать,v,18.8,99,96,1157,ста(j),12093.6,2,2,0
9600,доставка,s,18.6,96,88,900,ста(j),12093.6,3,3,0
36275,расставаться,v,18.5,99,95,974,ста(j),12093.6,3,2,0
41052,становление,s,18.3,90,88,985,ста(j),12093.6,1,3,0
13318,иметь,v,906.7,100,96,17493,ем,7446.5,1,3,0
30867,понять,v,588.2,100,95,7880,ем,7446.5,1,3,0
30831,понимать,v,559.7,100,96,8240,ем,7446.5,1,3,0
4144,взять,v,525.8,100,95,9275,ем,7446.5,3,3,0
33006,принять,v,386.9,100,95,11757,ем,7446.5,2,3,0
4532,внимание,s,286.0,100,97,9306,ем,7446.5,1,3,0
32147,предприятие,s,281.6,100,90,6408,ем,7446.5,2,3,0
11578,заниматься,v,240.8,100,96,7727,ем,7446.5,2,3,0
32979,принимать,v,207.7,100,96,7397,ем,7446.5,2,3,0
29527,поднять,v,173.8,100,93,3686,ем,7446.5,4,3,0
39879,снять,v,161.3,100,96,4197,ем,7446.5,4,3,0
30860,понятие,s,139.4,100,88,3716,ем,7446.5,1,3,0
29528,подняться,v,136.2,100,92,2588,ем,7446.5,4,3,0
13319,иметься,v,128.4,100,93,5148,ем,7446.5,1,3,0
11600,занять,v,115.6,100,96,4754,ем,7446.5,3,3,0
11577,занимать,v,112.7,100,95,4949,ем,7446.5,2,3,0
32719,прием,s,109.8,100,94,3784,ем,7446.5,3,3,0
39843,снимать,v,98.5,100,94,3010,ем,7446.5,4,3,0
11594,занятие,s,92.1,100,95,2966,ем,7446.5,2,3,0
13393,имущество,s,88.4,100,74,2061,ем,7446.5,3,3,0
30830,понимание,s,86.7,100,91,3130,ем,7446.5,1,3,0
29514,подниматься,v,75.9,100,94,2257,ем,7446.5,4,3,0
30865,понятный,a,71.6,100,97,3326,ем,7446.5,1,4,0
33003,принятие,s,69.5,95,86,3059,ем,7446.5,1,3,0
4145,взяться,v,68.6,100,95,2494,ем,7446.5,3,3,0
4535,внимательно,adv,67.8,100,94,2217,ем,7446.5,1,3,0
33007,приняться,v,61.3,100,91,1468,ем,7446.5,2,3,0
29513,поднимать,v,56.9,100,95,2106,ем,7446.5,4,3,0
30072,поймать,v,55.2,99,93,1750,ем,7446.5,5,3,0
11601,заняться,v,52.7,100,96,2517,ем,7446.5,2,3,0
32141,предприниматель,s,49.7,94,89,1882,ем,7446.5,3,3,0
22457,непонятный,a,48.8,100,95,1848,ем,7446.5,1,2,0
32258,преимущество,s,48.7,100,92,2673,ем,7446.5,1,4,0
5153,воспринимать,v,43.4,100,94,1970,ем,7446.5,1,3,0
5156,восприятие,s,39.6,100,83,1348,ем,7446.5,1,3,0
6119,вынуть,v,37.8,98,91,1088,ем,7446.5,4,3,0
32980,приниматься,v,37.3,100,93,2008,ем,7446.5,1,3,0
3958,взаимный,a,35.5,100,92,1667,ем,7446.5,1,3,0
23928,обнять,v,31.2,94,90,933,ем,7446.5,5,4,0
39844,сниматься,v,26.2,100,88,935,ем,7446.5,3,3,0
26212,отнять,v,25.1,99,94,1168,ем,7446.5,4,2,0
4537,внимательный,a,24.8,100,96,1376,ем,7446.5,1,4,0
5155,воспринять,v,24.4,100,93,1326,ем,7446.5,1,3,0
5154,восприниматься,v,24.1,100,92,1345,ем,7446.5,1,3,0
32146,предпринять,v,23.6,100,95,1453,ем,7446.5,1,3,0
39845,снимок,s,23.5,100,94,872,ем,7446.5,4,3,0
4140,взятка,s,21.5,99,93,810,ем,7446.5,4,1,0
23910,обнимать,v,20.2,94,91,795,ем,7446.5,5,4,0
33005,принятый,a,20.2,100,93,1384,ем,7446.5,1,3,0
33083,приподнять,v,19.0,97,91,771,ем,7446.5,4,3,0
38996,сказать,v,2396.6,100,94,15426,каж-1,6686.7,2,3,0
24797,оказаться,v,531.9,100,97,11735,каж-1,6686.7,1,3,0
14213,казаться,v,448.2,100,97,7586,каж-1,6686.7,1,3,0
30082,показать,v,277.7,100,96,8111,каж-1,6686.7,4,3,0
36235,рассказывать,v,230.0,100,96,5391,каж-1,6686.7,3,3,0
36230,рассказать,v,229.4,100,96,5883,каж-1,6686.7,3,3,0
24800,оказываться,v,155.1,100,97,5218,каж-1,6686.7,1,3,0
30087,показывать,v,155.0,100,97,5560,каж-1,6686.7,4,3,0
14202,кажется,adv,143.2,100,95,3154,каж-1,6686.7,1,3,0
30083,показаться,v,142.4,100,94,3199,каж-1,6686.7,2,3,0
36229,рассказ,s,131.3,100,96,2989,каж-1,6686.7,3,3,0
26011,отказаться,v,115.8,100,96,4462,каж-1,6686.7,2,2,0
30079,показатель,s,112.9,99,81,3297,каж-1,6686.7,2,3,0
44310,указать,v,91.5,100,86,3254,каж-1,6686.7,3,2,0
32789,приказ,s,79.4,100,94,2020,каж-1,6686.7,1,3,0
9313,доказать,v,65.0,100,96,2855,каж-1,6686.7,1,3,0
9312,доказательство,s,63.5,100,85,1872,каж-1,6686.7,2,2,0
26009,отказ,s,60.9,100,88,2535,каж-1,6686.7,2,2,0
32791,приказать,v,58.8,100,92,1371,каж-1,6686.7,2,3,0
11161,заказ,s,56.0,100,93,2530,каж-1,6686.7,4,4,0
38999,сказка,s,54.7,100,96,1832,каж-1,6686.7,3,3,0
44313,указывать,v,54.0,100,92,2389,каж-1,6686.7,2,3,0
44306,указание,s,53.1,100,89,2025,каж-1,6686.7,2,3,0
44307,указанный,a,53.1,100,77,1965,каж-1,6686.7,1,3,0
26014,отказываться,v,51.2,100,97,2515,каж-1,6686.7,2,2,0
24799,оказывать,v,48.2,100,91,2658,каж-1,6686.7,1,3,0
20624,наказание,s,46.9,99,86,1639,каж-1,6686.7,3,1,0
44305,указ,s,42.7,98,91,1491,каж-1,6686.7,2,3,0
11166,заказчик,s,39.7,98,87,1543,каж-1,6686.7,2,3,0
6309,высказать,v,39.6,100,96,2062,каж-1,6686.7,2,3,0
24796,оказать,v,37.0,99,94,2063,каж-1,6686.7,1,3,0
9316,доказывать,v,32.9,100,96,1682,каж-1,6686.7,1,3,0
11162,заказать,v,32.8,100,95,1490,каж-1,6686.7,2,3,0
26010,отказать,v,32.3,100,96,1574,каж-1,6686.7,2,2,0
30078,показание,s,31.0,100,89,959,каж-1,6686.7,2,3,0
6311,высказывание,s,30.7,100,88,1244,каж-1,6686.7,1,3,0
29712,подсказать,v,24.0,100,91,1049,каж-1,6686.7,2,4,0
24795,оказание,s,20.5,84,77,936,каж-1,6686.7,1,3,0
20626,наказать,v,20.2,99,95,1025,каж-1,6686.7,3,1,0
38997,сказаться,v,18.3,100,94,1222,каж-1,6686.7,1,3,0
19928,мочь,v,2912.3,100,98,25413,мог,6371.5,1,3,0
19590,можно,adv,1125.9,100,97,19738,мог,6371.5,1,3,0
4816,возможность,s,407.5,100,93,12230,мог,6371.5,1,4,0
30764,помощь,s,300.1,100,95,9691,мог,6371.5,2,5,0
39754,смочь,v,255.1,100,97,8476,мог,6371.5,1,4,0
19587,может,adv,221.0,100,93,3854,мог,6371.5,1,3,0
30761,помочь,v,218.8,100,96,6162,мог,6371.5,2,5,0
4817,возможный,a,179.1,100,93,7299,мог,6371.5,1,3,0
30741,помогать,v,134.5,100,96,4613,мог,6371.5,2,5,0
19942,мощный,a,77.0,100,96,3498,мог,6371.5,3,4,0
21612,невозможный,a,67.7,100,97,3178,мог,6371.5,1,2,0
30762,помощник,s,57.7,100,92,1738,мог,6371.5,3,4,0
19941,мощность,s,53.3,98,90,2021,мог,6371.5,1,3,0
19540,могучий,a,30.0,97,94,1114,мог,6371.5,4,4,0
8502,дело,s,1412.1,100,97,18240,де(j),5985.7,2,3,0
38376,сделать,v,743.5,100,97,14748,де(j),5985.7,2,3,0
8481,делать,v,701.1,100,97,12524,де(j),5985.7,2,3,0
8433,действие,s,329.3,100,90,8471,де(j),5985.7,2,3,0
8775,деятельность,s,313.5,100,87,7568,де(j),5985.7,1,3,0
8434,действительно,adv,268.6,100,97,7527,де(j),5985.7,1,3,0
21727,неделя,s,242.2,100,96,7197,де(j),5985.7,2,3,0
20444,надежда,s,154.5,100,95,4436,де(j),5985.7,2,5,0
8439,действовать,v,153.5,100,95,6101,де(j),5985.7,2,3,0
20458,надеяться,v,137.1,100,96,4734,де(j),5985.7,2,4,0
24565,одежда,s,93.7,100,96,2738,де(j),5985.7,4,3,0
8482,делаться,v,74.7,100,95,3060,де(j),5985.7,1,3,0
4769,воздействие,s,68.0,100,87,2723,де(j),5985.7,2,3,0
8506,деловой,a,53.0,100,95,2342,де(j),5985.7,2,3,0
8435,действительность,s,52.8,100,91,2031,де(j),5985.7,1,3,0
38378,сделка,s,52.7,98,85,1440,де(j),5985.7,3,3,0
20457,надеть,v,52.1,100,94,1706,де(j),5985.7,4,3,0
13034,изделие,s,52.0,99,89,1906,де(j),5985.7,3,3,0
8440,действующий,a,47.2,100,91,2725,де(j),5985.7,2,3,0
20449,надежный,a,47.2,100,95,2538,де(j),5985.7,1,4,0
8772,деятель,s,41.2,100,92,1680,де(j),5985.7,2,3,0
38377,сделаться,v,39.9,98,90,1089,де(j),5985.7,1,3,0
24584,одеяло,s,38.8,98,91,1086,де(j),5985.7,5,4,0
24582,одеть,v,33.9,100,94,1351,де(j),5985.7,4,3,0
30812,понедельник,s,30.8,98,93,1474,де(j),5985.7,4,3,0
29308,поделать,v,24.3,98,94,1109,де(j),5985.7,1,3,0
24581,одетый,a,24.1,99,94,1024,де(j),5985.7,3,3,0
8737,деться,v,23.1,97,93,1087,де(j),5985.7,1,3,0
20441,надевать,v,22.5,99,95,1102,де(j),5985.7,4,3,0
8436,действительный,a,21.8,100,88,988,де(j),5985.7,4,3,0
24563,одеваться,v,20.0,99,94,958,де(j),5985.7,1,4,0
40044,содействие,s,18.6,94,82,1061,де(j),5985.7,3,3,0
11006,задеть,v,18.1,99,93,881,де(j),5985.7,4,4,0
33672,проделать,v,18.0,98,96,1049,де(j),5985.7,1,3,0
12872,идти,v,957.1,100,96,13815,и-1,5267.6,3,3,0
30075,пойти,v,587.2,100,94,8422,и-1,5267.6,1,3,0
32787,прийти,v,523.3,100,96,9359,и-1,5267.6,3,3,0
5965,выйти,v,480.9,100,96,8764,и-1,5267.6,4,3,0
20621,найти,v,424.1,100,97,9693,и-1,5267.6,4,4,0
33859,пройти,v,398.4,100,97,10645,и-1,5267.6,4,3,0
44304,уйти,v,315.6,100,95,6163,и-1,5267.6,4,3,0
32788,прийтись,v,285.5,100,96,8007,и-1,5267.6,1,3,0
4887,войти,v,205.5,100,96,5227,и-1,5267.6,4,3,0
33842,произойти,v,203.2,100,97,6481,и-1,5267.6,1,3,0
29565,подойти,v,190.0,100,93,3608,и-1,5267.6,4,3,0
27697,перейти,v,100.5,100,98,4037,и-1,5267.6,4,3,0
9306,дойти,v,88.6,100,96,2957,и-1,5267.6,4,3,0
11152,зайти,v,85.2,100,94,2306,и-1,5267.6,4,3,0
23990,обойтись,v,61.6,100,96,2992,и-1,5267.6,1,3,0
20622,найтись,v,58.8,99,96,2461,и-1,5267.6,3,4,0
26240,отойти,v,55.9,100,94,1939,и-1,5267.6,4,3,0
40123,сойти,v,55.4,100,94,1967,и-1,5267.6,1,3,0
32228,предыдущий,a,55.3,100,94,3087,и-1,5267.6,3,2,0
35711,разойтись,v,36.7,100,96,1628,и-1,5267.6,4,3,0
23989,обойти,v,30.4,100,96,1535,и-1,5267.6,3,3,0
40124,сойтись,v,18.9,99,94,944,и-1,5267.6,4,3,0
33860,пройтись,v,18.1,97,92,864,и-1,5267.6,1,3,0
21374,находиться,v,342.7,100,95,10424,хаж,4957.0,4,3,0
46267,ходить,v,296.6,100,94,5439,хаж,4957.0,1,3,0
33852,происходить,v,263.6,100,95,7996,хаж,4957.0,3,3,0
46261,ход,s,226.5,100,96,7283,хаж,4957.0,4,3,0
33346,приходить,v,218.2,100,96,5596,хаж,4957.0,2,3,0
31693,похожий,a,206.5,100,95,4668,хаж,4957.0,1,3,0
22246,необходимый,a,203.7,100,93,8135,хаж,4957.0,4,3,0
6505,выходить,v,201.6,100,97,5550,хаж,4957.0,4,3,0
45185,уходить,v,192.7,100,95,4652,хаж,4957.0,4,3,0
34520,проходить,v,175.4,100,97,6432,хаж,4957.0,4,3,0
33347,приходиться,v,174.5,100,97,6442,хаж,4957.0,1,3,0
5707,входить,v,157.9,100,96,6332,хаж,4957.0,4,3,0
6502,выход,s,147.0,100,97,5099,хаж,4957.0,4,3,0
22245,необходимость,s,129.1,100,92,5735,хаж,4957.0,1,3,0
29858,подходить,v,116.9,100,96,3795,хаж,4957.0,3,3,0
9674,доход,s,103.6,100,89,3149,хаж,4957.0,2,3,0
29857,подход,s,99.8,100,87,3881,хаж,4957.0,2,4,0
36432,расход,s,90.2,100,90,3266,хаж,4957.0,2,3,0
21373,находить,v,89.5,100,96,3491,хаж,4957.0,4,4,0
28098,переход,s,89.3,100,90,3539,хаж,4957.0,4,3,0
14072,исходить,v,69.0,100,93,3335,хаж,4957.0,1,3,0
5706,вход,s,65.2,100,96,2195,хаж,4957.0,4,3,0
12260,заходить,v,59.6,100,94,2019,хаж,4957.0,4,3,0
42002,сходить,v,54.2,100,92,2032,хаж,4957.0,4,3,0
45184,уход,s,53.3,100,95,2285,хаж,4957.0,3,2,0
28099,переходить,v,52.6,100,96,2481,хаж,4957.0,4,3,0
33854,происхождение,s,42.4,100,93,1979,хаж,4957.0,1,3,0
33345,приход,s,40.8,100,94,1885,хаж,4957.0,3,3,0
14074,исходный,a,37.1,100,80,1393,хаж,4957.0,1,3,0
31684,поход,s,34.7,100,93,1228,хаж,4957.0,4,3,0
14071,исход,s,27.6,100,95,1477,хаж,4957.0,2,3,0
31685,походить,v,27.1,98,93,1097,хаж,4957.0,2,3,0
29859,подходящий,a,26.7,100,97,1419,хаж,4957.0,1,4,0
34517,проход,s,24.0,100,94,946,хаж,4957.0,4,3,0
34527,прохожий,s,23.2,97,92,948,хаж,4957.0,4,3,0
26562,отходить,v,22.8,100,95,1071,хаж,4957.0,3,3,0
42007,сходство,s,22.7,100,93,1020,хаж,4957.0,2,3,0
24264,обходиться,v,22.4,100,95,1482,хаж,4957.0,1,3,0
33352,прихожая,s,21.1,89,89,657,хаж,4957.0,4,3,0
6508,выходной,s,20.8,98,92,1131,хаж,4957.0,2,4,0
26564,отходы,s,19.1,97,78,614,хаж,4957.0,4,1,0
5708,входной,a,18.1,100,92,822,хаж,4957.0,2,3,0
12649,знать,v,1713.8,100,95,13494,зна(j),4761.2,1,3,0
44291,узнать,v,238.1,100,96,4926,зна(j),4761.2,2,4,0
12653,значение,s,205.1,100,86,5619,зна(j),4761.2,1,3,0
12643,знание,s,146.4,100,85,3690,зна(j),4761.2,1,4,0
40104,сознание,s,145.2,100,92,3167,зна(j),4761.2,2,3,0
12661,значить,v,134.0,100,93,4229,зна(j),4761.2,1,3,0
12627,знакомый,a,133.4,100,96,3538,зна(j),4761.2,3,3,0
12635,знаменитый,a,129.4,100,94,4004,зна(j),4761.2,2,4,0
12660,значительный,a,113.9,99,91,5323,зна(j),4761.2,1,3,0
12619,знак,s,108.0,100,95,3241,зна(j),4761.2,4,3,0
24779,означать,v,97.0,100,95,4149,зна(j),4761.2,1,3,0
32771,признать,v,88.9,100,94,4156,зна(j),4761.2,1,3,0
44289,узнавать,v,88.2,100,96,2684,зна(j),4761.2,2,4,0
20583,назначить,v,79.3,100,94,2895,зна(j),4761.2,2,3,0
32766,признак,s,78.9,100,90,2925,зна(j),4761.2,2,3,0
20582,назначение,s,73.7,100,90,3147,зна(j),4761.2,2,3,0
30032,познакомиться,v,67.2,100,96,2298,зна(j),4761.2,3,4,0
32767,признание,s,63.5,100,91,2535,зна(j),4761.2,2,4,0
32772,признаться,v,55.1,100,94,1964,зна(j),4761.2,2,2,0
21961,незнакомый,a,47.5,99,94,1581,зна(j),4761.2,2,2,0
12626,знакомство,s,46.5,100,96,1744,зна(j),4761.2,3,4,0
32764,признавать,v,46.4,100,96,2229,зна(j),4761.2,1,3,0
32080,предназначить,v,43.7,100,92,2447,зна(j),4761.2,1,3,0
32765,признаваться,v,39.7,100,92,1837,зна(j),4761.2,1,3,0
23978,обозначить,v,30.1,100,90,1649,зна(j),4761.2,2,3,0
30033,познание,s,28.7,100,84,908,зна(j),4761.2,1,4,0
12642,знамя,s,27.8,99,93,1077,зна(j),4761.2,5,3,0
25659,осознать,v,25.4,100,96,1314,зна(j),4761.2,1,3,0
12656,значимый,a,21.8,91,87,1308,зна(j),4761.2,1,4,0
25653,осознавать,v,20.3,100,95,1168,зна(j),4761.2,1,3,0
12624,знакомиться,v,18.0,100,95,1001,зна(j),4761.2,3,4,0
8200,дать,v,573.1,100,97,11209,да-1,4479.3,2,3,0
8112,давать,v,370.7,100,98,9941,да-1,4479.3,2,3,0
10979,задача,s,282.4,100,90,8142,да-1,4479.3,2,3,0
8170,данные,s,229.0,100,85,6618,да-1,4479.3,1,3,0
44130,удаться,v,189.1,100,96,7051,да-1,4479.3,1,4,0
25943,отдать,v,139.8,100,96,4162,да-1,4479.3,3,3,0
27612,передать,v,123.5,100,96,4042,да-1,4479.3,3,3,0
27614,передача,s,100.1,100,91,3452,да-1,4479.3,3,3,0
33657,продажа,s,87.3,100,91,3607,да-1,4479.3,3,3,0
8204,дача,s,82.8,100,95,1819,да-1,4479.3,5,4,0
29165,подать,v,79.4,100,95,2745,да-1,4479.3,3,3,0
29157,подарок,s,75.4,100,96,2543,да-1,4479.3,5,5,0
25931,отдавать,v,70.3,100,96,3015,да-1,4479.3,3,3,0
13024,издание,s,68.9,100,92,2459,да-1,4479.3,2,3,0
33660,продать,v,68.3,100,96,2744,да-1,4479.3,3,3,0
29156,подарить,v,61.4,100,95,2191,да-1,4479.3,4,5,0
5865,выдать,v,60.4,100,95,2407,да-1,4479.3,3,3,0
33651,продавать,v,56.3,100,95,2645,да-1,4479.3,3,3,0
44108,удаваться,v,54.3,100,96,2654,да-1,4479.3,1,4,0
38365,сдать,v,53.6,100,94,2132,да-1,4479.3,3,3,0
10971,задание,s,50.5,100,92,1789,да-1,4479.3,2,3,0
27607,передавать,v,49.3,100,96,2341,да-1,4479.3,3,3,0
29142,подавать,v,49.0,100,96,2073,да-1,4479.3,3,3,0
35422,раздаться,v,48.8,98,92,1250,да-1,4479.3,2,3,0
10968,задавать,v,45.1,100,97,2039,да-1,4479.3,2,3,0
8176,дар,s,44.3,100,88,1638,да-1,4479.3,3,5,0
5858,выдавать,v,44.1,100,96,2104,да-1,4479.3,3,3,0
10977,задать,v,44.1,100,96,2021,да-1,4479.3,2,3,0
13027,издательство,s,42.0,99,93,1363,да-1,4479.3,2,3,0
44131,удача,s,41.3,100,87,1541,да-1,4479.3,2,5,0
32669,придавать,v,37.1,100,95,1871,да-1,4479.3,1,3,0
33653,продавец,s,36.9,100,88,1313,да-1,4479.3,3,3,0
5868,выдающийся,a,34.6,99,93,1541,да-1,4479.3,1,5,0
38358,сдавать,v,34.4,100,93,1603,да-1,4479.3,3,3,0
32353,преподаватель,s,33.8,100,94,1418,да-1,4479.3,3,4,0
13028,издать,v,31.8,98,95,1562,да-1,4479.3,2,3,0
44136,удачный,a,31.4,100,95,1831,да-1,4479.3,1,4,0
8113,даваться,v,30.3,100,95,1675,да-1,4479.3,1,3,0
29167,подача,s,26.7,98,84,1222,да-1,4479.3,3,3,0
33652,продаваться,v,25.8,100,93,1539,да-1,4479.3,2,3,0
32677,придать,v,24.4,100,96,1360,да-1,4479.3,1,3,0
8182,дарить,v,22.3,100,94,1092,да-1,4479.3,4,5,0
5867,выдача,s,21.8,93,77,928,да-1,4479.3,2,3,0
29278,поддаваться,v,20.8,100,96,1196,да-1,4479.3,1,3,0
32025,предать,v,20.2,99,95,918,да-1,4479.3,2,1,0
27608,передаваться,v,20.1,100,92,1223,да-1,4479.3,1,3,0
38367,сдача,s,20.0,100,93,1089,да-1,4479.3,3,3,0
35414,раздаваться,v,19.8,99,94,993,да-1,4479.3,2,3,0
32356,преподавать,v,18.1,99,94,914,да-1,4479.3,2,3,0
