Number,Lemma,imageability,emotional_valence,is_profane
44966,установление,1,3,0
44981,устойчивый,2,4,0
6398,выставить,3,3,0
44961,устанавливать,3,3,0
31422,постоять,4,3,0
44951,устав,2,3,0
26450,отставка,2,2,0
32096,предоставлять,2,3,0
9606,достаточный,1,3,0
9597,доставать,3,3,0
32095,предоставление,1,3,0
41335,стойка,4,3,0
28022,переставать,2,3,0
32196,предстоящий,1,3,0
44958,усталость,4,2,0
36280,расстаться,3,2,0
44954,уставиться,4,2,0
12005,застать,3,3,0
44962,устанавливаться,2,3,0
31370,поставщик,2,3,0
5582,вставить,4,3,0
44959,усталый,4,2,0
21191,настать,2,3,0
32182,представительство,2,3,0
44980,устойчивость,1,4,0
44967,установленный,2,3,0
32184,представиться,2,3,0
9601,доставлять,3,3,0
36276,расставить,4,3,0
26459,отстать,3,2,0
21821,недостаточный,1,2,0
26448,отставать,2,2,0
9600,доставка,3,3,0
36275,расставаться,3,2,0
41052,становление,1,3,0
13318,иметь,1,3,0
30867,понять,1,3,0
30831,понимать,1,3,0
4144,взять,3,3,0
33006,принять,2,3,0
4532,внимание,1,3,0
32147,предприятие,2,3,0
11578,заниматься,2,3,0
32979,принимать,2,3,0
29527,поднять,4,3,0
39879,снять,4,3,0
30860,понятие,1,3,0
29528,подняться,4,3,0
13319,иметься,1,3,0
11600,занять,3,3,0
11577,занимать,2,3,0
32719,прием,3,3,0
39843,снимать,4,3,0
11594,занятие,2,3,0
13393,имущество,3,3,0
30830,понимание,1,3,0
29514,подниматься,4,3,0
30865,понятный,1,4,0
33003,принятие,1,3,0
4145,взяться,3,3,0
4535,внимательно,1,3,0
33007,приняться,2,3,0
29513,поднимать,4,3,0
30072,поймать,5,3,0
11601,заняться,2,3,0
32141,предприниматель,3,3,0
22457,непонятный,1,2,0
32258,преимущество,1,4,0
5153,воспринимать,1,3,0
5156,восприятие,1,3,0
6119,вынуть,4,3,0
32980,приниматься,1,3,0
3958,взаимный,1,3,0
23928,обнять,5,4,0
39844,сниматься,3,3,0
26212,отнять,4,2,0
4537,внимательный,1,4,0
5155,воспринять,1,3,0
5154,восприниматься,1,3,0
32146,предпринять,1,3,0
39845,снимок,4,3,0
4140,взятка,4,1,0
23910,обнимать,5,4,0
33005,принятый,1,3,0
33083,приподнять,4,3,0
38996,сказать,2,3,0
24797,оказаться,1,3,0
14213,казаться,1,3,0
30082,показать,4,3,0
36235,рассказывать,3,3,0
36230,рассказать,3,3,0
24800,оказываться,1,3,0
30087,показывать,4,3,0
14202,кажется,1,3,0
30083,показаться,2,3,0
36229,рассказ,3,3,0
26011,отказаться,2,2,0
30079,показатель,2,3,0
44310,указать,3,2,0
32789,приказ,1,3,0
9313,доказать,1,3,0
9312,доказательство,2,2,0
26009,отказ,2,2,0
32791,приказать,2,3,0
11161,заказ,4,4,0
38999,сказка,3,3,0
44313,указывать,2,3,0
44306,указание,2,3,0
44307,указанный,1,3,0
26014,отказываться,2,2,0
24799,оказывать,1,3,0
20624,наказание,3,1,0
44305,указ,2,3,0
11166,заказчик,2,3,0
6309,высказать,2,3,0
24796,оказать,1,3,0
9316,доказывать,1,3,0
11162,заказать,2,3,0
26010,отказать,2,2,0
30078,показание,2,3,0
6311,высказывание,1,3,0
29712,подсказать,2,4,0
24795,оказание,1,3,0
20626,наказать,3,1,0
38997,сказаться,1,3,0
19928,мочь,1,3,0
19590,можно,1,3,0
4816,возможность,1,4,0
30764,помощь,2,5,0
39754,смочь,1,4,0
19587,может,1,3,0
30761,помочь,2,5,0
4817,возможный,1,3,0
30741,помогать,2,5,0
19942,мощный,3,4,0
21612,невозможный,1,2,0
30762,помощник,3,4,0
19941,мощность,1,3,0
19540,могучий,4,4,0
8502,дело,2,3,0
38376,сделать,2,3,0
8481,делать,2,3,0
8433,действие,2,3,0
8775,деятельность,1,3,0
8434,действительно,1,3,0
21727,неделя,2,3,0
20444,надежда,2,5,0
8439,действовать,2,3,0
20458,надеяться,2,4,0
24565,одежда,4,3,0
8482,делаться,1,3,0
4769,воздействие,2,3,0
8506,деловой,2,3,0
8435,действительность,1,3,0
38378,сделка,3,3,0
20457,надеть,4,3,0
13034,изделие,3,3,0
8440,действующий,2,3,0
20449,надежный,1,4,0
8772,деятель,2,3,0
38377,сделаться,1,3,0
24584,одеяло,5,4,0
24582,одеть,4,3,0
30812,понедельник,4,3,0
29308,поделать,1,3,0
24581,одетый,3,3,0
8737,деться,1,3,0
20441,надевать,4,3,0
8436,действительный,4,3,0
24563,одеваться,1,4,0
40044,содействие,3,3,0
11006,задеть,4,4,0
33672,проделать,1,3,0
12872,идти,3,3,0
30075,пойти,1,3,0
32787,прийти,3,3,0
5965,выйти,4,3,0
20621,найти,4,4,0
33859,пройти,4,3,0
44304,уйти,4,3,0
32788,прийтись,1,3,0
4887,войти,4,3,0
33842,произойти,1,3,0
29565,подойти,4,3,0
27697,перейти,4,3,0
9306,дойти,4,3,0
11152,зайти,4,3,0
23990,обойтись,1,3,0
20622,найтись,3,4,0
26240,отойти,4,3,0
40123,сойти,1,3,0
32228,предыдущий,3,2,0
35711,разойтись,4,3,0
23989,обойти,3,3,0
40124,сойтись,4,3,0
33860,пройтись,1,3,0
21374,находиться,4,3,0
46267,ходить,1,3,0
33852,происходить,3,3,0
46261,ход,4,3,0
33346,приходить,2,3,0
31693,похожий,1,3,0
22246,необходимый,4,3,0
6505,выходить,4,3,0
45185,уходить,4,3,0
34520,проходить,4,3,0
33347,приходиться,1,3,0
5707,входить,4,3,0
6502,выход,4,3,0
22245,необходимость,1,3,0
29858,подходить,3,3,0
9674,доход,2,3,0
29857,подход,2,4,0
36432,расход,2,3,0
21373,находить,4,4,0
28098,переход,4,3,0
14072,исходить,1,3,0
5706,вход,4,3,0
12260,заходить,4,3,0
42002,сходить,4,3,0
45184,уход,3,2,0
28099,переходить,4,3,0
33854,происхождение,1,3,0
33345,приход,3,3,0
14074,исходный,1,3,0
31684,поход,4,3,0
14071,исход,2,3,0
31685,походить,2,3,0
29859,подходящий,1,4,0
34517,проход,4,3,0
34527,прохожий,4,3,0
26562,отходить,3,3,0
42007,сходство,2,3,0
24264,обходиться,1,3,0
33352,прихожая,4,3,0
6508,выходной,2,4,0
26564,отходы,4,1,0
5708,входной,2,3,0
12649,знать,1,3,0
44291,узнать,2,4,0
12653,значение,1,3,0
12643,знание,1,4,0
40104,сознание,2,3,0
12661,значить,1,3,0
12627,знакомый,3,3,0
12635,знаменитый,2,4,0
12660,значительный,1,3,0
12619,знак,4,3,0
24779,означать,1,3,0
32771,признать,1,3,0
44289,узнавать,2,4,0
20583,назначить,2,3,0
32766,признак,2,3,0
20582,назначение,2,3,0
30032,познакомиться,3,4,0
32767,признание,2,4,0
32772,признаться,2,2,0
21961,незнакомый,2,2,0
12626,знакомство,3,4,0
32764,признавать,1,3,0
32080,предназначить,1,3,0
32765,признаваться,1,3,0
23978,обозначить,2,3,0
30033,познание,1,4,0
12642,знамя,5,3,0
25659,осознать,1,3,0
12656,значимый,1,4,0
25653,осознавать,1,3,0
12624,знакомиться,3,4,0
8200,дать,2,3,0
8112,давать,2,3,0
10979,задача,2,3,0
8170,данные,1,3,0
44130,удаться,1,4,0
25943,отдать,3,3,0
27612,передать,3,3,0
27614,передача,3,3,0
33657,продажа,3,3,0
8204,дача,5,4,0
29165,подать,3,3,0
29157,подарок,5,5,0
25931,отдавать,3,3,0
13024,издание,2,3,0
33660,продать,3,3,0
29156,подарить,4,5,0
5865,выдать,3,3,0
33651,продавать,3,3,0
44108,удаваться,1,4,0
38365,сдать,3,3,0
10971,задание,2,3,0
27607,передавать,3,3,0
29142,подавать,3,3,0
35422,раздаться,2,3,0
10968,задавать,2,3,0
8176,дар,3,5,0
5858,выдавать,3,3,0
10977,задать,2,3,0
13027,издательство,2,3,0
44131,удача,2,5,0
32669,придавать,1,3,0
33653,продавец,3,3,0
5868,выдающийся,1,5,0
38358,сдавать,3,3,0
32353,преподаватель,3,4,0
13028,издать,2,3,0
44136,удачный,1,4,0
8113,даваться,1,3,0
29167,подача,3,3,0
33652,продаваться,2,3,0
32677,придать,1,3,0
8182,дарить,4,5,0
5867,выдача,2,3,0
29278,поддаваться,1,3,0
32025,предать,2,1,0
27608,передаваться,1,3,0
38367,сдача,3,3,0
35414,раздаваться,2,3,0
32356,преподавать,2,3,0
38359,сдаваться,3,2,0
17390,лежать,4,3,0
30455,положение,2,3,0
32070,предложить,2,4,0
30461,положить,4,3,0
39530,сложный,1,2,0
32066,предлагать,2,4,0
32069,предложение,2,3,0
32965,принадлежать,1,3,0
20760,налог,2,2,0
20762,налоговый,1,3,0
39526,сложиться,1,3,0
30234,полагать,1,3,0
36115,расположить,3,3,0
32123,предполагать,1,3,0
17569,лечь,4,3,0
30460,положительный,1,4,0
17837,логика,1,3,0
32128,предположить,1,3,0
11389,заложить,4,3,0
39529,сложность,1,2,0
29434,подлежать,1,3,0
30235,полагаться,1,3,0
39525,сложить,4,3,0
17865,ложиться,4,3,0
32124,предполагаться,1,3,0
30456,положенный,1,3,0
36108,располагаться,2,3,0
9405,доложить,2,3,0
13070,изложить,2,3,0
36113,расположение,3,3,0
32125,предположение,1,3,0
36107,располагать,2,3,0
32892,приложение,3,3,0
4454,вложить,4,3,0
32067,предлагаться,1,3,0
32967,принадлежность,2,3,0
26133,отложить,3,3,0
32894,приложить,4,3,0
44429,уложить,4,3,0
17842,логический,1,3,0
11384,залог,2,3,0
11390,заложник,5,1,0
3861,вести,2,3,0
33831,производство,2,3,0
33517,провести,3,3,0
32541,привести,3,3,0
33546,проводить,3,3,0
10782,завод,5,3,0
28971,повод,2,3,0
33506,проведение,1,3,0
5802,вывод,2,3,0
28898,поведение,3,3,0
32579,приводить,2,4,0
33818,произведение,2,3,0
27534,перевод,3,3,0
3537,ввести,3,3,0
33819,произвести,2,3,0
33823,производить,2,3,0
27527,перевести,3,3,0
4611,водитель,4,3,0
33830,производственный,1,3,0
33820,производитель,2,3,0
5791,вывести,2,3,0
3527,введение,3,3,0
3633,ведущий,2,3,0
28939,повести,1,3,0
3864,вестись,4,3,0
4710,вождь,3,3,0
10733,завести,1,3,0
25854,отвести,4,3,0
10705,заведение,3,3,0
9209,довести,2,3,0
40304,сопровождать,2,3,0
29208,подвести,2,2,0
33824,производиться,1,3,0
4614,водить,4,3,0
27535,переводить,2,3,0
35285,развести,4,2,0
33556,провожать,2,3,0
38116,свести,3,3,0
3542,вводить,5,3,0
33544,провод,3,3,0
5803,выводить,2,3,0
38228,сводить,3,3,0
27539,переводчик,3,2,0
35311,развод,1,3,0
38229,сводиться,4,3,0
4028,взвод,4,3,0
40307,сопровождение,3,3,0
40305,сопровождаться,1,3,0
33821,производительность,1,4,0
20292,навести,3,3,0
7349,год,1,3,0
29072,погода,4,3,0
44053,угодно,1,3,0
5837,выгодный,2,4,0
7358,годовой,1,3,0
7353,годиться,1,3,0
29074,погодить,1,3,0
5834,выгода,2,4,0
32644,пригодиться,1,4,0
44047,угодить,3,4,0
31884,право,1,4,0
31875,правительство,2,3,0
31869,правило,1,3,0
44720,управление,1,3,0
31856,правда,1,4,0
31926,правый,2,3,0
20933,направление,3,3,0
20931,направить,3,3,0
31870,правильно,1,4,0
31872,правильный,1,4,0
26294,отправиться,3,3,0
31891,правовой,1,3,0
26293,отправить,3,3,0
40832,справиться,2,4,0
40829,справедливость,1,5,0
40833,справка,3,3,0
44724,управлять,2,3,0
5310,вправе,1,4,0
30966,поправка,2,3,0
31880,правление,2,3,0
40827,справа,2,3,0
40830,справедливый,2,5,0
20932,направиться,3,3,0
31874,правительственный,1,3,0
26298,отправляться,3,3,0
22500,неправильный,1,2,0
30964,поправить,3,4,0
25212,оправдать,2,4,0
20938,направляться,3,3,0
20937,направлять,3,3,0
26297,отправлять,3,3,0
44726,управляющий,2,3,0
22494,неправда,1,2,0
13927,исправить,3,4,0
20942,направо,3,3,0
31877,править,2,3,0
35187,раз,1,3,0
40904,сразу,1,3,0
24071,образ,3,3,0
24077,образование,2,4,0
6234,выражение,2,3,0
24072,образец,4,3,0
6242,выразить,2,3,0
13153,изображение,4,3,0
31044,поразить,3,2,0
31038,поражение,3,1,0
24083,образоваться,1,3,0
26332,отражать,3,3,0
6232,выражать,2,3,0
40239,соображение,1,3,0
13155,изобразить,4,3,0
4857,возразить,2,2,0
24084,образовывать,2,3,0
26334,отражение,4,3,0
13151,изображать,4,3,0
4998,воображение,3,4,0
32331,преобразование,2,3,0
40242,сообразить,1,4,0
6233,выражаться,1,3,0
4855,возражать,2,2,0
31035,поражать,3,2,0
24082,образовать,2,3,0
40238,соображать,1,3,0
6243,выразиться,1,3,0
35713,разом,1,3,0
24081,образовательный,1,4,0
24080,образованный,3,5,0
26333,отражаться,3,4,0
31043,поразительный,4,4,0
10482,жизнь,5,4,0
10526,жить,3,3,0
10425,живой,5,3,0
10443,животное,2,3,0
10517,житель,4,4,0
10435,живот,2,4,0
33780,прожить,3,2,0
10500,жилье,3,3,0
10470,жизненный,3,3,0
27666,переживать,3,4,0
27671,пережить,1,3,0
29955,пожилой,3,3,0
10496,жилой,1,3,0
33775,проживать,4,3,0
5936,выжить,2,3,0
27665,переживание,2,3,0
10493,жилищный,1,3,0
10487,жилец,2,4,0
10444,животный,1,4,0
9275,дожить,2,3,0
10519,жительство,3,3,0
4179,видеть,4,3,0
4156,вид,1,3,0
43957,увидеть,1,3,0
4188,видно,1,3,0
4182,видимо,2,4,0
38178,свидетельствовать,4,3,0
4189,видный,2,3,0
38174,свидетель,2,3,0
38177,свидетельство,3,4,0
22184,ненавидеть,2,1,0
22188,ненависть,2,1,0
38170,свидание,4,4,0
28955,по-видимому,1,3,0
21579,невидимый,2,3,0
4180,видеться,1,3,0
4159,видать,2,3,0
4161,видение,3,3,0
10766,зависть,2,1,0
10751,завидовать,2,2,0
4184,видимость,2,3,0
7336,говорить,2,3,0
35373,разговор,3,3,0
9242,договор,2,3,0
35372,разговаривать,3,3,0
29070,поговорить,3,3,0
7337,говориться,1,3,0
27585,переговоры,2,3,0
10890,заговорить,3,3,0
9245,договориться,2,4,0
7341,говорят,1,3,0
33605,проговорить,2,3,0
32642,приговор,3,1,0
44042,уговаривать,2,3,0
44044,уговорить,2,4,0
9243,договоренность,2,4,0
46895,человек,4,3,0
46904,человеческий,1,3,0
46905,человечество,2,3,0
46902,человечек,4,4,0
31728,по-человечески,1,4,0
23117,нечеловеческий,2,1,0
46908,человечность,1,5,0
46906,человечий,2,3,0
46909,человечный,1,5,0
2220,бесчеловечный,1,1,0
15762,конечно,1,3,0
15761,конец,3,2,0
11252,закон,2,3,0
20684,наконец,1,4,0
11273,закончить,2,2,0
16018,кончиться,2,3,0
24867,окончательно,2,3,0
24866,окончание,1,3,0
11274,закончиться,2,3,0
15764,конечный,1,3,0
2036,бесконечный,1,4,0
11256,законный,2,3,0
24870,окончить,1,3,0
24869,окончательный,2,3,0
16017,кончить,1,3,0
16013,кончаться,1,3,0
21917,незаконный,1,1,0
11181,заканчиваться,2,3,0
2034,бесконечно,1,3,0
11180,заканчивать,3,3,0
16012,кончать,2,2,0
30155,покончить,2,1,0
16015,кончик,4,3,0
2753,большой,3,3,0
2701,более,1,3,0
2740,больше,1,3,0
21516,небольшой,2,3,0
2752,большинство,1,3,0
20593,наиболее,1,3,0
2751,больший,1,3,0
2742,большевик,3,3,0
20594,наибольший,1,3,0
2743,большевистский,2,3,0
2912,брать,3,3,0
39901,собираться,2,3,0
5752,выбор,3,3,0
5759,выборы,2,3,0
39924,собрание,3,3,0
5764,выбрать,2,3,0
39928,собрать,3,3,0
39929,собраться,2,3,0
39900,собирать,2,4,0
5746,выбирать,3,3,0
37974,сбор,4,3,0
35691,разобраться,4,3,0
20244,набор,2,4,0
32505,прибор,2,3,0
9138,добраться,4,3,0
10643,забор,3,3,0
10659,забрать,2,3,0
43892,убрать,4,4,0
39921,собор,2,3,0
20249,набрать,4,3,0
12925,избрать,5,3,0
29538,подобрать,4,3,0
12912,избирательный,4,3,0
2913,браться,4,3,0
35204,разбираться,2,3,0
37977,сборная,2,3,0
37978,сборник,3,4,0
5765,выбраться,3,3,0
26219,отобрать,4,4,0
12909,избиратель,3,3,0
20225,набирать,3,3,0
35690,разобрать,4,3,0
32051,предвыборный,2,3,0
25805,отбор,2,3,0
10614,забирать,3,3,0
43864,убирать,4,4,0
35203,разбирать,4,3,0
35048,работа,3,3,0
35049,работать,3,3,0
35064,рабочий,3,3,0
35053,работник,3,3,0
35746,разработка,2,3,0
35745,разработать,2,3,0
24066,обработка,3,3,0
11830,заработать,2,4,0
11829,зарабатывать,2,4,0
35042,раб,4,1,0
11831,заработный,1,3,0
27955,переработка,2,3,0
35743,разрабатывать,2,3,0
6226,выработка,2,3,0
6224,выработать,2,3,0
31028,поработать,2,3,0
11832,заработок,2,4,0
31274,последний,1,2,0
39423,следовать,2,3,0
39431,следующий,1,3,0
13962,исследование,2,4,0
39416,след,4,3,0
39418,следить,3,3,0
31281,последствие,2,2,0
39428,следствие,2,3,0
39420,следователь,3,3,0
5533,вслед,1,3,0
31283,последующий,1,3,0
39421,следовательно,1,3,0
5307,впоследствии,1,3,0
31280,последовать,2,3,0
13966,исследовать,3,4,0
13963,исследователь,3,4,0
31278,последовательность,1,3,0
36246,расследование,3,2,0
39425,следом,2,3,0
32388,преследовать,4,1,0
24167,обследование,3,3,0
21142,наследник,4,3,0
21151,наследство,3,3,0
5403,время,1,3,0
40008,современный,2,4,0
5398,временной,1,3,0
4596,вовремя,1,4,0
40004,современник,3,3,0
5397,временно,1,3,0
40007,современность,1,3,0
5400,временный,1,3,0
29002,повременить,1,3,0
1704,безвременно,1,1,0
31771,почти,1,3,0
42056,считать,2,3,0
47180,читать,3,3,0
42057,считаться,1,3,0
47177,читатель,3,4,0
34554,прочитать,3,3,0
34551,прочесть,3,4,0
45245,учитывать,1,3,0
36315,рассчитывать,2,3,0
47221,чтение,2,3,0
32133,предпочитать,2,3,0
45231,учесть,3,4,0
40530,сочетание,1,3,0
36313,рассчитать,2,3,0
28103,перечень,2,3,0
42045,счесть,1,3,0
31758,почитать,1,3,0
31473,посчитать,3,5,0
32134,предпочтение,2,4,0
32132,предпочесть,2,4,0
39968,советский,2,3,0
25857,ответить,2,3,0
25855,ответ,1,3,0
39964,совет,1,3,0
25865,отвечать,1,3,0
40259,соответствие,1,3,0
40261,соответствующий,1,3,0
25861,ответственность,1,5,0
40260,соответствовать,2,4,0
40257,соответственно,2,4,0
32543,привет,3,4,0
25862,ответственный,3,3,0
39973,совещание,2,4,0
31323,посоветовать,2,4,0
39966,советовать,3,4,0
32552,приветствовать,3,3,0
39965,советник,2,4,0
10735,завет,2,4,0
41406,сторона,2,4,0
41446,страна,3,4,0
41454,странный,4,3,0
34300,пространство,4,3,0
13551,иностранный,2,2,0
41447,страница,3,3,0
41451,странно,1,2,0
36151,распространение,2,3,0
13549,иностранец,4,3,0
36155,распространить,2,3,0
41410,сторонник,3,4,0
31416,посторонний,2,2,0
36158,распространяться,2,3,0
21041,народ,4,4,0
18797,международный,1,3,0
33122,природа,5,5,0
37150,род,3,3,0
37156,родитель,4,4,0
21052,народный,2,4,0
37167,родной,3,5,0
37160,родиться,4,5,0
37189,рождение,4,5,0
37154,родина,4,5,0
33125,природный,2,4,0
37176,родственник,4,3,0
31084,порода,3,3,0
37159,родить,4,4,0
37188,рождаться,4,4,0
4867,возрождение,2,5,0
37168,родные,4,4,0
44816,урожай,5,4,0
28451,писать,4,3,0
20881,написать,4,3,0
28472,письмо,5,3,0
28447,писатель,4,4,0
40717,список,4,3,0
29604,подписать,4,3,0
11693,запись,3,3,0
25122,описать,2,3,0
11686,записать,4,3,0
25120,описание,2,3,0
11688,записка,5,3,0
20495,надпись,4,3,0
25125,описывать,2,3,0
28469,письменный,2,3,0
29611,подпись,4,3,0
11691,записывать,4,3,0
26209,отношение,2,3,0
26208,относиться,1,3,0
32972,принести,4,3,0
22879,нести,4,3,0
23399,носить,3,3,0
33838,произнести,2,3,0
32983,приносить,4,3,0
4516,внести,3,3,0
6106,вынести,4,3,0
26200,отнести,4,3,0
33839,произносить,2,3,0
20819,нанести,3,3,0
40270,соотношение,1,3,0
27837,перенести,4,3,0
6110,выносить,4,3,0
4542,вносить,3,3,0
30818,понести,2,2,0
23397,носитель,3,3,0
22880,нестись,4,3,0
27842,переносить,4,3,0
20830,наносить,3,3,0
9489,доноситься,2,3,0
26201,отнестись,1,3,0
26204,относительно,1,3,0
44574,унести,4,3,0
4515,внесение,1,3,0
26206,относительный,1,3,0
11571,занести,4,3,0
5028,вопрос,2,3,0
40855,спросить,3,3,0
34198,просить,2,3,0
40842,спрашивать,3,3,0
30983,попросить,2,3,0
34333,просьба,2,3,0
40854,спрос,2,3,0
11787,запрос,2,3,0
9528,допрос,4,1,0
25250,опрос,3,3,0
10232,еще,1,3,0
44256,уже,1,3,0
44242,уж,1,3,0
44266,ужо,1,2,0
18996,место,3,3,0
4473,вместе,2,4,0
18995,местный,2,3,0
11464,заместитель,2,3,0
30717,помещение,4,3,0
39987,совместный,2,4,0
18993,местность,4,3,0
35596,размещение,2,3,0
30696,поместить,4,3,0
35584,разместить,3,3,0
17781,лицо,5,3,0
35545,различный,1,3,0
17790,личный,1,3,0
17789,личность,2,4,0
26119,отличаться,1,3,0
26120,отличие,1,3,0
20752,наличие,1,3,0
17785,лично,1,3,0
26128,отличный,1,5,0
26127,отлично,1,5,0
35541,различие,1,3,0
32891,приличный,2,4,0
23808,облик,4,3,0
17786,личной,1,3,0
48657,являться,1,3,0
31841,появиться,3,4,0
12377,заявить,2,3,0
31843,появляться,3,4,0
12380,заявление,3,3,0
24373,объявить,2,3,0
48658,явно,1,3,0
48654,явление,2,3,0
31842,появление,3,4,0
48652,явиться,2,3,0
34609,проявление,2,3,0
6575,выявить,2,3,0
34607,проявить,2,3,0
48659,явный,1,3,0
34610,проявлять,2,3,0
34611,проявляться,2,3,0
12381,заявлять,2,3,0
24375,объявление,4,3,0
32224,предъявить,2,3,0
12379,заявка,3,3,0
6577,выявление,1,3,0
24376,объявлять,2,3,0
24333,общий,1,3,0
5000,вообще,1,3,0
24324,общество,2,3,0
24323,общественный,1,3,0
40250,сообщить,2,3,0
40248,сообщение,3,3,0
24304,общение,3,4,0
40246,сообщать,2,3,0
24285,общаться,3,4,0
40249,сообщество,2,4,0
24291,общее,1,3,0
24321,общественность,2,3,0
24334,община,4,3,0
39573,случай,2,3,0
30618,получить,2,4,0
30615,получать,2,4,0
30619,получиться,1,4,0
30616,получаться,1,4,0
30617,получение,1,3,0
39576,случайный,1,3,0
39575,случайность,2,3,0
30614,получатель,3,4,0
11742,заполучить,4,3,0
38801,сидеть,4,3,0
38733,сесть,3,3,0
32159,председатель,5,5,0
37591,сад,4,3,0
40364,сосед,3,3,0
11922,заседание,4,3,0
37599,садиться,2,3,0
40366,соседний,4,3,0
31191,посадить,4,3,0
31245,посидеть,4,3,0
33147,присесть,5,3,0
38800,сиденье,4,3,0
31192,посадка,4,3,0
40365,соседка,4,3,0
44853,усесться,4,3,0
37610,сажать,3,4,0
37607,садовый,2,4,0
23322,новый,1,3,0
39855,снова,1,3,0
4541,вновь,3,4,0
23317,новость,1,3,0
11579,заново,3,4,0
23279,новенький,2,4,0
23276,новейший,4,4,0
23920,обновление,4,3,0
23282,новинка,1,3,0
23283,новичок,1,3,0
25961,отдельный,1,3,0
25225,определенный,1,3,0
25228,определить,1,3,0
25222,определение,3,3,0
32057,предел,3,3,0
25946,отдел,1,3,0
25230,определять,3,3,0
25949,отделение,3,3,0
5882,выделить,1,3,0
25231,определяться,2,3,0
29651,подразделение,2,3,0
36134,распределение,3,3,0
35438,раздел,3,3,0
35444,разделить,1,3,0
25959,отдельно,2,4,0
8500,делиться,2,4,0
5887,выделяться,2,3,0
5886,выделять,3,3,0
5881,выделение,2,3,0
35451,разделять,3,3,0
29310,поделиться,2,4,0
35441,разделение,2,3,0
8499,делить,3,3,0
39937,собственный,1,4,0
25639,особенно,1,3,0
25649,особый,1,4,0
40819,способ,1,3,0
40821,способный,2,4,0
25640,особенность,2,3,0
40820,способность,1,4,0
39936,собственность,2,3,0
39933,собственно,1,3,0
40822,способствовать,1,3,0
25647,особо,1,3,0
25641,особенный,2,4,0
39931,собственник,3,3,0
31319,пособие,2,3,0
7380,голова,5,3,0
7147,главный,2,3,0
7133,глава,3,3,0
7143,главное,1,3,0
44065,уголовный,2,1,0
4752,возглавлять,3,3,0
7387,головной,3,3,0
7386,головка,4,3,0
4751,возглавить,3,3,0
10900,заголовок,3,3,0
46856,часть,2,3,0
45199,участие,2,4,0
42044,счастье,5,5,0
45205,участник,3,3,0
45207,участок,4,3,0
42043,счастливый,4,5,0
45197,участвовать,2,3,0
46847,частность,1,3,0
46848,частный,2,3,0
22907,несчастный,3,1,0
46842,частица,3,3,0
26577,отчасти,1,3,0
39509,слово,4,3,0
44885,условие,1,3,0
39368,слава,3,4,0
1888,безусловно,1,3,0
24232,обусловить,1,3,0
39512,словом,1,3,0
39374,славный,2,4,0
39499,словарь,4,3,0
44892,условный,1,3,0
44889,условно,1,3,0
21428,начать,3,3,0
21419,начало,2,3,0
21436,начинать,3,3,0
21420,начальник,3,3,0
21429,начаться,2,3,0
21437,начинаться,2,3,0
21425,начальство,3,2,0
30810,поначалу,1,3,0
4493,вначале,1,3,0
21423,начальный,1,3,0
30433,полный,4,3,0
5299,вполне,1,3,0
30425,полностью,1,3,0
13905,исполнение,2,3,0
9521,дополнительный,1,3,0
6177,выполнять,2,3,0
6176,выполнить,2,3,0
6174,выполнение,2,3,0
13909,исполнительный,1,4,0
13915,исполнять,2,3,0
13906,исполнитель,3,3,0
13912,исполнить,2,3,0
11735,заполнить,4,3,0
