root,IPM
арктич,3.9
арлекин,1.4
арм,224.4
армада,1.3
арманьяк,0.6
арматур,5.0
армир,1.6
армяк,0.6
армян,26.0
аромат,33.5
ароч,0.9
арсенал,13.1
арт,4.6
артезиан,0.8
артел,8.6
артери,11.4
артефакт,1.1
артикул,2.3
артиллер,32.7
артист,123.3
артр,1.5
арф,2.6
арха,10.6
архе,5.6
археолог,6.3
архетип,3.3
архив,42.7
архиепископ,10.5
архимандрит,5.9
архипелаг,5.7
архистратиг,0.4
архитект,90.5
аршин,4.1
арык,1.2
арьер,0.9
ас,6.0
асан,1.1
асбест,1.7
аскез,0.8
аскер,0.7
аскет,6.8
аскорбин,0.7
аспект,36.0
аспид,0.7
аспирант,19.7
аспирин,2.6
асс,0.6
ассамбле,5.2
ассасин,0.4
ассен,0.4
ассигн,5.6
ассимил,2.8
ассири,0.4
ассирий,0.8
ассист,11.2
ассорт,1.5
ассортимент,14.5
ассоци,59.9
астен,1.6
астероид,1.5
астм,3.7
астр,35.6
астрал,2.0
астрахан,6.7
асфальт,35.5
аськ,2.0
атав,0.8
атак,61.1
атаман,5.8
ате,2.0
ателье,4.1
атер,1.1
атин,0.8
атлант,1.7
атлантич,7.2
атлас,8.6
атлет,7.3
атмосфер,62.6
атолл,0.8
атом,55.5
атрибут,13.6
атрибуц,0.6
атриум,0.4
атроф,1.1
атташ,3.0
атташе,0.7
аттену,0.7
аттенуац,1.3
аттест,11.7
аттитюд,3.4
аттракт,1.5
аттракцион,7.1
ау,1.8
ауди,3.0
аудиенци,2.2
аудит,3.7
аудитор,7.7
аудитори,31.9
ауксин,0.7
аукцион,18.9
аул,2.2
аур,5.1
аут,1.8
аутентич,0.9
ауто,1.1
аутодафе,0.4
аутсайдер,2.1
аутсорс,1.3
афган,12.1
афер,5.9
афин,1.3
афиш,14.2
афон,0.5
афор,5.3
африк,15.9
афро,0.8
аффект,4.3
аффили,1.6
аффин,0.6
ах,16.1
ахилл,1.5
ахине,1.7
ахматов,1.6
ац,1.0
ацет,3.5
ацетат,0.5
ацикловир,0.7
ацтек,0.8
ачин,0.4
ашрам,0.6
ашхабад,0.4
аэр,77.0
аэроб,0.7
аэробика,1.7
аэростат,2.1
аят,0.5
аятолл,0.6
ба-2,302.5
ба(j)-1,41.2
баб,289.5
бабай,1.0
бабетт,0.4
бав,343.8
бавар,2.4
багаж,25.9
багдад,0.8
багет,0.8
багор,8.6
багр-1,12.5
багульник,0.5
бад,1.8
бадминтон,0.6
бадр,60.2
баженов,2.9
баз,206.2
базал,5.1
базальт,2.2
базар,28.9
базель,0.6
базилик,1.8
байда,0.6
байдар,2.0
байк,9.2
байкаль,3.0
байт,1.6
бак,21.6
бакалавр,1.5
бакен,1.5
бакенбард,2.4
бакин,5.9
баклажан,4.0
баклан,0.9
баклуш,1.0
бакс,10.1
бактери,13.4
бакуловирус,0.5
бал-1,817.6
бал-2,21.8
балабол,0.5
балаган,4.8
балагур,1.8
балак,0.5
балаков,0.7
балала(j),3.0
баламут,0.8
баланд,2.7
баланс,44.2
балахон,2.2
балаших,0.4
балбес,1.7
балд,13.3
балдахин,0.9
балерин,8.1
балет,30.0
балк,9.9
балкан,2.5
балкар,0.5
балкон,31.9
балл,13.6
баллад,5.1
балласт,1.8
баллист,5.6
баллон,7.6
баллот,4.5
балль,1.0
балмош,1.2
балт,71.7
балтий,9.5
балык,0.7
баль,2.4
бальзак,0.6
бальзам,3.0
бальзамин,0.5
балюстрад,1.3
баляс,0.7
бамбук,5.5
бампер,3.7
бан,50.4
банальн,19.5
банан,8.6
бангкок,0.6
банд,71.1
бандаж,0.5
бандер,0.8
бандероль,3.3
банджо,0.4
бандур,0.5
банк,293.0
банкет,13.7
банкнот,3.7
банкомат,2.2
банкрот,27.3
баннер,1.6
бант,8.5
баобаб,0.5
бапт,1.8
бар,61.2
барабан,27.1
барак,25.3
баран,20.4
баранк,4.1
барахл,9.2
барахт,3.9
барач,1.6
барбарис,2.1
барбекю,1.2
барбос,0.7
бард,3.7
бардак,6.3
баренц,1.7
барж,8.0
барион,0.5
баритон,6.0
барк,1.2
баркан,0.4
баркас,1.1
бармен,7.2
барнаул,1.0
барокко,3.5
барон,30.3
бароч,1.4
барракуд,0.5
баррель,4.7
баррикад,6.4
барс,3.9
барселон,0.5
барсук,1.9
бартер,2.3
бархан,1.1
бархат,19.2
барщ,11.3
барыг,1.0
барыш,1.3
барьер,23.0
бас,18.8
баск,1.3
баскет,10.6
басман,0.9
басмач,0.6
баснослов,0.6
бассейн,34.0
баст,11.4
бастион,3.7
басурман,0.4
бат,44.4
батал,0.5
батали,3.9
батальон,24.9
батаре,28.7
батарей,4.3
бати,0.5
батист,1.4
батог,1.2
батон,5.9
батоно,0.5
батрак,1.8
баттерфляй,0.5
батум,0.4
батут,0.5
батыр,0.4
батюшк,0.7
баул,2.6
бауман,1.0
бах,1.4
бахвал,0.5
бахваль,0.7
бахил,0.7
бахром,3.2
бахтин,0.4
бахч,0.6
бахчисарай,0.5
бац,0.4
бацилл,1.2
баш,0.5
башен,45.6
башибузук,0.4
башк,14.3
башкир,4.9
башли,0.5
башлык,0.7
башмак,8.7
баштан,0.4
баядер,0.4
баян,5.9
бв,13920.2
бд,67.1
бег,800.3
бегемот,3.0
бегони,0.6
бед,714.2
бедёр,27.8
бедлам,1.1
бедокур,0.5
бедолаг,4.3
бедуин,0.8
бежев,3.5
безум,0.9
бейс,0.8
бейсбол,2.2
бек,2.7
бекеш,0.4
бекон,1.1
бел,509.6
белгород,3.2
белград,0.6
белен,0.6
белиберд,1.1
беллетрист,3.8
беловеж,1.6
беломор,1.0
белорус,19.6
бель,34.1
бельведер,0.4
бельг,6.1
бельмес,0.4
бенгаль,1.2
бенефис,1.3
бенефициар,0.8
бенз,7.5
бензин,27.6
бер,2792.9
берданк,0.7
берег,1.8
берег-1,137.5
берег-2,230.6
беред,2.2
бережк,0.4
берез,40.9
березник,0.4
березов,0.9
берем,59.9
берендей,2.2
бересклет,0.6
берест,4.9
берет,5.7
бериев,0.5
берилл,0.8
беринг,1.3
беркут,1.2
берлин,9.2
берлог,3.1
бермуд,1.0
берн,0.4
берсерк,0.7
берц,0.5
бес,70.3
бесед,182.3
бесполез,0.7
бессараб,0.5
бести,1.4
бестселлер,3.4
бета,0.5
бетон,37.2
бетховен,0.6
бечев,1.7
бзик,0.5
би,2.7
би(j),1587.9
биатлон,2.3
библей,10.9
библи,84.0
бивак,0.6
бивуак,0.4
бигуд,1.9
биде,0.6
бидон,3.9
биеннале,1.1
бижутер,1.0
бизн,3.8
бизнес,177.9
бизон,1.4
бикини,1.3
бикс,0.5
бикфорд,0.5
билет,83.8
биллборд,0.5
бильярд,8.7
бимс,0.5
бин,10.6
биндюжник,0.7
бинт,12.8
био,122.6
биоз,1.3
биолог,0.5
биот,4.7
бирж,18.5
бирк,1.9
бирм,0.6
биробиджан,1.5
бирюз,2.5
бирюк,3.3
бирюл,0.5
бис,1.2
бисер,4.7
бисквит,0.8
бистро,1.1
бит,1.9
битл,0.9
битник,0.4
битум,1.2
битюг,0.7
бифуркац,1.3
бифштекс,2.4
бихевиор,0.4
бицепс,1.6
благ,160.3
благовол,4.1
благогов,10.4
благодар,126.6
благодат,5.9
благодать,12.8
благоден,3.0
благодуш,5.6
благолеп,1.3
благообраз,2.2
благополуч,55.5
благопристой,1.3
благоприят,13.0
благоприятн,26.8
благород,40.0
благослов,24.8
благословл,4.0
благосостояни,9.3
благотвор,20.1
благоуха,5.9
благочест,5.7
благочин,1.3
блазн,27.7
бланк,10.7
бланш,1.0
бланшир,0.6
бласт,0.7
блат,14.1
блатн,0.7
бле,2.2
блев,3.3
бледн,60.0
блейзер,0.4
блек,6.6
блес,159.9
блеф,3.3
ближ,629.8
блик,5.9
блин,14.9
блинд,5.1
блиц,1.9
блок,107.9
блокбастер,0.9
блокнот,13.9
блоков,2.0
блондин,17.5
блот,1.0
блоттинг,0.6
блох,5.1
блоч,1.9
блуд,54.1
блуз,7.7
блюд-1,311.1
блюд-2,40.1
блюз,2.0
бляд,7.3
блях,3.8
боа,0.5
боб,10.0
бобби,2.1
бобёр,4.3
бобик,1.2
бобыл,1.0
бог,866.6
богадель,1.7
богат,1.6
богатыр,12.7
богдан,0.6
богем,6.3
богородич,1.8
богородск,0.6
боготвор,3.1
бод,4.5
божоле,0.5
бой,5.3
бойкот,3.1
бойлер,1.0
бойскаут,0.4
бойфренд,1.2
бок,168.3
бокал,26.1
бокс,14.1
боксер,7.1
бол,0.6
бол-2,2905.7
болач,37.3
болван,7.5
болгар,14.2
болдин,0.7
болеро,0.9
боливи,0.6
болид,1.9
болон,1.6
болонк,1.1
болт-2,6.0
больниц,1.1
бомб,62.6
бомбард,14.2
бомж,14.4
бомонд,1.4
бон,0.5
бондар,0.9
бонз,0.6
бонитет,1.4
бонн,0.5
бонсай,0.8
бонус,1.9
бор,2.3
бор-2,412.9
бор-3,14.6
боран,1.0
борд,4.5
бордель,2.5
бордер,0.9
бордов,0.4
бордюр,3.8
боржом,2.0
борз,2.5
борис,2.0
бормот,65.1
боров,1.6
боровиц,0.8
бород,85.8
бородин,1.8
борозд,10.1
борт-1,0.4
борт-2,60.4
борц,0.8
борчив,0.8
бос,28.0
босн,0.8
босс,10.5
бостон,4.6
бот-2,43.0
бот-3,3.2
ботан,9.2
ботв,2.3
ботинок,1.1
боткин,0.9
ботокс,0.4
ботфорт,0.9
боулинг,2.2
боцман,5.6
боч-1,29.9
боян,0.4
бояр,17.4
боят,0.6
бр-2,51.0
бра,1.1
брав,8.5
браг,3.1
бразд-2,1.1
бразил,9.2
брак,68.8
браконьер,3.5
бран,17.4
бранд,0.7
брандмауэр,0.7
брас,571.0
браслет,7.1
брасс,0.7
брат,283.2
браузер,0.6
браунинг,2.6
брахман,1.4
бревен,28.6
бред,128.5
брежнев,3.6
брезг,20.6
брезент,12.5
брезж,3.0
брей,0.4
брейк,0.9
брелок,1.4
бремен,0.8
брен,3.0
бренд,13.3
бренди,1.1
бренч,2.1
брест,1.6
бретель,0.9
бретер,0.4
бретон,0.4
брех,4.0
брешь,2.7
бриг,2.9
бригад,73.0
бригантин,1.2
бридж,1.4
бриз,1.2
брикет,1.2
бриллиант,12.2
брильянт,0.7
бристоль,0.5
британ,33.0
брифинг,1.9
брич,1.6
бров,46.1
бродвей,1.4
бройлер,1.0
брокер,4.1
брокколи,0.7
бром,1.2
брон,40.5
бронз,21.9
бронх,3.9
броун,0.6
брошюр,8.9
брудершафт,1.0
бруклин,0.5
брус-1,8.1
брус-2,3.6
брусил,0.5
бруствер,3.6
брут,0.8
брыж,0.5
брыз,25.2
брык,2.9
брынз,0.6
брыс,4.3
брюзг,3.3
брюк,41.3
брюкв,0.5
брюнет,7.4
брюсов,0.5
брюссель,1.8
брют,0.9
брюх,24.3
бряк,11.0
брянск,4.8
бу(j),17.9
бубен,13.2
бублик,3.6
буга(j),1.7
буги,0.4
бугор,16.4
буд,0.6
буд-1,163.4
буд-2,245.8
будапешт,0.6
будд,17.8
буденнов,0.6
буденов,0.6
будк,16.4
будн,17.7
будораж,7.3
будуар,0.9
буерак,0.4
буженин,0.4
буз-1,0.6
буз-2,2.2
буйвол,2.3
бук-1,149.6
бук-2,3.4
бук-3,0.4
бук-4,2.7
букан,1.7
букер,0.7
букет,23.3
букин,2.1
букингем,0.5
букл,0.6
буклет,3.3
букмек,0.9
буколик,0.4
букс,3.7
буксир,5.9
буксовыват,0.7
булав,6.2
булат,5.7
булгаков,2.1
булк,14.7
буллит,1.2
булон,0.4
бултых,0.5
булыг,8.1
буль,10.6
бульвар,24.5
бульдог,2.1
бульдож,0.5
бульдозер,8.4
бульон,12.2
бультерьер,0.8
бум,6.7
бумаг,228.1
бумеранг,1.5
бунгало,0.5
бунд,1.2
бунин,1.0
бункер,5.2
бунт,21.6
бунчук,0.4
бур-1,67.0
бур-2,14.5
бур-3,15.4
бурав,0.9
бурак,0.7
буран,4.1
бурбон,1.1
бургомистр,2.9
бургунд,1.0
бурд,1.5
бурдюк,0.6
бурей,0.5
буржуа,1.6
буржуаз,22.1
буржуй,5.3
бурк-1,20.5
бурк-2,2.4
бурлак,1.4
бурт,0.4
бурун,0.8
бурундук,0.7
бурьян,3.5
бурят,2.6
бус,33.4
бут,0.6
бутан,0.4
бутафор,3.4
бутерброд,14.8
бутик,5.8
бутил,0.4
бутов,0.4
бутон,4.6
бутс,0.7
бутыл,136.5
бутыр,2.7
буфер,5.2
буфет,25.5
буфф,0.5
бух,1.2
бух-1,13.6
бух-2,9.4
бухан,4.2
буханк,0.5
бухар,0.8
бухгалтер,38.2
бухт,9.5
буч-2,1.1
буш,10.8
бушлат,4.9
быв,1.5
быдл,2.1
бык,32.6
был,4.5
быстр,406.2
быт,4.4
бытов,0.6
бьюик,0.4
бэ,0.6
бэби,0.6
бэр,0.7
бэтээр,0.9
бюджет,188.7
бюллетень,10.9
бюргер,1.2
бюро,30.8
бюрократ,25.2
бюст,10.6
бяз,0.6
бяк,0.7
вавилон,5.1
ваг,583.9
ваганьк,1.3
вагин,2.1
вагнер,0.7
вагон,82.8
вад,10.5
важ,5.0
важ-2,4275.9
важ-4,710.4
важж,4.2
ваз,18.2
вазелин,1.0
вазов,1.3
вайнах,0.4
ваканси,5.8
вакант,2.4
вакс,0.8
вакуум,10.0
вакх,0.8
вакханал,2.0
вакцин,35.6
вал,484.8
валаам,0.4
валанд,0.4
валдай,0.8
валек,1.9
вален,15.2
валент,1.1
валентн,4.8
валериан,0.9
валерьян,2.7
валет,2.3
валидол,2.1
валк,0.6
валокордин,1.0
валторн,0.7
валу(j),0.7
вальв,2.9
вальдшнеп,0.8
вальк,0.7
валькир,1.1
вальпургиев,1.2
вальс,8.8
вальяж,2.9
валют,52.4
вампил,0.4
вампир,5.1
ван,28.1
ванадий,0.5
вандал,2.5
ванилин,0.4
ваниль,2.2
ванин,0.6
ванн,54.8
вань,0.4
вар-1,173.2
вар-2,67.2
варан,0.5
варвар,12.8
варган,1.5
вареж,4.2
вари,168.5
вариант,0.8
варикоз,0.4
варн,0.8
варфолом,0.5
варшав,5.2
варь,8.6
варьете,1.2
варяг,4.8
варяж,0.8
васил,7.3
василеостров,0.4
василиск,0.7
васильк,0.5
вассал,1.6
вассаль,0.4
вастр,230.0
ват,24.0
ватаг,2.3
ватер,0.9
ватикан,0.8
ватман,2.3
ватрух,0.9
ватт,3.6
ваучер,2.0
вафел,2.9
вахмистр,0.5
вахт,24.6
вахтангов,2.1
ваххаб,4.2
вашингтон,1.9
ващ,10.2
вая,6.4
вгик,0.4
вдов,28.5
вдохнов,5.3
ве,33.6
веб,0.7
вегет,1.8
вегетари,1.2
вегетариан,1.9
вегетатив,2.7
вед,9.8
вед-1,1680.0
ведант,0.4
ведер,3.1
ведёр,34.7
ведом,4.4
ведьм,0.5
веер,7.5
вежлив,0.4
везде,7.4
веймар,0.7
вейн,0.5
век-1,557.1
век-2,20.3
вексел,12.1
вектор,16.0
вел-1,642.1
вел-2,1274.9
велереч,0.5
великолеп,48.5
велич,3.9
велосипед,28.3
вельбот,0.6
вельвет,2.2
вельмож,3.6
велюр,0.5
вен,90.3
венгер,10.3
венер,2.5
венесуэл,0.6
венеци,3.9
вензел,1.7
вентил,17.8
вентилятор,0.4
венч,0.7
венчур,1.3
вепр,0.7
вер,30.7
вер-1,1732.2
вер-2,831.3
вер-3,8.8
веран,13.5
верб,0.6
верб-1,2.5
верб-2,9.0
вербальн,2.6
верблюд,12.8
верв,39.8
верг,165.1
вердикт,4.1
веред,142.2
верезг,4.4
вереск,1.8
верз,30.5
вериг,0.7
вериф,1.7
верлиб,1.8
вермахт,2.8
вермишел,1.0
вермут,1.4
верн,4.3
вернисаж,2.5
веролом,2.9
вероят,173.3
вероятн,14.4
версаль,0.8
верси,54.4
верст,0.6
верст-2,34.3
верстак,2.5
вертеп,1.2
вертикал,34.2
вертолет,3.5
верф,3.1
верх,1007.1
верхотур,0.5
вес,23.0
вес-1,358.6
вес-3,8.2
вес-4,1052.2
весел,6.0
весел-1,215.9
весел-2,9.9
весен,127.8
весом,4.1
вестерн,1.4
вестибул,11.4
вестит,0.4
вестминстер,0.4
вестсайд,0.5
вет-1,2566.3
вет-2,93.4
ветер,181.0
ветеран,30.4
ветеринар,8.7
вето,2.5
ветош,25.6
ветчин,5.0
вех,6.2
вечер,569.3
вешен,0.4
вещ,3.4
вещ-3,333.6
веществ,0.4
вжик,0.4
взвеш,1.2
взвод,0.4
взросл,3.7
взрыв,0.4
взыск,4.3
ви,629.5
виагра,0.6
виадук,0.4
вибр,11.5
вибри,0.4
вивар,0.6
вигвам,0.4
вид,3210.8
видео,29.7
видим,1.1
видящ,2.0
виз,19.1
визави,1.5
визаж,1.0
визант,7.8
визг,37.6
визир,1.9
визит,61.2
визуальн,14.2
викар,0.7
викинг,1.9
виконт,0.6
викториан,1.0
викторин,1.3
вил,19.7
вилен,0.5
вилл,10.4
вильнюс,0.6
вин-1,521.4
виндзор,0.6
винегрет,2.1
винил,1.5
винн,3.2
винниц,0.4
винов,3.4
виноград,19.1
винт,47.7
винчестер,1.2
виньетк,0.8
виол,1.5
виолончел,5.3
вир-1,70.2
вираж,3.5
виразол,0.5
виргин,0.4
вирион,2.5
виртуал,15.9
виртуоз,11.0
вирулент,3.0
вирус,154.9
вирш,1.0
вис,388.3
виски,14.2
висмут,0.4
висок,19.6
високос,0.8
висцер,0.6
вит,6.9
вит-2,22.2
витал,0.4
витамин,21.4
витеб,1.2
вити(j),2.9
витраж,4.3
витрин,19.0
витяз,6.5
вифлеем,0.6
вих,5.1
вихл,1.1
вице,41.4
вич,7.8
вишен,18.0
вишнев,0.7
вкус,0.4
вкусн,0.7
вкуш,8.3
влаг,56.7
влад,691.6
владивосток,1.5
владикавказ,0.7
владимир,8.3
влас,178.9
власов,1.4
влач,544.7
влож,0.7
вменяем,0.8
вн,228.2
внезап,80.1
внимательн,1.3
внук,61.5
внуков,0.4
внят,6.4
внятн,4.2
во,1.2
во(j)-2,1151.4
во(j)-3,42.1
вобл,2.1
вогул,3.9
вод,6.3
вод-2,791.4
водевил,2.0
водород,24.2
воен,15.9
вожат,0.5
вождел,7.2
возврат,0.7
воздуш,6.1
возле,0.4
возмож,19.4
возможн,108.5
возмутим,6.1
возраст,0.8
войков,0.5
войлач,3.7
войно,0.7
вокал,9.8
вокзал,61.1
вол,50.2
вол-2,3.5
волан,0.5
волгоград,6.8
волдыр,0.9
волейбол,5.9
волж,10.7
волк,58.5
волн-1,268.8
волн-2,0.9
волнов,0.6
вологж,0.4
вологод,6.1
володин,1.3
волоколам,0.9
волонтер,2.0
волошин,0.5
волхв,4.1
волхов,1.2
волшб,44.9
волын,1.9
вольер,2.9
вольт,5.4
вольтер,0.4
вольфрам,1.4
волюнтар,1.2
вообразим,1.3
вооруж,3.0
воп,43.5
вопрос,0.4
вор,0.5
вор-1,78.5
вораж,17.3
ворач,847.8
вораш,10.0
ворд,2.7
ворк,28.1
воркут,0.4
вороб,17.0
воробьев,1.4
ворог,152.3
ворон-1,24.2
ворон-2,11.7
воронеж,10.9
воронцов,0.5
ворот-2,79.3
ворошилов,0.6
ворс,2.6
восем,17.6
воспал,1.4
восприимчив,0.4
восстан,2.1
восточ,0.6
востреб,0.5
востребов,2.5
вот,31.4
вотум,4.9
вотч,687.0
вохр,1.1
вош,7.6
вояж,2.8
врат,2.8
врач,191.9
врем,2598.6
вспомин,0.7
встрет,696.8
втор,383.0
вуал,3.4
вуги,0.4
вуду,0.7
вуз,38.4
вулкан,7.9
вульгар,6.8
вундеркинд,1.9
вурдалак,1.2
вчера,0.9
вы(j)-3,0.5
выборг,1.8
выдр,1.1
выдум,0.9
вык,275.3
вым,1.7
вымпел,3.3
выпуск,0.4
выс,1322.7
высок,0.8
высот,0.4
выспр,0.7
выт,12.0
вытрезвител,0.5
выхухол,1.0
вычисл,0.8
вьетнам,7.3
вьюк,1.6
вэ,3.5
вэн,0.7
вя,40.9
вяж,982.8
вяз,2.8
вяз-1,2.2
вяк,2.5
вят,3.4
вящ,1.2
г,383.0
гааг,0.9
габардин,0.5
габарит,9.5
габитус,0.5
гав,1.5
гавай,0.9
гаван,4.7
гаврик,0.8
гаг,0.4
гагарин,1.0
гад,0.4
гад-1,263.3
гад-2,53.7
гаджет,0.4
