Number,Lemma,PoS,IPM,R,D,Doc,root,root_IPM,imageability,emotional_valence,is_profane,ranking_score
18105,люк,s,15.2,93,90,486,люк,15.6,5,3,0,1869.294156
31116,порт,s,33.5,100,91,999,порт-3,131.6,5,3,0,1865.589156
10549,жук,s,11.7,91,80,384,жук,16.4,5,3,0,1862.33434
19905,мох,s,8.9,93,90,362,мох,21.3,5,3,0,1861.95799
11343,зал,s,206.3,100,95,3980,зал,220.7,4,3,0,1860.203521
17547,лето,s,135.0,100,96,4302,лет-1,519.2,4,3,0,1858.995751
10560,журнал,s,162.0,100,94,4606,журнал,295.2,5,3,0,1856.049998
17107,кухня,s,120.1,99,93,2462,кух,139.8,5,3,0,1853.516543
15005,кит,s,10.7,95,83,376,кит,12.1,5,4,0,1851.203198
18225,мак,s,6.3,99,89,299,мак-1,17.8,5,4,0,1847.653279
20129,мыло,s,16.6,100,92,718,мо(j),228.3,5,3,0,1846.244756
44273,узел,s,48.6,99,88,1593,уз-1,77.0,5,3,0,1844.694095
2575,боб,s,8.6,87,86,299,боб,10.0,5,3,0,1841.731283
37221,рой,s,3.6,87,91,224,ре-1,22.1,5,3,0,1840.138386
35894,рамка,s,110.6,100,90,5230,рам,142.5,5,3,0,1839.392905
38585,семья,s,276.6,100,96,6153,сем-2,382.4,4,5,0,1838.290402
12785,ива,s,5.2,86,90,264,ив,12.4,5,3,0,1836.134748
17082,кусок,s,76.8,100,95,2191,кус-1,198.5,5,3,0,1832.14442
37078,рис,s,4.8,84,88,230,рис-1,7.6,5,3,0,1827.179404
16851,куб,s,5.7,90,87,278,куб-2,5.7,5,3,0,1825.65
45497,фея,s,5.4,85,85,191,фе,5.4,5,5,0,1824.3
40213,сом,s,2.9,58,79,94,сом,10.0,5,3,0,1824.233242
43141,трава,s,88.7,100,93,2043,трав,165.1,5,4,0,1823.548737
17995,луна,s,45.8,100,91,1200,лун-1,67.6,5,4,0,1822.569719
45456,фен,s,2.0,52,83,85,фен,6.4,5,3,0,1816.099689
40184,солнце,s,165.2,100,94,3127,солн,248.5,5,5,0,1807.840275
21727,неделя,s,242.2,100,96,7197,де(j),5985.7,2,3,0,1806.075086
48594,юла,s,0.5,29,79,36,юл,1.6,5,3,0,1804.024922
47643,шкаф,s,48.4,99,93,1333,шкаф,53.7,5,3,0,1803.924692
37417,руль,s,43.3,99,94,1481,рул,58.7,5,3,0,1801.661499
8364,девочка,s,185.1,100,92,2621,дев,553.9,5,4,0,1800.495511
4544,внук,s,38.6,100,94,1448,внук,61.5,5,4,0,1794.890739
48704,яйцо,s,40.2,99,93,1292,яич,58.4,5,3,0,1793.811455
47620,шить,v,16.0,98,94,766,шв,131.3,5,3,0,1783.337939
3851,весна,s,91.3,100,96,3202,весен,127.8,5,5,0,1778.067077
1443,баня,s,38.5,99,93,1039,бан,50.4,5,4,0,1776.199886
7853,гриб,s,38.3,100,79,1014,гриб,49.7,5,3,0,1774.516933
46735,цирк,s,38.1,98,78,716,цирк,47.5,5,4,0,1770.164626
28159,перо,s,34.5,99,94,1282,пер-2,49.7,5,3,0,1765.63333
3180,бумага,s,155.8,100,96,3570,бумаг,228.1,5,3,0,1765.545595
16080,кора,s,18.8,98,87,617,кор-1,88.7,5,3,0,1763.343075
16575,крест,s,56.4,99,90,1668,крест,189.9,5,3,0,1762.218042
4227,вилка,s,16.0,97,92,708,ви,629.5,5,3,0,1751.25774
47956,щель,s,28.9,98,92,925,щел,47.1,5,3,0,1747.577234
46308,холм,s,32.7,98,92,879,холм,38.2,5,3,0,1741.372699
17744,лифт,s,32.4,98,92,875,лифт,36.6,5,3,0,1737.744111
11500,замок,s,60.8,100,93,1617,мк,152.7,5,3,0,1737.240211
23244,нить,s,22.6,100,94,989,нит,51.8,5,3,0,1736.860805
28744,плот,s,8.0,82,83,197,плач-3,141.9,5,3,0,1734.770917
10172,елка,s,22.3,98,92,685,ел,50.9,5,5,0,1734.7632
25521,осень,s,81.8,100,96,3206,осен,110.1,5,4,0,1732.153135
45654,флаг,s,29.4,99,87,1076,флаг,36.1,5,3,0,1730.312854
16812,крыло,s,67.6,100,85,1853,крыл,128.7,5,3,0,1726.460518
23092,нефть,s,62.3,97,90,1757,нефт,138.5,5,3,0,1725.11496
19125,мечта,s,57.0,100,96,2228,мечт,150.8,5,4,0,1724.493605
8250,двор,s,166.9,100,93,2953,двор,319.9,4,3,0,1724.262387
28642,плащ,s,27.7,98,91,829,плащ,33.1,5,3,0,1721.119445
9270,дождь,s,83.2,100,94,2143,дожд,100.6,5,3,0,1720.205434
14737,каша,s,27.1,97,93,988,каш-2,33.1,5,3,0,1719.800501
14315,камень,s,131.9,100,95,2922,кам,227.5,5,3,0,1719.678025
1419,банк,s,178.1,100,91,3259,банк,293.0,4,3,0,1713.746573
48570,юбка,s,26.3,95,92,899,юбк,30.5,5,3,0,1713.289011
12384,заяц,s,21.7,99,89,699,за(j),36.5,5,4,0,1712.573532
16532,крем,s,24.5,93,72,510,крем,32.1,5,4,0,1712.174863
39540,слон,s,23.8,99,92,735,слон-1,30.3,5,3,0,1707.4162
28791,пляж,s,25.4,99,94,853,пляж,28.3,5,4,0,1707.243275
29521,поднос,s,11.6,91,91,452,наш,2463.4,5,3,0,1707.128149
24441,овца,s,17.5,98,90,671,ов,36.8,5,3,0,1701.50862
15085,клей,s,10.4,96,85,441,кле(j),59.1,5,3,0,1699.167737
18021,лыжа,s,18.3,95,91,655,лыж-1,33.2,5,4,0,1698.594929
47868,шуба,s,18.7,97,92,677,шуб,30.7,5,4,0,1695.840701
16421,кран,s,23.3,100,90,905,кран-1,24.6,5,3,0,1695.764712
25397,орел,s,19.7,99,94,821,орёл,27.7,5,4,0,1693.440034
18546,масло,s,73.0,100,91,2067,масл,93.3,5,4,0,1688.84862
48779,ясный,a,90.8,100,96,3087,ясн,873.0,4,3,0,1685.412553
3652,веко,s,20.3,99,92,868,век-2,20.3,5,3,0,1681.2
18215,мазь,s,5.5,91,89,261,маз,73.1,5,3,0,1680.204738
47670,шлем,s,13.2,96,92,502,шелом,30.4,5,3,0,1680.127898
27388,пена,s,15.6,98,94,712,пен-1,25.5,5,3,0,1679.779697
2285,билет,s,75.4,100,95,2073,билет,83.8,5,3,0,1678.211916
42771,тигр,s,15.2,99,83,486,тигр,22.3,5,3,0,1673.643465
4334,вихрь,s,9.7,97,92,464,ви,629.5,5,3,0,1673.496504
28377,пила,s,9.2,97,90,372,пил,36.1,5,3,0,1672.896639
16383,кошка,s,50.4,99,94,1381,кот-1,119.3,5,4,0,1671.396057
12527,зеркало,s,70.5,100,94,1933,зар,1017.3,5,3,0,1669.513116
16829,крюк,s,9.1,92,90,411,крюк,33.1,5,3,0,1669.42161
19140,мешок,s,61.1,100,92,1501,мех-1,96.5,5,3,0,1668.752372
8098,гусь,s,13.6,96,91,550,гус,21.3,5,3,0,1668.079953
3367,ваза,s,14.3,100,93,660,ваз,18.2,5,3,0,1664.530303
13278,икра,s,15.5,95,92,593,икор,16.5,5,4,0,1663.968742
47489,шелк,s,8.4,98,94,459,шелк,29.1,5,4,0,1662.538308
37850,сани,s,12.6,91,89,348,сан-2,19.3,5,3,0,1662.376919
45087,утка,s,13.1,98,93,535,ут,18.4,5,3,0,1662.101852
23362,нора,s,13.1,95,76,406,нор,17.4,5,3,0,1660.390728
39883,собака,s,132.2,99,93,2394,собак,175.1,5,3,0,1656.436173
3482,вата,s,8.2,96,91,428,ват,24.0,5,3,0,1656.114169
9881,дуга,s,12.2,98,89,556,дуг,15.7,5,3,0,1655.359191
2524,блин,s,12.8,92,82,569,блин,14.9,5,4,0,1655.240565
17686,лиса,s,8.7,93,86,329,лис,20.5,5,3,0,1653.419098
15129,клин,s,8.7,96,93,431,клин-1,20.4,5,3,0,1653.288648
38459,сейф,s,13.1,94,91,452,сейф,13.5,5,3,0,1653.193985
45386,фара,s,12.8,92,92,590,фара,12.8,5,3,0,1651.2
43095,торт,s,11.6,94,92,467,торт,12.5,5,4,0,1648.166378
26883,пакет,s,65.8,100,95,2456,пакет,76.4,5,3,0,1648.157652
3240,бусы,s,4.3,80,88,214,бус,33.4,5,4,0,1647.936625
15386,колено,s,102.8,100,92,2028,колен,216.3,5,3,0,1647.348589
12390,звезда,s,122.7,100,95,3171,звезд,179.8,5,4,0,1645.593021
47407,шарф,s,9.6,92,92,435,шарф,11.3,5,3,0,1641.661493
37883,сапог,s,62.0,99,91,1265,сапог,75.7,5,3,0,1639.779378
2299,бинт,s,7.6,85,88,293,бинт,12.8,5,3,0,1639.45225
25516,осел,s,7.5,94,79,316,осёл,12.9,5,3,0,1639.344631
45152,утюг,s,8.7,93,88,380,утюг,10.4,5,3,0,1638.04839
43482,трон,s,8.7,94,89,360,трон,10.2,5,4,0,1637.680764
39941,сова,s,8.5,91,77,251,сов-1,9.8,5,4,0,1636.507533
28223,песок,s,55.3,100,94,1593,пес-1,82.5,5,3,0,1636.405504
12708,зонт,s,5.1,91,90,235,зонт,16.1,5,3,0,1636.245827
16396,краб,s,7.9,82,69,229,краб,9.3,5,3,0,1634.285857
37522,рысь,s,5.5,76,85,215,рыс-1,11.4,5,3,0,1631.673333
17936,лось,s,6.5,86,87,215,лос-1,8.7,5,3,0,1630.079894
18003,лупа,s,2.9,78,90,168,луп,18.3,5,3,0,1629.139664
3637,веер,s,6.6,91,92,385,веер,7.5,5,3,0,1628.142495
15093,клен,s,6.2,83,86,277,клен,7.9,5,3,0,1627.994285
1439,бант,s,5.2,78,90,257,бант,8.5,5,4,0,1626.593232
16727,крот,s,6.0,66,69,135,крот-2,6.0,5,3,0,1624
41833,сумка,s,55.5,98,91,1312,сум,73.8,5,3,0,1623.997266
47990,щука,s,5.3,86,88,220,щук,6.2,5,3,0,1622.929457
15278,ковш,s,4.8,84,85,214,ковш,6.6,5,3,0,1622.513996
8847,диван,s,60.1,99,92,1347,диван,67.2,5,4,0,1622.428236
13482,иней,s,4.5,79,89,246,ин-2,6.4,5,4,0,1621.466253
7307,гном,s,5.0,74,76,151,гном,5.7,5,4,0,1621.354157
1605,баян,s,4.7,77,83,197,баян,5.9,5,4,0,1621.063713
47525,шест,s,4.6,86,91,231,шест-1,5.4,5,3,0,1619.935897
7121,гиря,s,4.4,82,88,219,гир,5.4,5,3,0,1619.497692
13258,изюм,s,3.4,80,91,180,изюм,6.2,5,4,0,1618.365184
38973,сито,s,3.6,83,81,194,сит,4.9,5,3,0,1616.8
10002,дыня,s,4.1,76,84,177,дын,4.1,5,4,0,1616.4
34994,пюре,s,3.7,73,80,149,пюре,3.7,5,3,0,1614.8
19805,морж,s,2.6,57,80,80,морж,4.0,5,3,0,1612.899612
7543,горло,s,53.2,99,92,1479,горл,69.3,5,3,0,1612.515435
348,аист,s,3.1,70,86,120,аист,3.1,5,3,0,1612.4
44408,улей,s,2.7,82,88,165,ул-2,2.7,5,3,0,1610.8
20195,мята,s,2.2,70,88,135,мят-2,3.3,5,3,0,1610.777755
45239,учитель,s,113.8,100,94,2675,ук,1733.3,4,4,0,1610.319605
37265,ромб,s,1.8,62,88,110,ромб,3.1,5,3,0,1609.448809
14438,капля,s,44.7,100,94,1559,ка-2,79.2,5,3,0,1608.249706
40448,сота,s,1.2,55,86,80,сот,3.5,5,3,0,1608.197561
10034,дюна,s,2.0,61,86,109,дюн,2.0,5,3,0,1608
38725,сестра,s,121.3,100,93,2260,сестр,150.5,5,4,0,1605.340412
7465,гонг,s,1.2,43,82,67,гонг,1.2,5,3,0,1604.8
14814,кекс,s,1.1,47,83,71,кекс,1.1,5,4,0,1604.4
521,алоэ,s,1.0,35,69,44,алоэ,1.0,5,3,0,1604
10185,енот,s,0.9,38,76,52,енот,0.9,5,3,0,1603.6
24758,озеро,s,54.9,100,94,1349,озер,60.1,5,4,0,1601.044156
44057,угол,s,168.1,100,95,3539,угл-1,234.8,4,3,0,1594.681118
24817,океан,s,49.8,100,93,1500,океан,61.6,5,4,0,1593.853243
40364,сосед,s,97.8,100,95,2874,сад,2104.1,3,3,0,1587.708098
26661,офицер,s,118.7,100,92,1906,офицер,140.4,5,3,0,1587.284547
7620,горячий,a,98.0,100,96,3141,гар,559.1,5,3,0,1585.191208
41164,ствол,s,49.5,100,92,1217,ствол,56.4,5,3,0,1584.931203
41186,стекло,s,102.8,100,94,2539,стекл,156.9,5,3,0,1581.00378
23910,обнимать,v,20.2,94,91,795,ем,7446.5,5,4,0,1575.678542
26708,охота,s,40.1,100,95,1407,хот,1558.3,4,3,0,1574.914806
15099,клетка,s,109.6,100,81,1757,клет,141.6,5,3,0,1573.73017
39680,смех,s,74.6,98,89,1816,сме-1,498.8,4,5,0,1571.600726
19072,метла,s,6.7,88,88,335,ме,348.8,5,4,0,1569.1974
47374,шапка,s,40.6,99,92,1138,шап,53.2,5,3,0,1562.662288
23326,ноготь,s,25.6,95,89,832,ног,557.5,5,3,0,1558.396429
46868,чашка,s,33.3,100,92,1035,чаш,60.5,5,3,0,1557.096984
20174,мягкий,a,84.7,100,96,2772,мяг,166.0,5,4,0,1555.727143
17866,ложка,s,40.5,99,91,1152,ложеч,48.5,5,3,0,1555.11951
17223,лампа,s,34.0,99,93,1050,ламп,57.3,5,3,0,1554.484465
28711,плита,s,37.3,100,94,1227,плит,50.9,5,3,0,1552.504041
23580,обед,s,69.7,100,95,1879,е-1,504.4,4,4,0,1550.004587
18527,маска,s,34.3,100,94,1162,маск,51.6,5,3,0,1547.244796
15395,колесо,s,68.4,100,95,2006,кол-2,193.5,5,3,0,1545.135626
41346,столб,s,32.7,98,93,1125,столб,49.5,5,3,0,1540.813574
45997,халат,s,36.1,96,91,1014,халат,43.3,5,3,0,1538.377536
17446,лента,s,35.9,100,92,1231,лент,43.3,5,3,0,1537.993686
39013,скала,s,30.7,98,91,819,скал-1,49.1,5,3,0,1535.887021
47688,шляпа,s,34.2,98,92,948,шляп,43.4,5,3,0,1534.842241
47808,штаны,s,35.0,96,92,1176,штан,42.3,5,3,0,1534.670431
12682,золото,s,56.2,100,94,1698,злат,215.6,5,4,0,1530.227921
47738,шоссе,s,36.4,100,93,1249,шоссе,37.7,5,3,0,1529.655042
28312,пещера,s,20.3,98,90,520,пек,593.9,5,3,0,1529.401776
40394,сосна,s,30.1,99,91,847,сосен,45.4,5,4,0,1529.383596
5375,врач,s,173.1,100,94,3401,врач,191.9,4,4,0,1529.031028
8138,далекий,a,318.3,100,96,6925,дал,1174.2,3,3,0,1528.373032
16329,котел,s,24.8,99,78,666,котел,51.4,5,3,0,1524.961274
12532,зерно,s,30.3,99,93,1087,зерн,41.6,5,3,0,1524.261338
15265,ковер,s,29.5,100,94,1069,ковёр,42.3,5,3,0,1523.637221
41232,степь,s,29.6,98,89,709,степ,42.0,5,3,0,1523.406645
15505,кольцо,s,59.5,100,96,1910,кол-2,193.5,5,4,0,1521.899441
3435,ванна,s,22.0,100,93,850,ванн,54.8,5,3,0,1521.526129
3631,ведро,s,34.1,98,92,1104,ведёр,34.7,5,3,0,1520.395421
28293,печень,s,19.1,100,88,679,пек,593.9,5,3,0,1519.517464
25721,остров,s,95.7,100,88,1915,остров,117.6,5,4,0,1518.25914
28624,платье,s,64.8,100,93,1539,плат-2,169.1,5,3,0,1514.036813
25979,отель,s,32.0,98,92,877,отель,33.1,5,4,0,1513.908735
6653,газ,s,101.0,100,90,2730,газ,182.8,4,3,0,1511.450489
12739,зуб,s,116.0,100,93,2315,зуб,159.0,4,4,0,1511.1391
32994,принц,s,24.8,99,82,615,принц,40.5,5,4,0,1510.922946
14620,касса,s,20.9,99,93,948,касс,47.5,5,3,0,1510.277774
