Number,Lemma,PoS,IPM,R,D,Doc,root,root_IPM,imageability,emotional_valence,is_profane,ranking_score
46743,циркуль,s,1.5,53,84,87,циркуль,2.0,5,3,0,1004.330127
6751,гантель,s,1.3,50,85,77,гантел,1.3,5,3,0,1003.25
27383,пеликан,s,1.0,36,73,46,пеликан,1.0,5,3,0,1002.5
28413,пипетка,s,0.5,33,84,39,пипетк,0.5,5,3,0,1001.25
38156,светофор,s,8.0,90,91,426,"свес,фор",864.7,5,3,0,966.344221
4651,водоросль,s,8.8,91,80,333,"вод-2,рас",2090.1,5,3,0,937.335617
25849,отвертка,s,2.4,77,91,148,вер-2,831.3,5,3,0,889.333532
27228,пастух,s,9.6,94,90,363,пас-2,812.0,4,3,0,864.871289
25776,осьминог,s,1.7,54,81,79,"восем,ног",575.1,5,3,0,862.53543
42460,телескоп,s,3.8,72,83,163,"теле,скоп",193.8,5,3,0,854.274856
8939,динозавр,s,3.1,77,90,186,"дино,завр",6.7,5,3,0,809.114823
37847,сандалия,s,3.5,73,87,182,сандали,3.5,5,3,0,807
14371,канистра,s,3.4,75,87,154,канистр,3.4,5,3,0,806.8
33422,прищепка,s,0.5,35,85,38,щеп,21.1,5,3,0,806.496153
360,акваланг,s,1.9,54,77,71,акваланг,2.8,5,3,0,804.613025
3185,бумеранг,s,1.5,52,83,92,бумеранг,1.5,5,3,0,803
18496,мармелад,s,1.3,47,78,66,мармелад,1.7,5,4,0,802.973214
776,антилопа,s,1.2,41,81,64,антилоп,1.2,5,3,0,802.4
45664,фламинго,s,0.5,30,82,39,фламинго,0.5,5,3,0,801
8228,двигать,v,14.3,99,96,820,дви,885.9,4,3,0,781.384634
47435,шахматы,s,19.0,96,92,633,"шах,мат-1",501.2,4,3,0,743.962087
19191,микроскоп,s,6.0,93,87,278,"микро,скоп",46.4,5,3,0,729.199315
2253,библиотека,s,57.7,100,95,1759,"библи,тач-1",1101.0,4,3,0,678.070529
4629,водолаз,s,3.5,68,84,127,"лаз,вод-2",1115.3,4,3,0,656.195991
4903,волейбол,s,3.7,80,88,222,"волейбол,бол-2",2911.6,4,3,0,607.585356
7478,гончар,s,1.2,46,84,72,гончар,2.3,4,3,0,604.983974
12714,зоопарк,s,12.4,98,90,484,"зоо,парк",109.3,4,4,0,592.036677
1258,аэропорт,s,37.2,99,93,1182,"аэр,порт-3",208.6,4,3,0,576.180816
1529,баскетбол,s,4.8,67,86,202,"баскет,бол-2",2916.3,4,3,0,557.049777
10538,жонглер,s,1.9,46,78,69,жонгл,3.3,4,4,0,506.259992
