Number,Lemma,PoS,IPM,R,D,Doc,root,root_IPM,imageability,emotional_valence,is_profane,final_ranking_score
10227,ехать,v,198.2,100,95,3686,езд,1769.4,4,3,0,792.195137
16824,крыша,s,85.0,100,95,2423,кров-2,1788.0,5,3,0,789.846123
23910,обнимать,v,20.2,94,91,795,ем,7446.5,5,4,0,787.839271
44419,улица,s,337.8,100,96,6496,ул-1,413.1,5,3,0,773.557465
24845,окно,s,280.8,100,93,3883,ок,462.5,5,3,0,760.374805
39594,слышать,v,256.1,100,94,4462,слух,1214.8,4,3,0,757.772606
38118,свет,s,359.7,100,95,6490,свес,854.5,4,4,0,754.403869
46831,час,s,468.1,100,98,8561,час,649.5,4,3,0,751.390016
42381,театр,s,305.3,100,89,3128,театр,396.3,5,4,0,747.836729
48689,язык,s,324.9,100,96,6036,язык,370.1,5,3,0,746.764315
16741,круг,s,157.4,100,97,5010,круг,751.1,5,3,0,743.83592
1652,бежать,v,143.6,100,93,2758,бег,800.3,5,3,0,739.003068
37591,сад,s,135.8,100,90,2783,сад,2104.1,4,3,0,734.543525
168,автомобиль,s,156.9,100,92,3453,"авто,мобиль",712.9,5,3,0,734.445825
45141,утро,s,301.3,100,95,4993,утр-1,358.4,5,3,0,728.612112
8364,девочка,s,185.1,100,92,2621,дев,553.9,5,4,0,720.198204
37514,рынок,s,283.3,100,92,6951,рынок,329.4,5,3,0,705.48162
14780,квартира,s,290.9,100,95,4447,квартир,315.8,5,3,0,703.094408
42485,тело,s,285.9,100,92,4943,тел-1,317.0,5,3,0,701.048667
41212,стена,s,261.0,100,94,4312,стен-2,334.6,5,3,0,695.517512
15761,конец,s,634.7,100,98,11758,кан,3021.6,3,2,0,692.425
5028,вопрос,s,805.8,100,95,15789,праш,2326.7,2,3,0,684.626698
39416,след,s,86.9,100,95,2459,след,2659.2,4,3,0,680.712471
23429,ночь,s,402.8,100,95,5349,ноч-2,555.0,4,3,0,672.814974
4778,воздух,s,192.2,100,96,4322,дух,1156.0,4,3,0,671.36313
29072,погода,s,51.7,100,96,2085,год,4245.5,4,3,0,668.500107
19975,муж,s,263.0,100,88,3319,муж,832.5,4,3,0,667.918262
12527,зеркало,s,70.5,100,94,1933,зар,1017.3,5,3,0,667.805246
7682,гость,s,192.7,100,95,4202,гащ,364.1,5,3,0,664.881238
15193,ключ,s,78.0,100,95,2168,клюк-1,888.7,5,3,0,663.284257
17542,лететь,v,82.9,99,94,2146,лет-2,807.5,5,4,0,658.731038
3805,вертолет,s,38.7,97,89,872,"вер-2,лет-2",1638.8,5,3,0,651.836375
6656,газета,s,237.5,100,94,5350,газет,266.2,5,3,0,651.440848
16448,краска,s,57.1,100,95,1907,крас-1,1104.1,5,3,0,651.085862
28706,плечо,s,236.4,100,92,3181,плёк,261.3,5,3,0,648.538367
45239,учитель,s,113.8,100,94,2675,ук,1733.3,4,4,0,644.127842
2896,брат,s,203.0,100,95,3497,брат,283.2,5,5,0,639.76989
7620,горячий,a,98.0,100,96,3141,гар,559.1,5,3,0,634.076483
13569,институт,s,226.5,100,94,5848,институт,240.6,5,3,0,633.443569
30256,поле,s,180.2,100,95,4716,пол-2,285.1,5,4,0,626.660583
26914,палец,s,219.1,100,92,3040,пал-3,233.5,5,3,0,626.185433
30383,полка,s,41.9,100,94,1410,"пол-1,пал-2,пол-5",1199.9,5,3,0,624.222679
19797,море,s,159.5,100,95,3188,мор-2,314.6,5,4,0,624.006027
10560,журнал,s,162.0,100,94,4606,журнал,295.2,5,3,0,618.683333
12506,земля,s,494.4,100,96,7260,зем,768.9,3,3,0,616.558318
33802,прозрачный,a,46.0,100,96,1950,зар,1017.3,5,3,0,616.323369
42022,сцена,s,177.2,100,92,2926,сцен,263.5,5,3,0,616.08378
21512,небо,s,187.6,100,94,3396,неб,238.8,5,5,0,611.657459
8138,далекий,a,318.3,100,96,6925,дал,1174.2,3,3,0,611.349213
40184,солнце,s,165.2,100,94,3127,солн,248.5,5,5,0,602.613425
21727,неделя,s,242.2,100,96,7197,де(j),5985.7,2,3,0,602.025029
28767,площадь,s,145.2,100,95,4265,плоск,280.1,5,4,0,601.669333
45183,ухо,s,139.3,100,92,2644,ух-1,286.2,5,3,0,599.668876
40696,спина,s,183.1,100,92,2826,спин,211.2,5,3,0,596.648722
1978,берег,s,164.7,100,94,2868,берег-2,230.6,5,4,0,594.884119
42469,телефон,s,167.8,100,94,3648,телефон,225.8,5,3,0,594.651586
28487,пить,v,200.9,100,93,3381,па-2,773.5,4,3,0,594.203184
30232,пол,s,181.9,100,94,3533,пол-5,851.3,4,3,0,593.511715
3180,бумага,s,155.8,100,96,3570,бумаг,228.1,5,3,0,588.515198
31222,поселок,s,55.7,100,94,1747,сел,594.3,5,3,0,581.940952
14315,камень,s,131.9,100,95,2922,кам,227.5,5,3,0,573.226008
11252,закон,s,433.4,100,90,8195,кан,3021.6,2,3,0,572.180356
1283,бабушка,s,101.8,100,92,1927,баб,289.5,5,5,0,571.671489
24501,огонь,s,139.8,100,95,3062,огн,209.3,5,4,0,571.055956
7488,гора,s,115.5,100,95,2847,гор-1,251.6,5,4,0,570.469352
29521,поднос,s,11.6,91,91,452,наш,2463.4,5,3,0,569.042716
47652,школа,s,316.0,100,95,6058,школ,430.0,4,3,0,568.619045
23391,нос,s,138.8,100,92,2546,нос-1,201.9,5,3,0,567.402867
37340,рубашка,s,45.9,99,92,1288,руб,600.6,5,3,0,566.034755
38163,свеча,s,31.6,100,93,1068,свес,854.5,5,3,0,564.323462
38441,седло,s,12.8,93,88,378,сад,2104.1,5,3,0,564.111182
17529,лестница,s,83.1,100,93,1827,лаз,323.9,5,3,0,564.061239
26791,очки,s,56.0,99,93,1546,ок,462.5,5,3,0,560.934769
9941,духи,s,22.3,99,94,787,дух,1156.0,5,4,0,560.557778
3880,ветер,s,140.3,100,93,2716,ветер,181.0,5,3,0,559.355891
4937,волос,s,141.8,100,92,2310,влас,178.9,5,3,0,559.273413
36808,река,s,131.0,100,94,2698,рек-1,182.2,5,4,0,554.493366
39816,снег,s,125.2,100,93,2190,снег,189.1,5,4,0,553.867865
46809,чай,s,106.8,100,93,2178,ча(j)-2,219.3,5,4,0,553.039995
39883,собака,s,132.2,99,93,2394,собак,175.1,5,3,0,552.145391
18156,магазин,s,147.2,100,95,3858,магазин,157.0,5,4,0,552.021051
7955,грудь,s,138.8,100,91,2307,груд-1,165.5,5,3,0,551.563188
8020,губа,s,143.0,100,90,1931,губ-2,158.5,5,3,0,550.550656
14151,кабинет,s,148.5,100,95,2907,кабинет,152.3,5,3,0,550.387998
15386,колено,s,102.8,100,92,2028,колен,216.3,5,3,0,549.116196
12390,звезда,s,122.7,100,95,3171,звезд,179.8,5,4,0,548.531007
8619,деревня,s,125.1,100,94,2571,дерев-1,163.6,5,3,0,543.060686
11615,запад,s,88.9,100,93,2911,па-1,1309.6,4,3,0,541.208792
41778,судья,s,85.2,100,83,1677,суд-1,1358.8,4,3,0,540.249555
28301,печь,s,32.6,100,93,952,пек,593.9,5,3,0,539.144314
43516,труба,s,82.1,100,95,2194,труб,225.8,5,3,0,536.154985
40608,спать,v,221.9,100,92,3167,с,509.2,4,4,0,536.142053
4651,водоросль,s,8.8,91,80,333,"вод-2,рас",2090.1,5,3,0,535.620352
37310,рот,s,133.6,99,92,2340,рот-1,137.2,5,3,0,535.388035
38725,сестра,s,121.3,100,93,2260,сестр,150.5,5,4,0,535.113471
12544,зима,s,106.0,100,96,3250,зим,170.0,5,3,0,534.238594
17107,кухня,s,120.1,99,93,2462,кух,139.8,5,3,0,529.576155
26661,офицер,s,118.7,100,92,1906,офицер,140.4,5,3,0,529.094849
28079,переулок,s,39.9,100,93,1227,ул-1,413.1,5,3,0,528.384929
41186,стекло,s,102.8,100,94,2539,стекл,156.9,5,3,0,527.00126
35894,рамка,s,110.6,100,90,5230,рам,142.5,5,3,0,525.54083
38585,семья,s,276.6,100,96,6153,сем-2,382.4,4,5,0,525.225829
15099,клетка,s,109.6,100,81,1757,клет,141.6,5,3,0,524.576723
4638,водопад,s,7.3,95,88,356,"па-1,вод-2",2101.0,5,4,0,523.843853
17082,кусок,s,76.8,100,95,2191,кус-1,198.5,5,3,0,523.469834
48505,этаж,s,102.7,100,95,2397,этаж,143.8,5,3,0,521.52473
16086,корабль,s,112.5,99,75,1763,корабел,130.6,5,3,0,521.212623
43141,трава,s,88.7,100,93,2043,трав,165.1,5,4,0,521.013925
23326,ноготь,s,25.6,95,89,832,ног,557.5,5,3,0,519.465476
20174,мягкий,a,84.7,100,96,2772,мяг,166.0,5,4,0,518.575714
46186,хлеб,s,107.4,100,94,2352,хлеб-1,127.9,5,4,0,517.202645
15395,колесо,s,68.4,100,95,2006,кол-2,193.5,5,3,0,515.045209
16115,коридор,s,110.8,100,93,2041,коридор,116.0,5,3,0,513.37019
12682,золото,s,56.2,100,94,1698,злат,215.6,5,4,0,510.075974
28312,пещера,s,20.3,98,90,520,пек,593.9,5,3,0,509.800592
9114,дно,s,71.8,100,94,2035,дн-2,166.1,5,3,0,509.206135
42948,толстый,a,84.4,99,93,2115,толст,140.0,5,3,0,508.701426
3851,весна,s,91.3,100,96,3202,весен,127.8,5,5,0,508.019165
15505,кольцо,s,59.5,100,96,1910,кол-2,193.5,5,4,0,507.299814
28293,печень,s,19.1,100,88,679,пек,593.9,5,3,0,506.505821
29844,подушка,s,39.5,100,93,1301,ух-1,286.2,5,4,0,506.324503
25721,остров,s,95.7,100,88,1915,остров,117.6,5,4,0,506.08638
42099,сын,s,285.1,100,94,4408,сын,327.1,4,4,0,505.378798
28624,платье,s,64.8,100,93,1539,плат-2,169.1,5,3,0,504.678938
16575,крест,s,56.4,99,90,1668,крест,189.9,5,3,0,503.490869
46672,цепь,s,51.5,100,89,1530,цеп,204.9,5,3,0,502.724632
17175,ладонь,s,92.7,100,90,1577,ладон,108.9,5,3,0,500.474026
4227,вилка,s,16.0,97,92,708,ви,629.5,5,3,0,500.359354
17161,лагерь,s,88.6,100,93,1735,лагер,110.0,5,3,0,498.721831
10649,забота,s,60.5,100,96,2423,забот,159.8,5,4,0,498.32548
28816,победа,s,124.0,100,94,4032,бед,714.2,4,5,0,497.591667
9401,долина,s,18.9,100,93,739,дл,491.4,5,4,0,496.371469
11500,замок,s,60.8,100,93,1617,мк,152.7,5,3,0,496.354346
23329,нож,s,66.6,100,94,1610,нз,138.1,5,3,0,495.903389
46315,холодильник,s,29.1,100,92,1015,хлад,312.2,5,4,0,495.315371
25521,осень,s,81.8,100,96,3206,осен,110.1,5,4,0,494.900896
17957,лошадь,s,80.9,100,92,1549,лош,109.5,5,4,0,494.11987
16812,крыло,s,67.6,100,85,1853,крыл,128.7,5,3,0,493.274434
23092,нефть,s,62.3,97,90,1757,нефт,138.5,5,3,0,492.889989
47554,шея,s,85.3,100,92,1879,ше(j)-1,101.1,5,3,0,492.864579
19125,мечта,s,57.0,100,96,2228,мечт,150.8,5,4,0,492.712459
16104,корень,s,63.7,100,91,2363,корен,131.5,5,3,0,491.523494
9270,дождь,s,83.2,100,94,2143,дожд,100.6,5,3,0,491.487267
19607,мокрый,a,61.3,99,91,1465,мач-2,135.5,5,3,0,491.138082
20189,мясо,s,71.4,100,95,1848,мяс-1,112.7,5,3,0,489.703846
41644,стул,s,87.6,100,92,1809,стул,90.4,5,4,0,488.988988
17803,лоб,s,78.7,99,91,1697,лб,99.9,5,3,0,488.668653
39533,слой,s,77.6,100,90,2571,сла,95.7,5,4,0,486.176099
36965,ресторан,s,79.3,100,94,1915,ресторан,92.0,5,4,0,485.414285
45953,футбол,s,27.4,96,90,1004,"фут,бол-2",2967.4,4,3,0,485.143403
42418,телевизор,s,72.3,100,94,2251,телевиз,100.0,5,3,0,485.029407
16312,костюм,s,81.3,100,95,2012,костюм,88.8,5,3,0,484.967288
19862,мост,s,65.4,100,95,1731,мащ-2,107.4,5,3,0,483.809069
16248,коса,s,19.1,97,91,649,"каш-1,каш-3,кос-3",366.5,5,3,0,483.666899
38156,светофор,s,8.0,90,91,426,"свес,фор",864.7,5,3,0,483.172111
5189,восток,s,78.5,100,93,2586,тач-1,1017.0,4,3,0,482.549996
18546,масло,s,73.0,100,91,2067,масл,93.3,5,4,0,482.528177
48779,ясный,a,90.8,100,96,3087,ясн,873.0,4,3,0,481.546444
20444,надежда,s,154.5,100,95,4436,де(j),5985.7,2,5,0,480.830181
28268,петь,v,143.2,100,94,2802,пе,547.2,4,4,0,479.926848
35874,ракета,s,62.9,99,90,1138,ракет,101.3,5,4,0,479.823368
15691,компьютер,s,63.2,100,94,2114,компьютер,100.4,5,3,0,479.657266
2285,билет,s,75.4,100,95,2073,билет,83.8,5,3,0,479.489119
45813,фото,s,32.2,100,90,1341,фото,195.3,5,3,0,479.301072
41018,стакан,s,72.8,100,93,1566,стакан,85.6,5,3,0,478.940991
1278,бабочка,s,21.3,99,90,692,баб,289.5,5,5,0,478.52611
4334,вихрь,s,9.7,97,92,464,ви,629.5,5,3,0,478.141858
16383,кошка,s,50.4,99,94,1381,кот-1,119.3,5,4,0,477.541731
48796,ящик,s,75.4,100,94,1810,ящик,78.8,5,3,0,477.081256
19140,мешок,s,61.1,100,92,1501,мех-1,96.5,5,3,0,476.786392
17345,легкий,a,202.1,100,97,5500,легк,374.5,4,3,0,475.111705
17084,куст,s,60.9,99,92,1396,куст,88.5,5,3,0,473.414236
40206,соль,s,39.4,100,90,1327,сал-2,135.2,5,3,0,472.985478
34635,прыгать,v,38.5,99,93,1303,прыг,137.5,5,4,0,472.758161
10325,железо,s,28.6,100,94,1079,желез-1,183.7,5,3,0,472.483239
26883,пакет,s,65.8,100,95,2456,пакет,76.4,5,3,0,470.902186
37199,роза,s,42.7,100,94,1160,роз-1,116.4,5,5,0,470.500213
23754,облако,s,43.0,99,92,1273,облак,114.8,5,4,0,470.259519
20164,мышь,s,37.0,98,86,1009,мыш,130.2,5,3,0,469.407492
16348,кофе,s,61.6,99,92,1321,кофе(j),77.1,5,4,0,468.915601
17308,лев,s,64.3,100,93,1660,лев-1,73.2,5,4,0,468.605831
37883,сапог,s,62.0,99,91,1265,сапог,75.7,5,3,0,468.508394
28223,песок,s,55.3,100,94,1593,пес-1,82.5,5,3,0,467.54443
31116,порт,s,33.5,100,91,999,порт-3,131.6,5,3,0,466.397289
17547,лето,s,135.0,100,96,4302,лет-1,519.2,4,3,0,464.748938
18006,луч,s,45.4,100,94,1486,луч-1,92.2,5,4,0,464.698377
41833,сумка,s,55.5,98,91,1312,сум,73.8,5,3,0,463.999219
5790,вывеска,s,11.4,95,92,614,вес-1,358.6,5,3,0,463.937782
48644,яблоко,s,53.0,100,93,1733,ябло,76.7,5,4,0,463.758137
8847,диван,s,60.1,99,92,1347,диван,67.2,5,4,0,463.550924
20129,мыло,s,16.6,100,92,718,мо(j),228.3,5,3,0,461.561189
19814,мороженое,s,18.8,97,90,608,мерз,200.9,5,5,0,461.456651
44273,узел,s,48.6,99,88,1593,уз-1,77.0,5,3,0,461.173524
7543,горло,s,53.2,99,92,1479,горл,69.3,5,3,0,460.718696
31551,потолок,s,57.9,100,94,1747,тл-2,62.8,5,3,0,460.300249
14438,капля,s,44.7,100,94,1559,ка-2,79.2,5,3,0,459.499916
14707,катушка,s,8.4,98,88,397,кат-1,419.2,5,3,0,459.340374
30482,полотенце,s,20.5,95,91,785,плат-2,169.1,5,3,0,458.877415
31926,правый,a,210.4,100,96,4655,прав,3998.4,2,3,0,458.60205
16148,коробка,s,49.0,99,94,1634,короб-1,69.0,5,3,0,458.146367
41400,сторож,s,14.4,95,91,566,стерег,234.2,5,3,0,458.073057
24758,озеро,s,54.9,100,94,1349,озер,60.1,5,4,0,457.441187
47379,шар,s,43.7,100,93,1371,шар-1,75.1,5,3,0,457.287608
15511,коляска,s,16.8,96,90,528,кол-2,193.5,5,4,0,457.015787
17995,луна,s,45.8,100,91,1200,лун-1,67.6,5,4,0,455.64243
24817,океан,s,49.8,100,93,1500,океан,61.6,5,4,0,455.386641
26898,палатка,s,29.1,98,90,735,палат,105.3,5,3,0,455.355488
40364,сосед,s,97.8,100,95,2874,сад,2104.1,3,3,0,453.630885
41164,ствол,s,49.5,100,92,1217,ствол,56.4,5,3,0,452.837487
2802,борода,s,31.7,99,92,967,бород,85.8,5,3,0,452.152277
2253,библиотека,s,57.7,100,95,1759,"библи,тач-1",1101.0,4,3,0,452.047019
45229,ученый,s,117.4,100,92,3235,ук,1733.3,3,4,0,451.098016
47643,шкаф,s,48.4,99,93,1333,шкаф,53.7,5,3,0,450.981173
37417,руль,s,43.3,99,94,1481,рул,58.7,5,3,0,450.415375
16152,корова,s,44.8,100,92,1274,коров,55.8,5,3,0,449.9984
26708,охота,s,40.1,100,95,1407,хот,1558.3,4,3,0,449.975659
26936,пальто,s,48.6,99,90,1019,пальт,51.2,5,3,0,449.883063
16299,костер,s,48.0,100,91,1160,костер,50.9,5,4,0,449.428737
4544,внук,s,38.6,100,94,1448,внук,61.5,5,4,0,448.722685
18884,мельница,s,10.5,96,88,393,мал-4,224.9,5,3,0,448.594753
5578,вспышка,s,23.6,98,92,907,пых,100.0,5,3,0,448.579831
48704,яйцо,s,40.2,99,93,1292,яич,58.4,5,3,0,448.452864
19072,метла,s,6.7,88,88,335,ме,348.8,5,4,0,448.342114
14484,карандаш,s,46.6,100,82,925,карандаш,50.0,5,3,0,448.270074
40125,сок,s,35.8,100,90,1224,сач-1,63.0,5,4,0,447.491052
17037,курица,s,33.1,100,91,1046,кур-2,67.7,5,3,0,447.337828
3453,варенье,s,12.9,92,79,464,вар-1,173.2,5,4,0,447.268171
46915,чемодан,s,42.8,92,92,1018,чемодан,51.9,5,3,0,447.130882
17888,лом,s,8.8,95,88,366,лам,248.8,5,3,0,446.791452
47374,шапка,s,40.6,99,92,1138,шап,53.2,5,3,0,446.474939
41736,сугроб,s,11.1,90,90,459,граб-1,194.0,5,3,0,446.404741
14728,качели,s,5.1,91,90,257,кат-1,419.2,5,4,0,446.237647
43823,тянуть,v,68.5,98,94,2104,тя,883.7,4,3,0,446.035465
47620,шить,v,16.0,98,94,766,шв,131.3,5,3,0,445.834485
12196,затылок,s,31.7,97,90,976,тыл,66.1,5,3,0,445.775212
17885,локоть,s,40.2,99,91,1141,локач,51.2,5,3,0,445.36783
46868,чашка,s,33.3,100,92,1035,чаш,60.5,5,3,0,444.884853
25849,отвертка,s,2.4,77,91,148,вер-2,831.3,5,3,0,444.666766
17866,ложка,s,40.5,99,91,1152,ложеч,48.5,5,3,0,444.31986
17223,лампа,s,34.0,99,93,1050,ламп,57.3,5,3,0,444.138419
1443,баня,s,38.5,99,93,1039,бан,50.4,5,4,0,444.049972
7853,гриб,s,38.3,100,79,1014,гриб,49.7,5,3,0,443.629233
17060,куртка,s,41.0,97,91,997,курт,46.4,5,3,0,443.616511
19199,микрофон,s,16.3,94,93,617,фон,116.6,5,3,0,443.595642
28711,плита,s,37.3,100,94,1227,плит,50.9,5,3,0,443.572583
42310,тарелка,s,41.3,99,93,1254,тарел,44.3,5,3,0,442.773707
18834,мел,s,8.1,92,87,385,мал-4,224.9,5,3,0,442.681261
46735,цирк,s,38.1,98,78,716,цирк,47.5,5,4,0,442.541157
18527,маска,s,34.3,100,94,1162,маск,51.6,5,3,0,442.069942
28159,перо,s,34.5,99,94,1282,пер-2,49.7,5,3,0,441.408332
15199,клюшка,s,1.9,48,77,74,клюк-1,888.7,5,3,0,441.091727
2842,ботинок,s,39.1,98,93,1180,бот-2,43.0,5,3,0,441.003658
16080,кора,s,18.8,98,87,617,кор-1,88.7,5,3,0,440.835769
7432,голубь,s,13.7,98,92,550,голуб,121.7,5,3,0,440.832463
38216,свиток,s,2.6,71,83,123,ви,629.5,5,3,0,440.456149
41346,столб,s,32.7,98,93,1125,столб,49.5,5,3,0,440.23245
17653,линейка,s,8.6,95,93,459,лин-2,185.7,5,3,0,439.962733
42113,сыр,s,19.5,99,92,792,сыр,80.2,5,4,0,439.546176
45997,халат,s,36.1,96,91,1014,халат,43.3,5,3,0,439.536439
17446,лента,s,35.9,100,92,1231,лент,43.3,5,3,0,439.426768
16048,копать,v,13.2,98,92,560,кап-2,116.7,5,3,0,439.248439
39013,скала,s,30.7,98,91,819,скал-1,49.1,5,3,0,438.824863
45733,фонарь,s,32.9,99,92,1036,фонар,45.5,5,3,0,438.690438
47688,шляпа,s,34.2,98,92,948,шляп,43.4,5,3,0,438.526355
47808,штаны,s,35.0,96,92,1176,штан,42.3,5,3,0,438.477266
2022,беседка,s,8.0,98,91,327,бесед,182.3,5,4,0,438.189004
28342,пиджак,s,38.1,96,92,1054,пиджак,38.1,5,3,0,438.1
47327,шаг,s,203.8,100,96,4988,шаг,277.3,4,3,0,437.726187
44835,усы,s,29.4,100,92,935,ус,48.2,5,3,0,437.644123
47738,шоссе,s,36.4,100,93,1249,шоссе,37.7,5,3,0,437.044298
40394,сосна,s,30.1,99,91,847,сосен,45.4,5,4,0,436.966742
47956,щель,s,28.9,98,92,925,щел,47.1,5,3,0,436.894309
16329,котел,s,24.8,99,78,666,котел,51.4,5,3,0,435.703221
14975,кирпич,s,27.7,98,94,1044,кирпич,45.7,5,3,0,435.579348
3744,веревка,s,31.8,99,91,951,верв,39.8,5,3,0,435.575834
19104,мех,s,13.1,97,93,572,мех-1,96.5,5,3,0,435.554887
12532,зерно,s,30.3,99,93,1087,зерн,41.6,5,3,0,435.503239
46308,холм,s,32.7,98,92,879,холм,38.2,5,3,0,435.343175
16077,копыто,s,10.7,94,89,471,кап-2,116.7,5,3,0,435.336808
15265,ковер,s,29.5,100,94,1069,ковёр,42.3,5,3,0,435.32492
41232,степь,s,29.6,98,89,709,степ,42.0,5,3,0,435.259041
3435,ванна,s,22.0,100,93,850,ванн,54.8,5,3,0,434.721751
37139,рог,s,23.2,100,87,791,рог,51.9,5,3,0,434.699856
17744,лифт,s,32.4,98,92,875,лифт,36.6,5,3,0,434.436028
3631,ведро,s,34.1,98,92,1104,ведёр,34.7,5,3,0,434.398692
34622,пружина,s,11.7,98,93,573,пруг,100.2,5,3,0,434.239451
23244,нить,s,22.6,100,94,989,нит,51.8,5,3,0,434.215201
1541,бассейн,s,33.4,99,92,1162,бассейн,34.0,5,4,0,433.698665
28744,плот,s,8.0,82,83,197,плач-3,141.9,5,3,0,433.692729
10172,елка,s,22.3,98,92,685,ел,50.9,5,5,0,433.6908
19121,меч,s,33.3,99,83,733,меч-2,33.7,5,3,0,433.499403
18734,медведь,s,33.4,98,92,967,медведь,33.4,5,3,0,433.4
15230,кнопка,s,33.0,99,92,1091,кнопк,33.0,5,3,0,433
45654,флаг,s,29.4,99,87,1076,флаг,36.1,5,3,0,432.578214
25979,отель,s,32.0,98,92,877,отель,33.1,5,4,0,432.545353
15364,колбаса,s,28.0,99,93,978,колбас,37.8,5,3,0,432.53306
18729,медаль,s,32.2,100,94,1390,медаль,32.7,5,4,0,432.449037
1137,асфальт,s,29.1,96,92,1079,асфальт,35.5,5,3,0,432.141095
34941,пылесос,s,6.0,83,80,224,"пыл-2,сас",171.3,5,3,0,432.05932
32994,принц,s,24.8,99,82,615,принц,40.5,5,4,0,431.69227
43195,трамвай,s,28.1,98,92,871,трамвай,35.6,5,3,0,431.628468
14620,касса,s,20.9,99,93,948,касс,47.5,5,3,0,431.507936
25776,осьминог,s,1.7,54,81,79,"восем,ног",575.1,5,3,0,431.267715
36878,ремень,s,28.4,99,92,933,рем,34.3,5,3,0,431.210896
37724,самокат,s,1.0,32,76,47,"сам,кат-1",965.6,5,3,0,431.074105
8250,двор,s,166.9,100,93,2953,двор,319.9,4,3,0,431.065597
21565,невеста,s,31.7,98,91,927,вед-1,1680.0,4,4,0,430.772615
42215,такси,s,30.6,96,93,885,такси,30.6,5,3,0,430.6
16904,кукла,s,25.3,100,93,778,кукл,36.7,5,3,0,430.471462
